team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Al Taawoun,0.82,113.03571428571428,28,96.26,96.26,3273,176.6,181.38,189.0,175.75,178.93,,54.76,54.76,1862,4.38,4.38,149,38.97,38.97,1325,11.62,11.62,395,34,17,17,34,23,12,3,1,0,23,12,4,1,0,3,5,2,25769.0,8.67,13,0.38,13,9.91,337,5,90,40,2.21,2.21,75,479.38,440.51,42.45,16299,100.0,0.0,2.0,7,19,2,0.09,0.09,0.0,0.0,3.0,219211.0,79.13,384,11.29,100,233,165,125,151,3,384,18.38,18.38,625,6.94,1.57,170.0,,,170.0,3165,2.18,2.18,0,0.0,74,219211,0.15,0.15,0.0,0.0,5.0,219586.0,Saudi Arabia Liga Profissional
Al Khaleej,0.88,106.43333333333334,30,86.79,86.79,2951,183.5,176.4,185.5,175.67,177.83,,48.91,48.91,1663,4.18,4.18,142,40.06,40.06,1362,9.82,9.82,334,34,17,17,34,28,17,7,3,2,24,11,4,1,0,3,4,2,31046.0,7.77,20,0.59,20,9.82,334,6,45,62,1.88,1.88,64,416.53,404.63,36.5,14162,66.67,2.0,4.0,3,9,4,0.06,0.06,0.0,0.0,2.0,304116.0,79.83,388,11.41,85,245,166,139,138,3,388,18.09,18.09,615,8.42,1.76,90.0,30.0,30.0,90.0,3193,2.12,2.12,0,0.0,72,160316,,,,,,,Saudi Arabia Liga Profissional
Damac FC,0.71,134.08333333333334,24,75.15,75.15,2555,177.0,175.75,189.0,172.5,176.53,,42.53,42.53,1446,3.47,3.47,118,31.12,31.12,1058,11.21,11.21,381,34,17,17,34,27,17,5,1,0,21,13,3,0,0,2,6,1,4913.0,7.55,12,0.35,12,8.76,298,4,90,53,2.09,2.09,71,336.56,381.43,30.19,11443,85.71,1.0,6.0,1,14,1,0.12,0.12,0.0,0.0,4.0,291886.0,86.97,379,11.15,87,211,168,128,168,2,379,17.94,17.94,610,7.44,1.6,144.0,144.0,144.0,144.0,3218,2.06,2.06,0,0.0,70,37261890,0.09,0.09,0.0,0.0,3.0,291886.0,Saudi Arabia Liga Profissional
Al Akhdoud,0.56,168.1578947368421,19,80.56,80.56,2739,180.0,183.8,186.5,176.0,179.58,,44.68,44.68,1519,5.12,5.12,174,44.24,44.24,1504,12.94,12.94,440,34,17,17,34,26,17,6,2,1,21,6,4,2,0,3,2,1,29709997.0,7.49,12,0.35,12,10.29,350,6,90,51,2.53,2.53,86,353.76,429.57,28.84,12028,75.0,1.0,3.0,2,6,1,0.06,0.06,0.0,0.0,2.0,230089.0,96.82,417,12.26,94,262,204,120,147,2,417,15.91,15.91,541,5.88,1.23,107.0,,,107.0,3195,2.5,2.5,0,0.0,85,186742,0.09,0.09,0.0,0.0,3.0,262341.0,Saudi Arabia Liga Profissional
Al Nassr,1.38,67.31914893617021,47,109.12,109.12,3710,178.25,178.1,189.4,177.08,179.55,,61.85,61.85,2103,6.53,6.53,222,57.68,57.68,1961,11.91,11.91,405,34,17,17,34,24,10,4,0,0,34,25,14,2,1,2,10,4,30071882.0,9.18,14,0.41,14,9.71,330,4,45,74,3.0,3.0,102,525.06,278.94,30.94,17852,92.31,1.0,12.0,8,19,6,0.09,0.09,0.0,0.0,3.0,303556.0,40.56,577,16.97,134,410,216,229,166,5,577,18.71,18.71,636,7.48,1.57,1259.0,452.0,452.0,1259.0,3164,2.35,2.35,0,0.0,80,73004,0.06,0.06,0.0,0.0,2.0,6642577.0,Saudi Arabia Liga Profissional
Al Ahli,1.24,76.4047619047619,42,98.97,98.97,3365,177.67,179.8,194.0,180.54,180.44,,52.41,52.41,1782,4.94,4.94,168,48.38,48.38,1645,14.76,14.76,502,34,17,17,34,21,12,3,0,0,30,21,10,6,2,2,10,6,971.0,7.81,19,0.56,19,9.65,328,6,90,67,2.68,2.68,91,408.12,256.96,27.26,13876,100.0,0.0,12.0,8,17,5,0.03,0.03,0.0,0.0,1.0,164069.0,46.51,509,14.97,112,350,186,211,157,4,509,19.15,19.15,651,7.4,1.22,872.0,518.0,518.0,872.0,3209,2.5,2.5,0,0.0,85,10269843,0.03,0.03,0.0,0.0,1.0,37538664.0,Saudi Arabia Liga Profissional
Al Fateh,0.94,99.53125,32,91.74,91.74,3119,179.0,184.25,190.0,177.13,180.75,,49.21,49.21,1673,5.38,5.38,183,47.21,47.21,1605,13.59,13.59,462,34,17,17,34,30,18,5,3,1,27,12,6,1,1,4,6,1,37289245.0,8.06,17,0.5,17,9.47,322,5,45,65,1.38,1.38,47,380.47,331.69,26.84,12936,80.0,2.0,8.0,3,8,1,0.12,0.12,0.0,0.0,4.0,303440.0,67.77,482,14.18,118,279,191,174,203,3,482,17.12,17.12,582,7.76,1.23,240.0,109.0,109.0,240.0,3185,2.0,2.0,1,0.03,68,201863,0.03,0.03,0.0,0.0,1.0,37680719.0,Saudi Arabia Liga Profissional
Al Ettifaq,0.79,117.1851851851852,27,92.15,92.15,3133,181.0,177.75,191.5,179.0,180.13,,52.0,52.0,1768,4.53,4.53,154,46.18,46.18,1570,11.5,11.5,391,34,17,17,34,26,12,6,1,0,26,14,4,0,0,5,6,3,169956.0,7.48,18,0.53,18,8.56,291,7,90,50,1.24,1.24,42,435.21,422.77,35.66,14797,100.0,0.0,6.0,5,19,5,0.09,0.09,0.0,0.0,3.0,37555213.0,71.91,415,12.21,93,255,175,151,162,2,415,15.06,15.06,512,6.92,1.31,63.0,,,63.0,3164,2.15,2.15,1,0.03,73,304092,,,,,,,Saudi Arabia Liga Profissional
Al-Fayha,0.59,158.55,20,94.62,94.62,3217,181.67,180.29,191.0,175.38,179.0,,48.56,48.56,1651,5.18,5.18,176,38.41,38.41,1306,12.68,12.68,431,34,17,17,34,24,14,6,3,2,17,10,0,0,0,4,1,1,1313.0,7.36,12,0.35,12,9.0,306,3,90,44,2.65,2.65,90,413.94,639.73,46.91,14074,100.0,0.0,3.0,2,8,2,0.09,0.09,0.0,0.0,3.0,747.0,117.44,300,8.82,69,203,134,98,95,1,300,17.32,17.32,589,7.27,1.37,90.0,30.0,30.0,90.0,3171,2.29,2.29,0,0.0,78,330674,,,,,,,Saudi Arabia Liga Profissional
Al Raed,0.76,122.42307692307692,26,75.53,75.53,2568,173.4,178.33,186.67,174.0,176.54,,43.59,43.59,1482,4.06,4.06,138,34.21,34.21,1163,10.12,10.12,344,34,17,17,34,31,22,8,4,1,23,9,6,2,1,2,6,3,28931695.0,8.16,15,0.44,15,10.24,348,3,45,65,2.26,2.26,77,377.94,367.14,40.41,12850,100.0,0.0,3.0,7,15,6,0.06,0.06,0.0,0.0,2.0,102049.0,77.63,318,9.35,77,192,127,117,125,3,318,16.35,16.35,556,5.91,1.61,49.0,,,49.0,3183,2.5,2.5,2,0.06,85,37653418,0.09,0.09,0.0,0.0,3.0,151562.0,Saudi Arabia Liga Profissional
