team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Racing,0.41,236.8,15,108.11,108.11,4000,180.71,180.44,187.33,173.5,178.18,1.57,50.7,50.7,1876,4.86,4.86,180,65.16,65.16,2411,5.35,5.35,198,37,19,18,37,25,11,4,2,0,29,15,2,0,0,3,7,2,213296.0,7.96,5,0.14,5,1.19,44,3,44,44,0.54,0.54,20,33.22,29.98,3.47,1229,62.5,3.0,5.0,5,24,0,0.03,0.03,0.0,0.0,1.0,249979.0,77.22,354,9.57,42,102,168,149,82,3,354,1.92,1.92,71,0.73,0.24,7.0,7.0,7.0,7.0,3552,2.92,2.92,0,0.0,108,261213,0.08,0.08,0.0,0.0,3.0,261213.0,Uruguay Primera Division
Wanderers,0.46,209.23529411764707,17,104.78,104.78,3877,179.0,182.36,181.75,175.07,179.08,1.82,46.38,46.38,1716,3.59,3.59,133,62.03,62.03,2295,6.14,6.14,227,37,18,19,37,26,15,7,1,0,26,12,2,1,0,2,3,2,214163.0,7.61,7,0.19,7,1.14,42,5,90,54,0.84,0.84,31,29.62,31.31,2.99,1096,55.56,4.0,5.0,5,26,0,0.08,0.08,0.0,0.0,3.0,223009.0,86.76,367,9.92,47,92,188,139,106,3,367,2.38,2.38,88,0.98,0.39,,,,,3557,2.68,2.68,0,0.0,99,261062,0.03,0.03,0.0,0.0,1.0,159325.0,Uruguay Primera Division
Cerro,0.3,318.54545454545456,11,87.05,87.05,3221,180.89,180.89,187.2,176.75,180.84,1.64,40.89,40.89,1513,4.68,4.68,173,54.19,54.19,2005,4.41,4.41,163,37,18,19,37,26,13,7,2,2,20,9,6,1,0,5,4,2,260715.0,7.89,7,0.19,7,0.92,34,2,5,46,0.81,0.81,30,21.24,23.82,2.92,786,66.67,0.0,3.0,0,10,0,0.22,0.22,1.0,0.03,8.0,129122.0,97.33,269,7.27,29,79,139,105,61,3,269,2.0,2.0,74,0.78,0.63,,,,,3504,2.38,2.38,3,0.08,88,129122,0.03,0.03,0.0,0.0,1.0,260822.0,Uruguay Primera Division
Defensor Sporting,0.41,235.46666666666667,15,103.86,103.86,3843,179.73,181.0,183.0,176.83,179.06,2.0,54.43,54.43,2014,4.73,4.73,175,62.27,62.27,2304,4.38,4.38,162,37,19,18,37,27,10,2,0,0,30,15,7,2,1,5,8,5,165361.0,7.65,8,0.22,8,1.14,42,4,90,52,0.59,0.59,22,22.76,16.19,2.35,842,75.0,1.0,3.0,8,17,1,0.16,0.16,0.0,0.0,6.0,165361.0,64.22,359,9.7,37,101,177,158,74,4,359,1.41,1.41,52,0.57,0.31,,,,,3532,2.78,2.78,0,0.0,103,37539966,0.08,0.08,0.0,0.0,3.0,37702211.0,Uruguay Primera Division
Miramar Misiones,0.35,274.0,13,95.3,95.3,3526,180.67,180.33,185.33,179.79,180.63,1.45,44.92,44.92,1662,4.0,4.0,148,56.62,56.62,2095,5.08,5.08,188,37,19,18,37,24,17,7,3,2,25,10,1,0,0,2,4,1,212717.0,7.96,8,0.22,8,1.81,67,4,90,50,0.7,0.7,26,20.35,22.15,2.45,753,50.0,0.0,2.0,7,21,0,0.08,0.08,0.0,0.0,3.0,244411.0,98.94,307,8.3,26,84,150,132,80,3,307,1.57,1.57,58,0.57,0.6,,,,,3562,2.73,2.73,0,0.0,101,260353,0.14,0.14,0.0,0.0,5.0,128893.0,Uruguay Primera Division
Peñarol,0.92,102.82857142857142,35,112.74,112.74,4284,185.8,175.5,187.25,175.83,178.49,2.55,54.58,54.58,2074,5.42,5.42,206,69.71,69.71,2649,5.47,5.47,208,38,19,19,38,15,3,0,0,0,34,25,10,3,2,5,15,12,260889.0,8.36,10,0.26,10,1.37,52,9,90,51,0.74,0.74,28,29.47,16.72,2.45,1120,71.43,2.0,5.0,7,17,0,0.18,0.18,0.0,0.0,7.0,130213.0,48.64,458,12.05,60,149,212,186,127,6,458,2.63,2.63,100,1.15,0.35,120.0,112.0,112.0,120.0,3599,2.29,2.29,0,0.0,87,223243,,,,,,,Uruguay Primera Division
Deportivo Maldonado,0.32,295.4166666666667,12,95.68,95.68,3540,179.5,183.3,184.0,176.4,179.89,1.45,51.11,51.11,1891,4.11,4.11,152,56.86,56.86,2104,5.11,5.11,189,37,19,18,37,31,13,6,1,1,23,6,2,0,0,1,2,2,260855.0,7.45,6,0.16,6,1.41,52,3,44,54,0.65,0.65,24,33.92,46.48,3.79,1255,50.0,1.0,1.0,3,12,0,0.08,0.08,0.0,0.0,3.0,260437.0,114.35,331,8.95,45,101,169,121,77,2,331,1.68,1.68,62,0.57,0.34,,,,,3545,3.35,3.35,0,0.0,124,261187,0.03,0.03,0.0,0.0,1.0,37396569.0,Uruguay Primera Division
River Plate,0.41,238.06666666666663,15,101.92,101.92,3771,178.5,178.7,187.0,177.55,179.07,1.48,50.19,50.19,1857,4.0,4.0,148,60.41,60.41,2235,5.14,5.14,190,37,19,18,37,28,17,9,0,0,24,11,7,1,0,4,5,4,37543197.0,7.65,13,0.35,13,1.62,60,8,90,53,0.46,0.46,17,30.95,30.13,3.88,1145,66.67,0.0,3.0,8,14,0,0.3,0.3,0.0,0.0,11.0,37526300.0,83.05,295,7.97,35,79,141,132,71,3,295,0.76,0.76,28,0.28,0.12,,,,,3571,2.57,2.57,0,0.0,95,260389,0.14,0.14,0.0,0.0,5.0,466061.0,Uruguay Primera Division
Rampla Juniors,0.35,273.7692307692308,13,102.97,102.97,3810,178.0,184.18,185.67,174.92,179.46,1.55,47.54,47.54,1759,4.41,4.41,163,60.46,60.46,2237,5.49,5.49,203,37,19,18,37,31,14,7,4,1,24,10,1,0,0,4,5,2,28931633.0,7.72,8,0.22,8,1.32,49,3,90,51,0.89,0.89,33,27.19,33.53,3.06,1006,71.43,2.0,5.0,9,20,0,0.11,0.11,0.0,0.0,4.0,260819.0,101.69,329,8.89,63,98,156,113,92,2,329,1.59,1.59,59,0.6,0.45,,,,,3559,2.65,2.65,2,0.05,98,37627084,0.14,0.14,0.0,0.0,5.0,5151.0,Uruguay Primera Division
Atlético Progreso,0.46,209.05882352941177,17,101.22,101.22,3745,177.43,179.38,181.5,174.2,177.47,1.82,48.19,48.19,1783,4.19,4.19,155,63.43,63.43,2347,5.59,5.59,207,37,18,19,37,30,19,7,3,1,22,12,6,2,0,4,7,0,20335140.0,7.38,14,0.38,14,1.51,56,5,90,60,0.76,0.76,28,28.92,31.47,2.98,1070,80.0,0.0,5.0,10,16,1,0.14,0.14,0.0,0.0,5.0,214877.0,84.62,359,9.7,47,114,198,126,84,2,359,2.05,2.05,76,0.62,0.79,,,,,3554,3.46,3.46,2,0.05,128,37563844,0.08,0.08,0.0,0.0,3.0,260606.0,Uruguay Primera Division
