team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Athletico PR,1.26,1.11,6.89,3.58,8.42,3.79,18.95,10.58,111.53,87.89,53.32,29.68,52.32,47.68,0.4,0.2,10.79,5.89,8.11,4.68,1.17,1.56,6.7,10.7,13.42,8.21,12.58,11.63,3.37,4.74,1.63,2.32,0.5,0.28,0.26,0.52,0.52,0.54,0.49,0.52,0.51,0.5,0.53,0.51,0.28,0.26,0.56,0.51,0.53,0.5,0.52,0.51,0.5,0.53,Brasileirao Betano Serie A,2024,1.39,0.89,6.37,5.16,6.37,4.53,15.84,11.37,113.26,91.79,53.89,42.0,57.84,42.16,0.5,0.0,9.37,7.11,6.42,4.21,1.17,1.61,4.7,6.4,10.11,7.63,10.26,13.63,3.16,3.63,1.84,3.21,0.5,0.29,0.24,0.5,0.54,0.54,0.49,0.51,0.52,0.5,0.53,0.51,0.3,0.25,0.57,0.5,0.53,0.5,0.51,0.52,0.5,0.52
Atlético GO,0.94,1.41,4.95,5.0,5.95,4.53,14.53,12.74,93.79,90.47,50.37,42.53,47.26,52.74,0.57,0.86,8.84,7.16,5.68,5.53,1.06,1.24,5.67,7.33,9.11,8.37,13.79,11.95,3.16,3.74,3.05,2.79,0.39,0.3,0.34,0.5,0.54,0.54,0.49,0.51,0.53,0.5,0.53,0.4,0.3,0.35,0.56,0.51,0.54,0.49,0.51,0.52,0.5,0.53,Brasileirao Betano Serie A,2024,1.89,0.72,5.68,4.47,5.42,5.79,13.74,13.63,102.56,97.39,46.89,43.5,52.79,47.21,0.5,0.17,8.05,7.53,5.58,6.11,1.0,1.63,5.5,6.17,9.39,8.56,11.53,11.53,3.79,3.37,2.32,2.63,0.57,0.27,0.19,0.5,0.54,0.53,0.5,0.52,0.51,0.5,0.53,0.59,0.27,0.2,0.57,0.5,0.55,0.48,0.52,0.51,0.5,0.53
Atlético Mineiro,1.5,1.44,4.53,4.79,6.05,4.32,14.05,11.79,103.63,92.32,42.11,40.84,57.47,42.53,0.82,0.27,6.84,7.21,7.05,4.58,1.56,1.17,5.3,5.6,9.79,8.26,13.42,11.95,3.16,2.95,3.16,2.32,0.48,0.3,0.26,0.48,0.56,0.54,0.5,0.5,0.54,0.49,0.55,0.49,0.3,0.27,0.59,0.48,0.53,0.5,0.5,0.53,0.49,0.54,Brasileirao Betano Serie A,2024,1.65,1.18,4.68,4.89,5.53,5.32,13.11,13.26,99.58,95.63,37.89,42.0,42.95,57.05,0.57,0.57,6.84,6.37,6.21,6.74,0.89,1.83,5.5,7.33,8.89,9.11,14.0,12.63,3.32,3.05,2.74,2.74,0.41,0.31,0.31,0.48,0.56,0.53,0.5,0.5,0.53,0.49,0.55,0.42,0.31,0.32,0.58,0.49,0.52,0.51,0.5,0.53,0.49,0.54
Bahia,1.39,0.83,5.63,3.84,6.32,4.05,15.37,10.16,105.42,89.89,54.16,35.05,56.0,44.0,0.25,0.25,9.79,5.63,5.58,4.53,1.95,2.84,4.12,9.38,10.26,6.16,12.74,14.0,2.32,3.68,2.21,2.95,0.53,0.27,0.24,0.54,0.5,0.56,0.48,0.52,0.51,0.52,0.52,0.54,0.27,0.24,0.53,0.54,0.56,0.48,0.52,0.51,0.52,0.51,Brasileirao Betano Serie A,2024,1.79,1.26,4.74,4.05,6.84,5.11,14.89,11.74,98.0,96.42,44.68,38.84,43.53,56.47,0.4,0.2,8.84,7.0,6.0,4.63,3.37,1.58,4.27,5.09,11.58,8.05,12.47,10.32,2.95,3.84,2.95,2.16,0.44,0.29,0.31,0.55,0.49,,,0.53,0.5,0.5,0.53,0.44,0.29,0.32,0.52,0.55,,,0.53,0.5,0.5,0.52
Botafogo,1.82,0.76,6.53,3.0,7.26,4.74,17.79,10.21,116.63,76.63,59.21,28.84,57.89,42.11,0.5,0.67,10.32,4.89,7.47,5.32,2.11,0.83,3.42,9.08,12.53,6.89,13.95,10.42,2.32,4.63,2.0,3.0,0.58,0.26,0.2,0.49,0.55,0.55,0.48,0.52,0.52,0.51,0.52,0.59,0.26,0.21,0.57,0.5,0.56,0.48,0.52,0.51,0.51,0.52,Brasileirao Betano Serie A,2024,0.94,1.65,5.05,5.32,6.0,4.42,13.47,12.53,98.63,95.26,46.42,39.95,49.95,50.05,0.5,0.67,7.63,7.53,5.79,4.95,1.69,1.88,5.4,6.0,8.95,7.95,12.21,16.63,3.26,3.37,3.16,3.11,0.38,0.3,0.36,0.51,0.53,0.54,0.49,0.5,0.53,0.49,0.55,0.38,0.3,0.37,0.56,0.51,0.53,0.5,0.5,0.53,0.49,0.54
Bragantino,1.59,1.12,4.68,5.95,5.95,5.42,13.95,13.74,98.32,92.74,48.58,48.05,45.95,54.05,0.5,0.0,7.58,8.89,6.37,4.84,1.13,2.27,5.53,7.0,9.84,9.42,12.63,12.74,3.79,3.0,2.68,2.74,0.46,0.29,0.29,0.52,0.52,0.55,0.48,0.53,0.51,0.5,0.54,0.47,0.29,0.3,0.55,0.52,0.55,0.48,0.52,0.51,0.49,0.54,Brasileirao Betano Serie A,2024,1.61,0.94,6.37,5.37,5.32,5.84,14.26,12.26,94.37,99.47,50.37,41.0,52.0,48.0,0.5,0.17,8.53,6.63,5.74,5.63,1.78,1.11,7.12,8.12,9.37,8.68,12.26,13.47,3.32,3.42,2.26,2.68,0.47,0.29,0.27,0.53,0.51,0.55,0.48,0.52,0.51,0.5,0.53,0.48,0.29,0.28,0.54,0.53,0.54,0.49,0.52,0.51,0.5,0.53
Corinthians,2.06,1.0,6.37,5.16,6.42,5.0,16.84,12.42,97.84,88.11,45.53,37.26,54.26,45.74,0.29,0.43,9.58,6.26,6.84,5.79,1.44,1.5,7.78,6.0,11.37,8.21,12.95,14.58,2.79,4.63,3.05,3.84,0.5,0.29,0.24,0.5,0.54,0.54,0.5,0.51,0.52,0.52,0.52,0.51,0.29,0.25,0.58,0.5,0.53,0.5,0.51,0.52,0.51,0.52,Brasileirao Betano Serie A,2024,1.5,0.94,6.37,4.68,4.74,5.58,15.05,12.63,98.0,90.0,47.89,36.95,51.74,48.26,0.56,0.56,8.47,7.42,6.47,5.16,1.63,1.89,4.56,5.22,10.26,8.68,14.79,13.16,3.16,4.53,2.84,2.68,0.45,0.3,0.28,0.49,0.55,0.52,0.51,0.52,0.52,0.52,0.51,0.46,0.3,0.29,0.57,0.5,0.52,0.51,0.51,0.51,0.52,0.51
Criciúma,1.22,1.5,5.53,5.68,6.32,6.79,15.26,15.37,91.0,112.05,45.32,54.63,43.53,56.47,0.0,0.67,7.84,8.16,7.26,6.95,2.11,1.56,4.38,4.85,10.16,10.11,13.26,10.53,3.53,3.68,2.63,2.37,0.38,0.31,0.35,0.51,0.53,0.53,0.5,0.51,0.52,0.52,0.52,0.39,0.31,0.36,0.56,0.51,0.53,0.5,0.5,0.52,0.51,0.52,Brasileirao Betano Serie A,2024,1.89,1.11,6.0,3.84,7.16,4.68,17.74,11.16,113.58,87.58,51.63,33.26,58.42,41.58,1.0,0.0,10.42,5.79,7.32,5.37,1.12,2.0,3.73,9.27,12.16,8.32,11.47,13.21,3.05,3.84,1.53,2.58,0.62,0.25,0.17,0.49,0.55,0.56,0.48,0.52,0.51,0.52,0.52,0.63,0.25,0.17,0.58,0.5,0.55,0.48,0.52,0.51,0.51,0.52
Cruzeiro,1.71,0.94,6.58,4.95,6.37,5.26,14.47,12.11,100.0,88.95,50.42,39.79,53.16,46.84,0.71,0.14,7.89,7.32,6.58,4.79,1.56,1.61,5.38,7.46,10.32,8.21,12.89,10.63,3.11,3.37,2.37,2.74,0.51,0.29,0.23,0.48,0.56,0.54,0.49,0.51,0.52,0.5,0.54,0.52,0.29,0.24,0.58,0.49,0.54,0.49,0.51,0.51,0.49,0.54,Brasileirao Betano Serie A,2024,1.47,0.82,5.21,4.21,5.21,5.05,13.53,11.68,99.17,94.5,46.17,37.89,46.95,53.05,0.33,0.0,8.79,6.42,4.74,5.26,0.93,1.87,5.22,6.56,9.06,8.06,12.32,12.63,2.79,3.95,2.16,2.68,0.46,0.3,0.27,0.49,0.55,0.53,0.51,0.5,0.53,0.49,0.54,0.48,0.3,0.28,0.58,0.49,0.53,0.5,0.5,0.53,0.49,0.54
Cuiabá,1.07,1.53,4.47,4.95,5.16,4.84,11.53,11.47,86.18,107.65,41.71,45.47,44.74,55.26,0.4,0.6,6.16,6.58,5.32,4.79,1.74,1.68,7.2,6.0,8.41,7.94,12.21,11.47,3.0,2.84,2.42,2.05,0.34,0.32,0.37,0.46,0.58,0.5,0.53,0.49,0.54,0.49,0.55,0.35,0.32,0.38,0.61,0.47,0.5,0.53,0.49,0.54,0.49,0.54,Brasileirao Betano Serie A,2024,1.62,0.81,6.74,3.11,7.79,3.84,17.16,8.58,121.42,82.0,65.68,30.05,59.74,40.26,0.5,0.5,9.84,5.26,7.16,3.32,2.0,1.41,3.23,8.15,12.21,5.89,11.63,11.32,1.89,4.21,2.0,3.11,0.6,0.27,0.17,0.43,0.61,0.52,0.51,0.5,0.53,0.5,0.53,0.6,0.28,0.18,0.64,0.44,0.52,0.51,0.5,0.53,0.5,0.53
Flamengo,1.67,1.17,6.53,3.53,6.11,4.42,16.42,10.84,116.32,85.89,60.79,34.63,57.11,42.89,0.71,0.14,9.95,5.58,6.47,5.37,1.61,1.78,3.45,5.73,11.74,7.63,11.47,13.47,2.42,4.42,1.42,2.68,0.63,0.25,0.16,0.48,0.56,0.52,0.5,0.53,0.51,0.5,0.53,0.63,0.26,0.17,0.58,0.5,0.52,0.51,0.52,0.51,0.5,0.53,Brasileirao Betano Serie A,2024,1.17,1.72,4.95,5.37,5.32,4.68,11.79,13.47,85.42,101.79,39.79,48.79,45.58,54.42,0.4,0.6,6.32,7.95,5.0,5.21,1.68,1.47,5.92,5.15,8.42,9.11,13.68,11.42,3.53,2.47,2.63,2.53,0.34,0.3,0.4,0.51,0.53,0.53,0.5,0.51,0.52,0.5,0.54,0.35,0.3,0.4,0.56,0.51,0.53,0.5,0.51,0.52,0.5,0.53
Fluminense,1.18,0.94,5.47,3.84,5.74,4.58,13.68,11.58,108.74,84.95,50.74,35.05,57.37,42.63,0.33,0.33,7.37,6.68,6.26,4.95,1.41,1.71,4.3,6.6,9.74,8.05,12.58,15.05,3.32,3.95,3.42,3.0,0.46,0.29,0.28,0.48,0.56,0.52,0.51,0.51,0.52,0.49,0.54,0.47,0.3,0.29,0.59,0.48,0.52,0.51,0.51,0.52,0.49,0.55,Brasileirao Betano Serie A,2024,1.21,0.68,6.37,3.89,6.47,4.11,15.05,10.16,99.05,95.37,49.16,40.79,46.47,53.53,0.33,0.33,8.0,5.63,6.95,4.53,1.95,0.79,4.78,9.22,10.89,6.26,15.05,11.84,2.89,3.74,2.63,2.58,0.49,0.3,0.25,0.49,0.56,0.52,0.51,0.51,0.53,0.5,0.53,0.5,0.3,0.25,0.58,0.49,0.52,0.51,0.5,0.53,0.5,0.53
Fortaleza,1.78,0.44,5.42,4.84,5.26,5.16,13.16,11.26,92.84,101.26,36.32,37.74,44.0,56.0,0.75,0.0,8.37,5.63,4.79,5.37,1.58,2.0,5.0,5.12,8.63,7.05,14.05,13.0,2.68,2.95,2.32,2.84,0.49,0.29,0.24,0.5,0.54,0.54,0.49,0.51,0.52,0.5,0.55,0.51,0.29,0.25,0.58,0.5,0.54,0.49,0.51,0.52,0.49,0.54,Brasileirao Betano Serie A,2024,1.72,1.17,7.16,3.84,5.63,4.42,17.79,10.84,117.26,87.89,58.47,31.89,58.79,41.21,0.83,0.17,10.32,6.05,7.37,4.79,1.72,1.83,4.08,7.08,12.05,7.58,13.0,12.21,2.21,5.58,2.42,2.95,0.49,0.29,0.25,0.5,0.54,0.53,0.5,0.51,0.52,0.5,0.53,0.5,0.29,0.27,0.57,0.5,0.54,0.5,0.51,0.52,0.5,0.53
Grêmio,1.37,1.37,5.68,4.32,4.63,5.42,13.16,13.11,98.47,103.0,52.68,38.79,47.0,53.0,0.22,0.89,8.26,6.84,4.63,6.26,0.81,1.25,4.77,4.08,8.42,8.26,11.11,12.95,2.95,3.21,2.16,2.89,0.45,0.3,0.29,0.52,0.52,0.54,0.49,0.51,0.52,0.5,0.54,0.46,0.3,0.3,0.56,0.51,0.54,0.49,0.51,0.52,0.5,0.53,Brasileirao Betano Serie A,2024,1.33,1.0,5.84,4.68,7.37,3.68,17.53,10.47,110.05,85.26,50.32,36.32,55.79,44.21,0.57,0.14,9.47,6.05,8.05,4.37,1.94,1.53,4.56,11.33,11.47,7.05,14.16,10.47,3.16,4.21,3.0,2.47,0.51,0.29,0.25,0.51,0.53,0.52,0.51,0.52,0.52,0.5,0.53,0.52,0.29,0.25,0.56,0.51,0.52,0.51,0.52,0.51,0.5,0.53
Internacional,1.67,0.83,6.21,4.0,5.74,3.16,16.11,8.63,122.42,85.53,61.0,31.53,55.47,44.53,0.75,0.25,10.37,5.79,5.68,2.84,1.78,2.39,3.55,6.64,11.05,5.79,15.84,11.68,2.63,4.63,2.26,2.53,0.56,0.27,0.21,0.48,0.56,0.54,0.49,0.51,0.52,0.51,0.52,0.56,0.28,0.21,0.59,0.48,0.54,0.49,0.51,0.52,0.51,0.52,Brasileirao Betano Serie A,2024,1.17,1.28,4.37,3.79,5.11,5.11,11.58,12.26,87.89,94.05,41.42,40.79,50.26,49.74,0.67,0.33,7.26,7.26,4.37,5.0,2.53,1.53,5.5,5.75,8.16,8.21,12.63,14.53,3.0,2.95,2.95,2.89,0.38,0.31,0.34,0.49,0.55,0.52,0.51,0.5,0.53,0.49,0.55,0.39,0.31,0.34,0.58,0.5,0.52,0.51,0.5,0.53,0.5,0.52
Juventude,1.5,1.33,5.16,5.53,6.42,5.63,14.74,13.58,90.84,97.16,42.05,41.68,48.74,51.26,0.0,0.0,8.42,8.05,6.32,5.47,1.26,1.89,4.09,7.73,10.47,8.58,11.74,13.32,3.11,3.74,2.32,2.84,0.36,0.31,0.37,0.51,0.53,0.53,0.5,0.5,0.53,0.5,0.54,0.37,0.3,0.38,0.56,0.51,0.53,0.5,0.5,0.53,0.5,0.52,Brasileirao Betano Serie A,2024,1.94,1.17,6.16,3.79,7.0,4.63,17.16,11.16,105.94,84.11,51.0,31.78,53.95,46.05,1.0,0.27,10.79,6.0,6.37,5.16,1.21,1.42,6.3,6.4,12.0,7.44,14.89,13.0,2.79,3.95,2.47,3.63,0.59,0.26,0.19,0.5,0.54,0.53,0.5,0.52,0.51,0.51,0.52,0.6,0.27,0.19,0.57,0.5,0.53,0.5,0.52,0.51,0.51,0.52
Palmeiras,1.79,0.84,7.74,3.37,8.05,4.37,19.42,10.11,106.89,85.32,51.68,30.74,56.0,44.0,1.0,0.17,10.53,5.53,8.89,4.58,2.22,1.33,4.14,9.57,13.63,7.58,13.95,12.53,3.0,4.84,2.26,3.32,0.63,0.24,0.16,0.49,0.55,0.54,0.49,0.52,0.51,0.51,0.52,0.64,0.25,0.17,0.57,0.5,0.55,0.48,0.52,0.51,0.51,0.52,Brasileirao Betano Serie A,2024,0.94,1.44,4.26,5.63,5.26,5.89,13.26,15.95,90.58,106.74,39.47,47.95,47.42,52.58,0.17,0.5,8.0,8.58,5.32,7.32,1.33,2.17,5.36,5.45,9.11,10.74,13.95,13.79,4.0,3.53,2.63,2.53,0.29,0.29,0.45,0.52,0.52,0.53,0.5,0.51,0.52,0.51,0.52,0.3,0.29,0.46,0.55,0.52,0.54,0.49,0.51,0.52,0.5,0.53
São Paulo,1.63,0.95,5.79,3.53,5.47,4.58,13.05,10.47,105.58,86.74,42.32,32.21,57.95,42.05,0.5,0.33,8.16,6.0,4.89,4.42,2.06,0.88,4.27,5.09,9.42,7.05,12.11,13.53,2.68,3.11,2.79,2.68,0.52,0.29,0.22,0.46,0.58,0.52,0.51,0.5,0.53,0.5,0.53,0.53,0.3,0.23,0.6,0.47,0.51,0.52,0.5,0.53,0.5,0.53,Brasileirao Betano Serie A,2024,1.47,1.29,5.0,4.53,5.74,4.21,13.21,11.74,90.05,96.68,44.37,38.84,44.42,55.58,0.33,0.33,7.84,6.95,5.37,4.63,1.0,1.53,6.0,7.27,9.16,7.74,13.47,12.26,2.63,3.0,2.94,2.28,0.41,0.31,0.31,0.47,0.57,0.53,0.51,0.49,0.54,0.52,0.52,0.42,0.32,0.32,0.6,0.47,0.52,0.51,0.49,0.54,0.5,0.52
Vasco da Gama,1.61,1.33,4.05,4.58,5.0,5.21,12.89,12.84,103.61,100.94,45.0,43.72,51.05,48.95,0.67,0.0,8.16,6.84,4.74,6.0,1.5,1.28,7.0,6.8,8.5,9.61,13.84,12.11,3.63,2.74,2.58,2.11,0.41,0.3,0.33,0.52,0.52,0.53,0.5,0.52,0.52,0.5,0.53,0.42,0.3,0.34,0.55,0.52,0.53,0.5,0.52,0.52,0.5,0.53,Brasileirao Betano Serie A,2024,1.68,0.74,6.05,4.53,7.42,5.0,17.58,10.21,104.0,91.84,54.32,31.47,53.63,46.37,0.25,0.25,9.58,5.74,7.95,4.47,1.63,1.74,4.33,6.58,12.47,7.21,12.05,10.89,2.47,4.21,1.42,2.32,0.54,0.28,0.22,0.5,0.54,0.55,0.48,0.51,0.52,0.5,0.53,0.54,0.28,0.23,0.57,0.5,0.55,0.48,0.51,0.52,0.5,0.52
Vitória,1.21,1.21,5.26,5.16,5.42,5.21,13.42,13.11,86.37,106.32,38.11,41.37,43.32,56.68,0.56,0.22,8.11,8.05,5.26,5.05,1.67,1.28,5.75,8.38,8.58,8.58,11.79,13.21,3.32,2.95,2.47,2.74,0.37,0.32,0.35,0.49,0.55,0.51,0.52,0.5,0.54,0.49,0.54,0.38,0.32,0.36,0.57,0.5,0.51,0.52,0.5,0.54,0.48,0.55,Brasileirao Betano Serie A,2024,1.61,1.22,6.11,4.42,6.37,4.58,15.05,11.0,109.26,87.89,52.37,34.42,58.37,41.63,0.5,0.33,8.95,5.74,6.05,5.26,1.0,1.41,5.08,7.33,9.95,7.63,13.05,11.79,2.89,2.95,2.37,2.95,0.59,0.27,0.18,0.48,0.56,0.53,0.5,0.51,0.52,0.51,0.52,0.59,0.27,0.19,0.59,0.48,0.53,0.5,0.51,0.52,0.51,0.52
