team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alianza Petrolera,1.0,1.56,4.33,3.56,7.33,7.33,13.56,13.22,92.22,82.44,39.89,34.22,53.67,46.33,0.0,0.44,6.5,6.25,7.12,6.5,1.67,1.33,9.2,11.0,6.25,7.25,13.0,12.67,3.0,2.56,3.33,3.0,0.37,0.33,0.34,0.47,0.58,0.54,0.5,0.49,0.55,0.49,0.55,0.37,0.31,0.36,0.58,0.5,0.55,0.5,0.49,0.56,0.5,0.55,Colombia Liga BetPlay,2024,1.5,0.6,5.4,3.0,8.8,4.3,15.3,9.3,109.2,77.7,49.1,25.7,54.2,45.8,0.5,0.3,8.3,4.7,7.0,4.6,2.38,2.25,6.71,11.86,7.0,5.38,11.3,14.1,3.2,3.3,2.3,1.9,0.58,0.28,0.18,0.46,0.59,0.54,0.49,0.51,0.52,0.5,0.54,0.6,0.27,0.18,0.61,0.47,0.55,0.49,0.52,0.52,0.5,0.54
América de Cali,1.62,0.57,5.27,3.36,6.55,3.73,14.73,9.05,94.18,76.27,47.5,29.64,53.0,47.0,0.8,0.27,7.68,4.0,5.91,4.41,1.86,1.38,6.0,10.68,9.43,6.24,10.09,11.18,2.77,3.5,1.86,2.27,0.59,0.28,0.18,0.46,0.59,0.54,0.5,0.52,0.52,0.5,0.54,0.59,0.28,0.19,0.62,0.46,0.54,0.5,0.52,0.52,0.5,0.54,Colombia Liga BetPlay,2024,1.27,0.95,3.82,4.32,4.64,4.77,11.32,11.95,80.91,76.32,36.77,33.5,51.5,48.5,0.36,0.07,5.59,6.05,5.59,4.64,1.81,2.29,9.2,7.47,6.81,7.57,12.09,11.41,3.36,2.68,2.18,2.05,0.36,0.33,0.35,0.5,0.55,0.53,0.51,0.5,0.54,0.5,0.54,0.38,0.32,0.36,0.59,0.5,0.53,0.52,0.5,0.54,0.5,0.55
Atlético Bucaramanga,1.45,0.8,4.73,3.95,5.27,4.64,10.87,10.39,86.57,82.96,41.61,31.26,48.04,51.96,0.36,0.09,5.91,4.87,4.91,5.14,1.27,1.41,7.19,9.12,6.91,5.35,13.65,11.35,2.83,3.04,3.05,2.95,0.45,0.33,0.26,0.45,0.6,0.51,0.53,0.51,0.54,0.5,0.55,0.46,0.32,0.28,0.62,0.45,0.5,0.54,0.5,0.54,0.5,0.55,Colombia Liga BetPlay,2024,0.77,1.05,6.65,2.91,6.74,4.78,13.13,9.17,100.3,78.04,44.04,29.61,58.39,41.61,0.55,0.09,7.22,4.61,5.61,4.26,1.95,1.43,7.32,9.84,6.77,5.14,11.22,13.17,1.96,3.48,2.43,3.26,0.5,0.32,0.23,0.44,0.61,0.51,0.53,0.52,0.52,0.5,0.54,0.52,0.31,0.23,0.63,0.44,0.5,0.54,0.52,0.53,0.5,0.55
Atlético Nacional,1.74,0.83,6.57,3.09,6.3,4.22,17.35,9.26,103.26,78.43,46.52,30.87,56.39,43.61,0.33,0.33,8.83,4.52,8.13,4.57,1.64,2.86,6.22,8.89,9.87,5.17,11.48,11.7,2.39,5.17,2.78,2.13,0.57,0.29,0.2,0.47,0.58,0.55,0.49,0.51,0.54,0.5,0.55,0.57,0.29,0.2,0.61,0.47,0.55,0.5,0.51,0.53,0.5,0.55,Colombia Liga BetPlay,2024,1.0,1.13,5.35,4.0,5.96,5.65,12.26,12.57,87.22,83.43,40.65,33.87,51.17,48.83,0.18,0.09,6.35,5.39,5.43,6.35,2.83,1.17,8.71,7.71,6.77,6.68,12.09,12.04,3.09,2.43,2.91,2.87,0.39,0.32,0.34,0.48,0.57,0.53,0.51,0.5,0.54,0.5,0.56,0.39,0.32,0.35,0.6,0.48,0.54,0.51,0.51,0.53,0.49,0.56
Boyacá Chicó,1.17,1.28,4.68,3.32,6.32,3.32,14.0,8.74,94.53,69.89,37.37,32.26,53.26,46.74,0.36,0.43,5.05,4.68,7.63,3.63,1.68,3.79,7.08,8.67,7.53,4.53,11.16,13.95,2.11,3.21,1.78,2.5,0.38,0.33,0.33,0.47,0.58,0.52,0.52,0.5,0.54,,,0.4,0.32,0.33,0.61,0.47,0.52,0.52,0.5,0.54,,,Colombia Liga BetPlay,2024,2.42,0.74,5.11,3.58,5.42,4.53,13.68,10.47,79.16,74.95,41.11,28.0,58.21,41.79,0.5,0.0,6.68,4.21,6.26,6.16,3.53,1.26,6.35,8.29,8.11,4.56,11.63,10.68,2.16,3.05,2.16,2.32,0.59,0.28,0.18,0.45,0.6,0.54,0.5,0.51,0.54,0.51,0.54,0.59,0.28,0.18,0.62,0.46,0.53,0.51,0.51,0.53,0.51,0.53
Deportes Tolima,1.64,0.72,5.0,3.15,5.96,4.12,14.62,9.23,97.69,83.81,39.58,28.77,57.65,42.35,0.77,0.31,8.58,3.65,5.35,4.81,2.08,1.23,7.35,7.95,8.96,4.96,11.04,11.31,2.12,3.62,2.12,2.62,0.58,0.29,0.18,0.46,0.59,0.54,0.51,0.52,0.52,0.5,0.55,0.59,0.29,0.19,0.61,0.46,0.53,0.51,0.52,0.53,0.49,0.56,Colombia Liga BetPlay,2024,1.12,1.28,4.48,4.32,6.28,4.72,13.92,10.19,91.12,81.77,40.0,34.19,47.27,52.73,0.38,0.38,6.81,5.62,7.04,4.48,1.46,1.5,7.1,8.67,9.0,6.88,10.65,11.23,2.96,3.42,2.44,2.68,0.38,0.33,0.33,0.48,0.57,0.53,0.51,0.49,0.55,,,0.39,0.33,0.34,0.6,0.48,0.53,0.52,0.49,0.55,0.49,0.56
Deportivo Cali,1.16,1.16,4.47,4.42,4.63,6.21,11.37,12.53,87.47,91.05,39.79,35.53,50.79,49.21,0.58,0.25,5.79,5.79,5.32,6.32,2.0,1.06,7.06,7.75,7.0,7.16,12.16,10.68,2.84,3.11,2.16,3.47,0.44,0.32,0.28,0.49,0.56,0.52,0.52,0.51,0.53,0.49,0.55,0.44,0.31,0.3,0.59,0.49,0.52,0.52,0.52,0.53,0.49,0.55,Colombia Liga BetPlay,2024,1.53,0.89,5.16,4.37,6.89,4.95,14.89,10.0,90.0,76.42,37.42,34.21,53.37,46.63,0.17,0.33,6.89,5.06,7.56,4.0,1.0,2.0,8.12,10.31,8.06,5.65,13.16,11.74,2.47,3.32,2.84,2.53,0.54,0.3,0.21,0.47,0.58,0.54,0.5,0.52,0.53,0.52,0.53,0.54,0.29,0.23,0.59,0.49,0.53,0.51,0.51,0.53,0.51,0.54
Deportivo Pasto,1.24,1.14,4.95,3.0,7.23,4.45,14.23,9.68,93.59,81.86,42.55,31.59,52.32,47.68,0.36,0.07,6.95,4.45,6.59,4.41,2.75,1.05,8.63,10.84,7.95,5.77,10.91,9.64,1.86,3.0,2.55,2.23,0.45,0.32,0.27,0.44,0.61,0.52,0.52,0.5,0.55,0.51,0.55,0.45,0.32,0.29,0.63,0.45,0.52,0.52,0.49,0.55,0.51,0.54,Colombia Liga BetPlay,2024,1.05,0.9,5.18,3.5,6.0,4.82,13.32,10.36,97.14,84.45,40.86,30.77,55.0,45.0,0.33,0.33,6.82,5.18,6.05,4.82,1.29,2.0,7.83,9.56,7.55,6.3,11.45,12.45,2.68,3.23,2.14,3.09,0.5,0.31,0.23,0.44,0.61,0.52,0.53,0.5,0.54,0.5,0.55,0.51,0.31,0.24,0.63,0.44,0.51,0.53,0.5,0.54,0.5,0.55
Deportivo Pereira,1.33,0.95,6.14,4.27,5.55,5.68,11.91,11.09,89.45,75.59,38.18,28.82,54.09,45.91,0.15,0.38,6.5,5.73,4.73,4.77,2.1,1.14,7.68,7.58,6.24,5.62,10.95,12.0,2.5,2.45,2.82,3.68,0.46,0.32,0.26,0.46,0.59,0.53,0.52,0.5,0.55,0.5,0.56,0.47,0.32,0.27,0.61,0.47,0.52,0.52,0.5,0.55,0.5,0.55,Colombia Liga BetPlay,2024,1.14,1.19,4.36,3.32,6.73,3.95,14.23,9.68,96.23,73.73,45.77,28.73,53.27,46.73,0.5,0.5,6.85,4.9,6.85,4.35,1.53,1.37,6.78,10.39,7.33,4.81,11.45,13.55,2.23,3.14,2.32,2.64,0.48,0.32,0.24,0.45,0.6,0.52,0.53,0.49,0.55,,,0.49,0.32,0.25,0.62,0.46,0.51,0.53,0.49,0.55,,
Envigado,0.88,0.94,4.79,5.74,5.63,7.47,12.84,14.05,73.53,88.79,34.32,41.37,46.0,54.0,0.17,0.42,5.26,7.21,7.11,6.58,2.29,1.35,10.5,8.78,6.16,7.05,12.42,11.32,2.68,3.63,2.79,2.32,0.31,0.32,0.41,0.49,0.56,0.54,0.51,0.51,0.53,0.5,0.55,0.32,0.31,0.42,0.58,0.5,0.53,0.51,0.51,0.53,0.5,0.54,Colombia Liga BetPlay,2024,1.89,0.5,6.11,2.79,8.05,5.89,17.0,10.47,97.05,73.21,44.74,26.84,55.47,44.53,0.55,0.0,8.79,4.58,7.11,5.53,1.05,1.95,8.2,10.93,9.5,5.28,10.89,10.47,2.21,4.0,1.32,2.11,0.63,0.26,0.16,0.45,0.6,0.55,0.5,0.53,0.52,0.52,0.53,0.63,0.26,0.17,0.61,0.47,0.55,0.49,0.53,0.52,0.51,0.54
