team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Bayer 04 Leverkusen,2.57,1.57,7.65,2.71,5.47,3.24,17.47,8.35,127.47,70.41,73.0,26.88,63.88,36.12,0.75,0.5,11.06,5.35,5.88,2.76,2.29,1.76,5.82,8.65,10.94,5.35,9.12,10.47,2.24,4.35,1.88,2.38,0.71,0.18,0.15,0.56,0.48,,,,,0.54,0.5,0.71,0.19,0.16,0.5,0.57,,,,,0.54,0.49,Germany Bundesliga,2024-2025,1.31,2.25,4.12,5.06,3.94,4.47,11.29,12.24,91.65,104.53,39.47,51.24,45.0,55.0,0.5,0.75,6.53,8.47,4.24,3.35,2.06,1.62,6.65,7.29,7.47,8.24,11.18,10.0,2.65,3.47,1.76,1.88,0.24,0.24,0.55,0.6,0.43,,,0.54,0.5,0.52,0.51,0.25,0.24,0.56,0.46,0.61,,,0.53,0.5,0.53,0.5
Borussia Dortmund,2.59,1.12,6.41,2.76,5.35,3.24,15.53,8.65,118.29,77.65,60.0,36.18,60.47,39.53,0.83,0.33,10.88,6.06,4.59,2.53,1.6,2.8,5.53,8.88,10.29,6.06,10.35,9.29,1.82,3.0,1.94,1.88,0.63,0.2,0.2,0.6,0.43,,,,,,,0.64,0.21,0.21,0.46,0.61,,,,,,,Germany Bundesliga,2024-2025,2.0,1.69,5.12,4.82,4.59,4.35,13.47,12.88,91.0,110.53,44.29,49.12,42.0,58.0,0.5,0.5,8.41,8.82,4.53,3.29,3.0,1.12,7.35,7.47,9.41,8.53,11.71,9.06,2.76,3.65,2.06,2.38,0.3,0.25,0.48,0.64,0.39,,,,,0.54,0.49,0.31,0.26,0.49,0.42,0.65,,,,,0.53,0.5
Borussia Mönchengladbach,1.71,1.53,4.94,5.06,5.18,6.41,12.76,16.71,89.59,114.0,37.76,52.88,49.59,50.41,0.6,0.6,9.24,10.24,3.35,6.12,2.38,1.81,8.29,6.41,8.88,10.53,9.35,9.47,4.06,3.0,1.8,1.73,0.41,0.25,0.36,0.66,0.38,,,,,0.54,0.5,0.43,0.26,0.37,0.41,0.67,,,,,0.53,0.5,Germany Bundesliga,2024-2025,1.94,1.62,5.53,4.35,6.35,3.65,17.76,11.82,109.59,85.41,61.76,37.82,50.06,49.94,0.83,0.33,11.65,8.24,6.06,3.53,1.75,1.62,5.65,9.24,10.71,8.0,10.41,10.65,3.41,3.94,1.25,1.62,0.52,0.24,0.27,0.65,0.39,,,,,0.54,0.49,0.53,0.25,0.27,0.42,0.65,,,,,0.54,0.5
Eintracht Frankfurt,2.41,1.29,5.35,4.35,5.94,4.0,16.41,11.82,95.71,100.47,50.41,47.47,52.53,47.47,1.0,0.0,11.29,7.29,4.88,4.35,1.29,2.76,6.53,9.47,10.82,7.47,10.18,9.41,3.24,3.41,1.24,1.59,0.51,0.24,0.28,0.63,0.4,,,,,0.54,0.49,0.52,0.24,0.29,0.43,0.64,,,,,0.54,0.49,Germany Bundesliga,2024-2025,1.5,1.69,5.76,4.53,6.24,4.65,15.76,12.18,109.59,89.76,53.94,37.41,52.71,47.29,0.6,0.6,11.06,8.71,4.71,3.47,3.0,2.06,7.06,9.29,10.41,8.59,9.71,9.88,3.29,3.88,1.82,1.94,0.43,0.26,0.34,0.64,0.4,,,,,0.53,0.5,0.44,0.26,0.35,0.43,0.64,,,,,0.53,0.49
FC Augsburg,1.38,1.54,5.76,4.53,6.59,4.18,14.29,10.47,105.71,95.06,52.24,39.71,46.65,53.35,0.5,0.5,9.65,6.82,4.65,3.65,1.76,1.41,7.65,9.76,10.18,7.82,9.82,10.94,2.59,3.53,2.44,1.88,0.39,0.27,0.37,0.59,0.45,0.56,0.47,0.52,0.51,0.52,0.51,0.4,0.28,0.38,0.48,0.6,0.56,0.47,0.52,0.51,0.52,0.51,Germany Bundesliga,2024-2025,1.81,1.06,5.59,3.41,6.06,4.24,16.12,9.18,107.18,89.88,53.82,37.18,58.82,41.18,1.0,0.25,11.29,5.47,4.71,3.65,1.94,1.71,6.18,9.76,10.76,5.76,11.41,10.82,1.47,3.71,1.18,2.29,0.55,0.25,0.23,0.56,0.47,,,0.53,0.49,0.51,0.51,0.56,0.25,0.24,0.5,0.57,,,0.53,0.5,0.51,0.52
FC Bayern München,3.12,0.94,6.71,2.65,7.18,2.59,21.29,6.82,151.18,59.47,75.88,21.06,69.71,30.29,1.33,0.17,15.29,4.82,5.94,1.94,1.67,1.27,4.18,10.88,14.06,4.18,8.24,9.53,1.76,5.59,1.25,1.81,0.84,0.12,0.07,0.55,0.49,,,,,,,0.84,0.13,0.09,0.51,0.56,,,,,,,Germany Bundesliga,2024-2025,1.0,2.88,2.53,6.24,3.12,5.0,6.76,16.71,72.18,133.41,31.06,64.53,32.94,67.06,0.33,0.67,4.76,10.53,1.94,5.82,1.56,1.94,8.41,4.59,4.76,11.53,11.47,9.12,4.35,1.24,2.25,1.75,0.15,0.19,0.7,0.6,0.44,,,,,0.54,0.49,0.16,0.2,0.7,0.46,0.62,,,,,0.54,0.49
FC Union Berlin,1.27,1.47,4.35,4.47,6.06,4.0,13.53,10.76,96.88,112.47,49.18,47.35,43.12,56.88,0.75,0.5,8.65,6.71,4.82,3.88,2.24,1.06,6.35,9.12,8.88,6.88,12.29,10.47,2.35,3.06,2.24,1.76,0.4,0.28,0.35,0.56,0.47,0.55,0.47,0.52,0.51,0.52,0.52,0.41,0.28,0.36,0.5,0.57,0.56,0.48,0.53,0.5,0.52,0.51,Germany Bundesliga,2024-2025,1.87,1.13,5.35,4.59,5.24,4.71,13.65,11.0,126.53,83.71,50.24,36.0,62.29,37.71,1.0,0.0,9.47,7.82,4.18,3.18,1.5,1.88,6.29,8.88,9.29,6.88,8.65,12.35,2.53,3.06,1.69,2.12,0.51,0.27,0.26,0.56,0.48,0.56,0.47,0.54,0.49,0.51,0.52,0.52,0.27,0.27,0.51,0.57,0.56,0.48,0.53,0.49,0.51,0.52
FSV Mainz 05,1.5,1.12,5.88,3.76,4.82,5.06,13.35,11.47,113.12,91.35,53.06,38.35,52.35,47.65,0.33,1.0,9.18,7.94,3.47,3.06,2.47,1.24,7.47,8.94,9.0,7.71,12.24,10.65,2.53,3.47,2.24,2.65,0.45,0.26,0.32,0.59,0.44,,,0.54,0.49,0.51,0.52,0.46,0.27,0.33,0.47,0.61,,,0.54,0.49,0.52,0.51,Germany Bundesliga,2024-2025,1.56,1.94,6.41,3.82,5.53,4.29,15.82,11.35,109.65,99.71,48.53,40.65,51.65,48.35,0.5,0.75,10.82,7.71,5.0,3.41,1.65,2.12,7.76,7.24,9.82,7.65,9.88,11.82,2.18,3.82,2.24,1.94,0.47,0.27,0.29,0.6,0.44,,,0.55,0.48,0.53,0.5,0.48,0.27,0.3,0.47,0.6,,,0.55,0.48,0.53,0.5
Heidenheim,0.87,2.2,5.18,4.24,5.53,4.41,12.76,12.88,96.24,113.47,43.53,46.41,46.18,53.82,0.25,0.75,7.35,7.88,4.76,4.65,1.88,1.25,8.71,8.65,8.82,8.94,11.18,12.82,3.06,3.0,1.35,2.35,0.3,0.27,0.46,0.61,0.43,,,0.52,0.52,0.52,0.51,0.31,0.27,0.47,0.46,0.62,,,0.51,0.51,0.52,0.51,Germany Bundesliga,2024-2025,1.82,1.41,5.53,3.06,5.94,4.59,14.18,10.94,133.82,84.18,51.18,36.29,59.82,40.18,0.75,1.0,9.29,7.0,4.47,3.76,0.71,1.18,6.18,8.82,10.94,7.47,11.0,11.47,2.53,3.41,2.38,2.69,0.6,0.24,0.2,0.57,0.46,,,,,0.53,0.5,0.61,0.24,0.21,0.49,0.58,,,,,0.52,0.5
Holstein Kiel,1.41,2.41,3.59,5.82,4.65,4.47,11.24,15.0,80.35,111.47,32.41,52.0,45.82,54.18,0.4,0.6,7.0,11.29,4.29,3.47,1.27,2.2,8.0,6.71,7.88,9.47,12.0,11.59,3.53,2.88,2.18,2.24,0.26,0.25,0.52,0.61,0.43,,,0.55,0.48,0.54,0.5,0.27,0.25,0.53,0.46,0.62,,,0.55,0.48,0.53,0.5,Germany Bundesliga,2024-2025,2.29,1.47,7.35,3.47,7.41,3.53,17.65,10.71,121.47,72.82,66.18,26.88,58.47,41.53,0.57,0.43,11.76,7.06,5.24,3.12,1.71,1.47,6.24,10.12,12.41,6.82,10.18,11.94,2.53,3.76,2.12,2.35,0.7,0.19,0.15,0.58,0.46,,,,,0.54,0.5,0.7,0.2,0.16,0.48,0.59,,,0.53,0.5,0.52,0.51
