team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Akhmat Grozny,1.23,1.69,5.93,5.47,6.07,3.8,15.07,11.53,88.8,83.0,50.0,39.87,47.13,52.87,0.6,1.2,9.8,6.6,4.33,4.33,1.93,1.21,5.73,8.47,9.2,7.53,13.6,16.93,2.87,3.27,2.07,3.0,0.42,0.28,0.34,0.56,0.48,0.55,0.48,0.52,0.51,0.52,0.51,,,,,,,,,,,,Russia Premier League,2024-2025,2.17,0.92,5.0,4.8,5.0,5.13,14.07,12.33,81.36,86.36,41.71,46.71,52.67,47.33,1.43,0.57,8.67,7.73,4.8,4.07,1.6,1.93,7.47,7.33,9.79,8.29,15.33,13.27,3.2,3.73,2.47,2.53,0.48,0.27,0.29,0.54,0.5,0.52,0.52,0.52,0.51,0.5,0.53,,,,,,,,,,,
Akron,1.47,2.0,4.67,5.67,5.2,5.33,14.13,16.73,89.07,93.2,46.33,49.27,45.53,54.47,0.8,1.4,9.13,10.2,4.8,5.47,1.62,1.69,8.2,7.4,9.0,11.0,13.53,10.2,4.67,3.6,1.87,1.27,0.33,0.27,0.44,0.57,0.47,,,0.53,0.5,0.53,0.5,,,,,,,,,,,,Russia Premier League,2024-2025,1.79,1.21,6.53,4.87,8.0,3.93,17.93,10.4,95.47,87.33,50.67,39.93,52.07,47.93,1.5,0.5,11.67,6.47,5.8,3.53,1.57,1.64,6.07,10.2,12.93,5.87,9.53,13.2,1.73,4.07,1.6,2.27,0.58,0.24,0.21,0.55,0.49,0.54,0.5,0.52,0.52,0.51,0.53,,,,,,,,,,,
CSKA Moskva,1.79,0.79,6.27,3.27,7.4,3.53,16.73,9.0,97.2,88.67,50.87,42.0,57.07,42.93,1.5,1.0,10.93,5.07,5.33,3.47,1.43,1.36,6.8,8.73,11.8,5.13,11.4,11.6,1.6,4.8,2.14,2.5,0.55,0.26,0.23,0.52,0.52,0.56,0.48,0.52,0.51,0.51,0.52,,,,,,,,,,,,Russia Premier League,2024-2025,0.77,1.69,4.93,3.27,6.07,3.27,12.67,11.27,96.0,88.33,49.0,38.07,50.13,49.87,2.0,0.0,7.47,6.87,4.53,4.13,1.36,1.5,5.33,9.2,7.93,7.8,12.33,12.2,3.6,2.4,2.08,1.92,0.32,0.29,0.42,0.53,0.51,0.51,0.53,0.53,0.5,0.51,0.52,,,,,,,,,,,
Dinamo Moskva,2.47,0.93,6.27,5.2,6.27,4.67,17.73,12.73,90.0,81.07,47.0,43.73,54.33,45.67,1.75,0.0,10.87,8.07,6.87,4.07,2.36,2.79,7.6,8.13,12.2,8.8,10.8,13.47,3.93,4.73,1.2,2.87,0.56,0.23,0.25,0.61,0.43,,,0.54,0.49,0.5,0.54,,,,,,,,,,,,Russia Premier League,2024-2025,1.4,1.6,5.0,5.27,6.4,5.47,13.4,14.87,87.53,79.93,52.53,44.4,49.73,50.27,1.0,1.43,8.47,8.4,3.8,5.53,2.07,2.5,7.2,9.07,8.53,9.53,15.27,12.8,3.6,2.67,2.4,1.8,0.37,0.25,0.42,0.63,0.41,,,0.54,0.49,0.52,0.51,,,,,,,,,,,
Dynamo Makhachkala,1.36,1.14,4.13,4.27,5.13,3.4,11.73,8.93,85.8,82.6,45.6,41.33,46.67,53.33,1.25,0.75,6.6,5.73,5.0,2.87,2.2,1.27,6.6,9.33,7.73,5.13,13.87,15.87,1.67,2.67,2.0,2.4,0.33,0.3,0.4,0.47,0.57,0.55,0.49,0.51,0.52,0.49,0.54,,,,,,,,,,,,Russia Premier League,2024-2025,1.58,0.67,7.33,4.27,5.27,3.73,14.93,9.2,107.86,82.93,57.29,40.71,60.27,39.73,1.25,0.5,8.6,5.07,5.33,3.13,0.87,1.73,6.33,8.07,9.36,6.14,13.2,13.73,2.53,3.4,2.0,2.6,0.56,0.27,0.21,0.46,0.58,0.53,0.52,0.52,0.52,0.52,0.52,,,,,,,,,,,
FK Nizjni Novgorod,1.14,1.86,4.4,5.67,4.33,5.73,9.4,13.93,132.33,172.2,95.33,99.0,42.73,57.27,1.5,0.5,6.5,8.71,3.71,4.79,1.08,1.77,7.4,5.8,6.87,9.47,14.27,14.6,3.14,2.0,2.14,2.0,0.27,0.28,0.49,0.51,0.53,0.53,0.51,0.52,0.51,0.51,0.52,,,,,,,,,,,,Russia Premier League,2024-2025,2.0,0.79,7.0,3.2,7.87,3.07,18.87,8.27,94.07,72.93,59.73,34.93,59.27,40.73,1.5,0.33,12.53,5.0,5.53,3.0,2.29,1.5,5.4,11.13,12.67,5.87,11.8,13.2,2.33,4.33,1.64,2.21,0.61,0.24,0.18,0.49,0.55,0.53,0.5,0.52,0.51,0.51,0.53,,,,,,,,,,,
Fakel,0.5,1.2,5.67,3.47,5.47,5.33,12.4,12.0,85.0,85.87,47.93,42.87,43.4,56.6,2.0,0.0,7.33,6.53,4.2,4.73,2.13,1.0,7.67,8.33,6.47,7.93,16.33,13.13,2.93,2.13,2.8,2.73,0.3,0.3,0.43,0.47,0.57,0.5,0.53,0.53,0.51,0.5,0.54,,,,,,,,,,,,Russia Premier League,2024-2025,2.31,0.69,4.8,3.67,5.67,4.0,14.93,9.0,91.13,77.4,53.2,38.47,59.47,40.53,1.67,1.0,9.33,5.27,5.87,3.4,0.83,2.17,7.21,7.93,9.93,6.43,13.13,14.2,1.67,3.13,2.4,2.33,0.6,0.26,0.18,0.43,0.61,0.54,0.49,0.5,0.53,0.5,0.53,,,,,,,,,,,
Khimki,1.5,1.57,4.27,5.87,4.93,6.47,10.73,16.13,78.33,87.27,40.53,52.47,46.07,53.93,1.12,0.38,6.8,9.33,3.53,5.93,1.64,2.86,9.27,7.27,7.53,10.27,11.0,13.8,3.6,2.4,2.14,1.57,0.33,0.28,0.43,0.58,0.46,0.55,0.49,0.5,0.53,0.52,0.52,,,,,,,,,,,,Russia Premier League,2024-2025,2.43,1.0,6.2,5.47,6.73,4.13,18.13,11.33,88.73,82.73,51.67,39.33,51.6,48.4,1.5,1.25,11.47,7.4,6.13,3.2,2.07,1.5,6.93,9.6,11.67,7.8,11.87,12.87,3.0,4.13,1.4,1.8,0.56,0.24,0.24,0.57,0.47,0.54,0.49,0.55,0.48,0.52,0.52,,,,,,,,,,,
Krasnodar,2.38,0.62,5.0,4.6,6.36,4.29,15.43,10.64,91.57,72.21,50.14,40.43,57.93,42.07,2.0,0.0,10.57,6.86,4.5,3.5,2.0,1.21,7.07,8.87,9.93,6.93,13.8,12.87,2.87,2.87,1.93,1.6,0.6,0.24,0.2,0.53,0.51,,,0.53,0.5,0.5,0.53,,,,,,,,,,,,Russia Premier League,2024-2025,1.07,2.0,4.6,3.4,5.67,5.0,12.53,12.67,82.73,89.93,45.0,46.93,43.93,56.07,1.0,0.6,7.2,8.8,5.27,3.93,1.07,2.27,8.33,7.53,8.47,9.27,13.47,14.87,3.2,2.93,2.2,2.67,0.31,0.27,0.46,0.56,0.48,0.56,0.48,0.53,0.51,0.52,0.52,,,,,,,,,,,
Krylya Sovetov,1.36,1.64,5.6,4.73,4.87,4.0,13.07,11.27,96.07,85.2,49.87,42.67,52.87,47.13,0.5,1.25,7.27,7.0,5.2,4.4,1.87,1.67,6.33,7.27,9.47,8.13,9.53,11.67,3.0,3.8,1.6,1.8,0.41,0.28,0.35,0.55,0.49,0.54,0.5,0.52,0.51,0.51,0.52,,,,,,,,,,,,Russia Premier League,2024-2025,1.87,1.13,5.27,3.27,6.87,3.73,16.33,10.47,93.93,73.6,53.27,33.8,54.6,45.4,1.44,0.56,9.87,7.07,5.87,3.2,1.79,1.36,6.0,10.0,10.53,6.73,9.93,12.47,2.73,3.33,2.13,2.4,0.5,0.26,0.27,0.55,0.49,0.55,0.48,0.53,0.5,0.52,0.51,,,,,,,,,,,
