team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Standard Liège,0.36,252.0,5,84.29,84.29,1180,182.8,183.1,189.8,178.57,183.11,43.21,43.21,605,3.86,3.86,54,36.71,36.71,514,11.0,11.0,154,14,7,7,14,11,4,3,1,0,8,4,1,0,0,1.0,0.0,0.0,37651144.0,7.01,3.0,0.21,3.0,10.29,144,1,5,17,2.14,2.14,30,360.07,560.11,38.78,5041,100.0,0.0,3.0,4,19,6,0.14,0.14,0.0,0.0,2.0,1494698.0,96.92,130,9.29,35,85,49,46,45,600,130,13.86,13.86,194,4.62,1.25,232.0,129.0,129.0,232.0,1260,2.5,2.5,0,0.0,35,97592,0.14,0.14,0.0,0.0,2.0,97592.0,Belgium Liga Pro
Mechelen,0.93,96.92307692307692,13,83.36,83.36,1167,178.29,187.0,190.0,179.78,182.62,48.71,48.71,682,4.86,4.86,68,44.93,44.93,629,9.5,9.5,133,14,7,7,14,11,4,2,0,0,13,4,2,0,0,0.0,2.0,2.0,37296404.0,7.48,4.0,0.29,4.0,9.14,128,3,90,23,1.36,1.36,19,396.71,347.13,38.04,5554,100.0,0.0,2.0,9,19,0,,,,,,,66.32,146,10.43,33,101,57,56,45,1,146,15.71,15.71,220,6.88,1.63,203.0,80.0,80.0,203.0,1260,2.21,2.21,0,0.0,31,4997513,,,,,,,Belgium Liga Pro
Zulte-Waregem,0.86,105.0,12,93.57,93.57,1310,187.25,186.6,192.5,180.75,184.89,46.36,46.36,649,4.21,4.21,59,43.07,43.07,603,11.79,11.79,165,14,7,7,14,11,6,3,1,0,11,7,2,1,0,2.0,2.0,1.0,37551489.0,7.32,5.0,0.36,5.0,7.14,100,2,30,23,1.21,1.21,17,394.21,324.65,32.27,5519,100.0,0.0,3.0,7,10,0,0.07,0.07,0.0,0.0,1.0,37527034.0,60.0,171,12.21,55,110,54,62,59,1,171,14.5,14.5,203,8.83,1.24,,,,,1260,1.57,1.57,0,0.0,22,37619977,,,,,,,Belgium Liga Pro
OH Leuven,0.71,126.0,10,76.86,76.86,1076,184.0,183.0,188.0,175.44,181.04,44.21,44.21,619,3.93,3.93,55,40.0,40.0,560,16.79,16.79,235,14,7,7,14,11,7,2,1,1,10,3,1,1,0,1.0,2.0,1.0,13590995.0,7.01,3.0,0.21,3.0,8.71,122,2,80,21,1.86,1.86,26,334.71,334.71,28.06,4686,,,,8,19,0,,,,,,,84.0,167,11.93,49,111,64,54,55,1,167,17.43,17.43,244,5.3,1.04,333.0,158.0,158.0,333.0,1260,3.07,3.07,0,0.0,43,5967843,0.07,0.07,0.0,0.0,1.0,61784.0,Belgium Liga Pro
Dender,0.36,258.0,5,92.07,92.07,1289,182.67,186.29,191.0,181.86,184.38,46.57,46.57,652,3.29,3.29,46,40.07,40.07,561,10.43,10.43,146,14,7,7,14,12,8,3,0,0,7,1,0,0,0,1.0,1.0,0.0,37400377.0,6.87,2.0,0.14,2.0,9.21,129,1,85,21,2.21,2.21,31,403.0,806.0,38.91,5642,100.0,0.0,1.0,5,19,2,0.14,0.14,0.0,0.0,2.0,9939008.0,161.25,145,10.36,33,101,60,52,45,600,145,18.21,18.21,255,11.09,1.71,213.0,45.0,45.0,213.0,1290,1.29,1.29,0,0.0,18,37385333,0.07,0.07,0.0,0.0,1.0,37385333.0,Belgium Liga Pro
Union Saint-Gilloise,1.57,57.27272727272727,22,103.71,103.71,1452,180.25,187.71,197.33,179.45,183.52,53.21,53.21,745,5.86,5.86,82,51.14,51.14,716,12.71,12.71,178,14,8,6,14,7,1,0,0,0,12,9,5,2,1,1.0,6.0,3.0,13155985.0,7.45,7.0,0.5,7.0,8.71,122,4,90,26,2.79,2.79,39,433.64,224.85,27.22,6071,50.0,2.0,2.0,5,23,0,,,,,,,43.45,223,15.93,52,168,86,85,54,2,223,20.0,20.0,280,9.33,1.5,804.0,327.0,327.0,804.0,1260,2.14,2.14,0,0.0,30,30446987,,,,,,,Belgium Liga Pro
La Louvière,0.43,215.0,6,76.07,76.07,1065,181.75,183.29,187.0,175.0,180.44,32.79,32.79,459,4.14,4.14,58,36.43,36.43,510,12.29,12.29,172,14,7,7,14,8,4,2,0,0,8,3,0,0,0,0.0,1.0,0.0,22897169.0,7.26,4.0,0.29,4.0,10.0,140,2,24,13,1.71,1.71,24,249.21,436.13,27.26,3489,,,,7,17,1,0.07,0.07,0.0,0.0,1.0,435657.0,117.27,128,9.14,28,91,66,34,37,800,128,15.86,15.86,222,7.93,1.28,,,,,1290,1.86,1.86,0,0.0,26,37352806,,,,,,,Belgium Liga Pro
Club Brugge,1.0,90.0,14,113.57,113.57,1590,183.13,185.56,189.33,181.63,184.14,62.0,62.0,868,6.79,6.79,95,62.0,62.0,868,9.79,9.79,137,14,8,6,14,8,2,1,1,1,12,6,1,1,1,2.0,3.0,1.0,633.0,8.51,7.0,0.5,7.0,7.14,100,2,59,21,1.64,1.64,23,566.29,396.4,36.37,7928,0.0,1.0,0.0,7,21,0,0.07,0.07,0.0,0.0,1.0,37618415.0,60.0,218,15.57,74,149,76,68,70,2,218,13.86,13.86,194,8.43,1.38,789.0,481.0,481.0,789.0,1260,1.57,1.57,0,0.0,22,24817182,,,,,,,Belgium Liga Pro
Antwerp,0.57,157.5,8,91.5,91.5,1281,178.0,186.86,191.75,183.1,184.72,50.0,50.0,700,4.0,4.0,56,38.79,38.79,543,12.29,12.29,172,14,7,7,14,13,3,0,0,0,8,3,2,0,0,0.0,1.0,0.0,37526239.0,7.12,2.0,0.14,2.0,9.57,134,2,36,16,2.64,2.64,37,391.43,548.0,35.13,5480,75.0,1.0,3.0,7,18,3,0.14,0.14,0.0,0.0,2.0,61654.0,96.92,156,11.14,40,88,61,55,66,700,156,17.71,17.71,248,7.09,1.43,200.0,109.0,109.0,200.0,1260,2.5,2.5,0,0.0,35,37561034,,,,,,,Belgium Liga Pro
Gent,1.5,60.0,21,105.79,105.79,1481,182.43,185.56,190.33,181.09,183.67,54.43,54.43,762,5.36,5.36,75,47.64,47.64,667,11.0,11.0,154,14,7,7,14,11,5,4,2,0,12,6,3,2,0,2.0,5.0,3.0,19625676.0,7.41,6.0,0.43,6.0,9.79,137,3,45,25,1.29,1.29,18,484.5,308.32,34.96,6783,50.0,1.0,1.0,8,24,1,0.14,0.14,0.0,0.0,2.0,37536410.0,54.78,194,13.86,53,122,73,68,72,2,194,12.64,12.64,177,6.81,1.18,409.0,214.0,214.0,409.0,1260,1.71,1.71,0,0.0,24,37539471,,,,,,,Belgium Liga Pro
