team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Arsenal,1.27,70.71428571428571,14,97.64,97.64,1074,181.38,186.33,185.5,183.14,183.88,58.91,58.91,648,6.82,6.82,75,61.36,61.36,675,10.45,10.45,115,11,6,5,11,4,1,0,0,0,10,6,2,1,1,3.0,2.0,2.0,5273.0,7.44,4.0,0.36,4.0,5.91,65,2,90,14,1.27,1.27,14,499.09,305.0,33.89,5490,100.0,0.0,2.0,12,12,2,,,,,,,49.5,162,14.73,49,125,61,52,37,1,162,14.73,14.73,162,14.73,1.41,1883.0,874.0,874.0,1883.0,990,1.0,1.0,0,0.0,11,530762,,,,,,,England Premier League
Nottingham Forest,0.45,198.0,5,99.0,99.0,1089,179.86,187.4,193.67,181.22,184.31,52.55,52.55,578,5.09,5.09,56,56.73,56.73,624,10.91,10.91,120,11,5,6,11,11,6,3,0,0,5,3,2,0,0,2.0,1.0,0.0,332047.0,7.15,2.0,0.18,2.0,8.09,89,1,5,17,1.18,1.18,13,462.82,565.67,38.86,5091,100.0,0.0,1.0,6,22,1,,,,,,,99.0,131,11.91,40,85,48,43,45,800,131,16.18,16.18,178,8.9,1.48,1237.0,531.0,531.0,1237.0,990,1.82,1.82,0,0.0,20,11720838,,,,,,,England Premier League
AFC Bournemouth,1.0,90.0,11,97.18,97.18,1069,179.33,180.33,191.0,178.55,180.18,50.64,50.64,557,5.82,5.82,64,49.64,49.64,546,13.09,13.09,144,11,6,5,11,7,5,4,2,0,9,6,2,0,0,0.0,2.0,0.0,37632336.0,7.06,3.0,0.27,3.0,9.18,101,2,90,20,2.27,2.27,25,420.36,289.0,34.77,4624,50.0,1.0,1.0,9,17,2,,,,,,,58.24,133,12.09,38,75,45,50,57,1,133,17.45,17.45,192,7.11,1.34,937.0,454.0,454.0,937.0,990,2.45,2.45,0,0.0,27,262324,,,,,,,England Premier League
Brighton & Hove Albion,1.0,90.0,11,86.36,86.36,950,185.6,185.38,191.0,179.78,183.79,48.82,48.82,537,5.09,5.09,56,48.36,48.36,532,12.36,12.36,136,11,6,5,11,9,4,1,1,0,9,6,2,0,0,3.0,2.0,1.0,1494712.0,7.07,5.0,0.45,5.0,7.27,80,3,90,20,2.18,2.18,24,427.27,313.33,35.34,4700,66.67,1.0,2.0,7,16,1,,,,,,,58.24,133,12.09,32,80,51,50,53,1,133,19.64,19.64,216,7.71,1.58,966.0,440.0,440.0,966.0,990,2.73,2.73,2,0.18,30,37588823,,,,,,,England Premier League
Crystal Palace,0.55,165.0,6,76.09,76.09,837,181.5,185.0,190.33,182.45,183.73,41.73,41.73,459,3.82,3.82,42,41.18,41.18,453,10.36,10.36,114,11,5,6,11,6,2,1,0,0,7,5,2,0,0,1.0,2.0,0.0,7643.0,7.43,2.0,0.18,2.0,10.36,114,3,37,14,1.45,1.45,16,357.09,357.09,29.1,3928,100.0,0.0,2.0,7,18,2,,,,,,,70.71,135,12.27,35,95,51,49,40,900,135,20.18,20.18,222,11.68,1.95,859.0,394.0,394.0,859.0,990,1.73,1.73,0,0.0,19,2332,,,,,,,England Premier League
Sunderland,1.0,90.0,11,91.82,91.82,1010,180.57,185.71,191.0,177.8,181.69,43.27,43.27,476,3.27,3.27,36,39.09,39.09,430,9.55,9.55,105,11,5,6,11,7,3,0,0,0,8,5,1,0,0,1.0,2.0,0.0,12433171.0,7.52,4.0,0.36,4.0,7.64,84,4,90,16,1.36,1.36,15,377.73,346.25,37.43,4155,100.0,0.0,1.0,11,15,0,0.09,0.09,0.0,0.0,1.0,163108.0,70.71,111,10.09,35,82,46,30,29,1,111,16.55,16.55,182,9.1,1.64,1071.0,482.0,482.0,1071.0,990,1.73,1.73,0,0.0,19,37630179,,,,,,,England Premier League
Everton,0.82,110.0,9,93.27,93.27,1026,191.0,184.5,191.0,181.45,185.19,45.0,45.0,495,4.09,4.09,45,50.64,50.64,557,10.73,10.73,118,11,5,6,11,8,4,1,0,0,7,4,1,0,0,2.0,3.0,2.0,1116.0,7.27,3.0,0.27,3.0,7.82,86,1,23,13,1.27,1.27,14,382.0,382.0,34.44,4202,100.0,0.0,1.0,6,20,1,,,,,,,82.5,122,11.09,39,81,48,35,41,1,122,16.64,16.64,183,7.04,1.55,897.0,376.0,376.0,897.0,990,2.36,2.36,1,0.09,26,540613,,,,,,,England Premier League
Aston Villa,0.91,99.0,10,90.27,90.27,993,182.5,185.5,194.0,179.7,183.29,53.91,53.91,593,5.36,5.36,59,45.36,45.36,499,9.55,9.55,105,11,5,6,11,7,2,1,0,0,6,4,2,1,0,0.0,4.0,1.0,97626.0,7.4,1.0,0.09,1.0,6.09,67,2,37,12,1.27,1.27,14,435.82,368.77,40.29,4794,,,,3,6,17,0.09,0.09,0.0,0.0,1.0,7124.0,76.15,119,10.82,39,73,41,39,45,1,119,14.64,14.64,161,8.05,1.53,1469.0,620.0,620.0,1469.0,990,1.82,1.82,0,0.0,20,6524,,,,,,,England Premier League
Fulham,0.55,165.0,6,86.27,86.27,949,181.14,185.88,188.0,182.38,183.6,50.09,50.09,551,5.09,5.09,56,46.0,46.0,506,14.0,14.0,154,11,6,5,11,9,5,2,0,0,8,2,2,0,0,0.0,1.0,1.0,5403.0,7.06,4.0,0.36,4.0,7.0,77,1,90,19,1.73,1.73,19,432.45,528.56,39.31,4757,,,,8,17,1,,,,,,,82.5,121,11.0,40,77,43,38,43,900,121,16.91,16.91,186,8.86,1.2,743.0,402.0,402.0,743.0,990,1.91,1.91,2,0.18,21,130248,,,,,,,England Premier League
Leeds United,0.45,198.0,5,79.91,79.91,879,178.5,186.0,194.67,184.17,184.2,48.27,48.27,531,4.27,4.27,47,42.45,42.45,467,10.0,10.0,110,11,6,5,11,9,6,3,1,1,6,3,1,0,0,0.0,1.0,0.0,173737.0,7.27,2.0,0.18,2.0,8.73,96,1,31,16,1.0,1.0,11,428.91,524.22,35.74,4718,100.0,0.0,1.0,6,18,1,,,,,,,99.0,132,12.0,37,87,57,38,45,800,132,17.82,17.82,196,12.25,1.78,1184.0,611.0,611.0,1184.0,990,1.45,1.45,0,0.0,16,12542,,,,,,,England Premier League
