team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
DSC Arminia Bielefeld,1.33,67.5,16,102.0,102.0,1224,184.5,184.5,191.5,181.63,184.15,52.25,52.25,627,5.42,5.42,65,47.5,47.5,570,12.42,12.42,149,12,5,7,12,8,6,3,1,0,12,7,3,2,1,2.0,2.0,0.0,15763368.0,7.86,3.0,0.25,3.0,8.5,102,2,45,25,2.25,2.25,27,427.92,256.75,32.5,5135,100.0,0.0,4.0,5,17,3,0.08,0.08,0.0,0.0,1.0,1525246.0,43.2,158,13.17,41,101,66,51,57,1,158,15.42,15.42,185,5.78,1.22,39.0,15.0,15.0,39.0,1080,2.33,2.33,0,0.0,28,35037,0.08,0.08,0.0,0.0,1.0,22888778.0,Germany Bundesliga 2
Magdeburg,0.5,180.0,6,102.25,102.25,1227,182.25,183.82,188.67,181.67,183.26,54.83,54.83,658,4.83,4.83,58,48.42,48.42,581,13.0,13.0,156,12,6,6,12,10,6,3,2,1,4,3,1,1,0,0.0,1.0,0.0,417980.0,7.19,5.0,0.42,5.0,8.83,106,2,28,19,2.17,2.17,26,456.33,684.5,30.59,5476,33.33,2.0,1.0,5,22,4,,,,,,,120.0,179,14.92,52,114,73,54,68,700,179,15.08,15.08,181,4.64,1.16,614.0,356.0,356.0,614.0,1080,3.0,3.0,0,0.0,36,32683,0.08,0.08,0.0,0.0,1.0,44040.0,Germany Bundesliga 2
Paderborn,0.92,98.1818181818182,11,100.0,100.0,1200,185.13,187.0,190.5,182.0,185.08,51.92,51.92,623,5.25,5.25,63,46.67,46.67,560,12.58,12.58,151,12,6,6,12,7,2,1,0,0,11,7,1,1,0,1.0,4.0,0.0,20691915.0,7.33,1.0,0.08,1.0,8.67,104,2,90,17,2.25,2.25,27,460.58,325.12,28.94,5527,75.0,1.0,3.0,4,16,5,0.08,0.08,0.0,0.0,1.0,37266076.0,54.0,191,15.92,64,133,59,68,59,1,191,18.33,18.33,220,8.46,1.42,272.0,157.0,157.0,272.0,1080,2.08,2.08,0,0.0,25,22878566,,,,,,,Germany Bundesliga 2
VfL Bochum 1848,0.67,135.0,8,90.58,90.58,1087,185.0,184.0,189.0,182.82,184.14,45.67,45.67,548,6.33,6.33,76,50.42,50.42,605,14.58,14.58,175,12,7,5,12,9,6,2,1,0,10,5,1,0,0,0.0,3.0,2.0,31369.0,7.2,3.0,0.25,3.0,8.67,104,2,60,22,1.92,1.92,23,351.67,351.67,23.58,4220,66.67,1.0,2.0,8,14,8,,,,,,,67.5,179,14.92,60,138,73,46,41,1,179,16.5,16.5,198,3.96,1.13,347.0,168.0,168.0,347.0,1080,4.17,4.17,0,0.0,50,37583501,,,,,,,Germany Bundesliga 2
Darmstadt 98,1.0,90.0,12,89.67,89.67,1076,182.83,185.0,190.0,182.0,184.15,49.75,49.75,597,4.58,4.58,55,44.67,44.67,536,13.17,13.17,158,12,6,6,12,7,3,1,0,0,9,6,3,1,0,2.0,3.0,2.0,191329.0,7.26,5.0,0.42,5.0,8.58,103,2,5,18,1.58,1.58,19,425.33,268.63,30.75,5104,,,,6,18,2,,,,,,,56.84,166,13.83,33,113,70,63,49,1,166,15.83,15.83,190,8.26,1.2,336.0,130.0,130.0,336.0,1080,1.67,1.67,0,0.0,20,34392,0.08,0.08,0.0,0.0,1.0,4545486.0,Germany Bundesliga 2
Eintracht Braunschweig,0.75,120.0,9,97.83,97.83,1174,186.43,187.0,188.67,181.0,184.89,43.0,43.0,516,4.58,4.58,55,36.42,36.42,437,12.42,12.42,149,12,6,6,12,11,9,3,1,0,9,2,1,0,0,,,,11704894.0,7.1,,,,9.08,109,1,82,18,1.83,1.83,22,363.08,396.09,32.04,4357,50.0,1.0,1.0,3,18,6,0.33,0.33,0.0,0.0,4.0,418253.0,90.0,136,11.33,41,72,49,46,61,1,136,14.83,14.83,178,4.45,1.2,254.0,109.0,109.0,254.0,1080,2.67,2.67,0,0.0,32,418253,0.17,0.17,0.0,0.0,2.0,459775.0,Germany Bundesliga 2
Schalke 04,1.0,90.0,12,96.83,96.83,1162,182.38,186.75,193.5,183.89,185.0,40.75,40.75,489,5.42,5.42,65,46.5,46.5,558,14.08,14.08,169,12,6,6,12,6,1,0,0,0,10,5,1,0,0,0.0,1.0,1.0,74109.0,7.2,1.0,0.08,1.0,8.67,104,1,16,13,1.83,1.83,22,308.75,285.0,23.75,3705,100.0,0.0,3.0,2,23,2,,,,,,,67.5,156,13.0,35,110,68,53,43,1,156,20.5,20.5,246,6.65,1.47,201.0,162.0,162.0,201.0,1080,2.83,2.83,0,0.0,34,37526437,0.08,0.08,0.0,0.0,1.0,74109.0,Germany Bundesliga 2
Holstein Kiel,0.92,98.1818181818182,11,85.92,85.92,1031,184.83,188.38,192.0,183.0,185.88,52.0,52.0,624,4.58,4.58,55,41.08,41.08,493,13.92,13.92,167,12,6,6,12,8,4,0,0,0,10,2,1,0,0,1.0,2.0,2.0,19616116.0,7.47,2.0,0.17,2.0,10.42,125,2,86,15,1.75,1.75,21,439.75,405.92,32.37,5277,0.0,1.0,0.0,4,20,1,,,,,,,83.08,163,13.58,37,99,72,54,62,1,163,13.25,13.25,159,5.13,0.89,183.0,99.0,99.0,183.0,1080,2.67,2.67,0,0.0,32,532249,,,,,,,Germany Bundesliga 2
Karlsruher SC,1.33,67.5,16,89.25,89.25,1071,182.25,186.13,189.5,181.44,183.91,49.25,49.25,591,5.67,5.67,68,44.42,44.42,533,13.83,13.83,166,12,6,6,12,8,5,4,1,0,8,7,3,1,0,0.0,5.0,2.0,33524.0,7.6,5.0,0.42,5.0,9.58,115,2,90,22,1.67,1.67,20,415.33,262.32,30.96,4984,,,,4,17,2,,,,,,,56.84,161,13.42,46,105,56,59,54,1,161,16.83,16.83,202,6.12,1.22,255.0,142.0,142.0,255.0,1080,2.75,2.75,0,0.0,33,349840,,,,,,,Germany Bundesliga 2
Nürnberg,0.83,108.0,10,95.08,95.08,1141,183.0,182.82,190.5,182.9,183.41,49.67,49.67,596,5.42,5.42,65,48.08,48.08,577,13.0,13.0,156,12,6,6,12,11,4,1,0,0,8,4,1,0,0,1.0,2.0,0.0,37539823.0,7.51,4.0,0.33,4.0,7.58,91,1,74,15,1.58,1.58,19,416.5,454.36,31.63,4998,66.67,1.0,2.0,6,20,4,,,,,,,83.08,158,13.17,47,99,55,56,58,900,158,14.25,14.25,171,5.34,1.12,258.0,121.0,121.0,258.0,1080,2.67,2.67,0,0.0,32,104100,,,,,,,Germany Bundesliga 2
