team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Olympiacos F.C.,1.8,50.0,18,114.9,114.9,1149,181.8,183.4,195.33,174.89,181.59,60.8,60.8,608,7.3,7.3,73,63.3,63.3,633,13.3,13.3,133,10,5,5,10,5,2,0,0,0,10,8,3,1,1,0.0,1.0,0.0,109354.0,7.58,5.0,0.5,5.0,8.5,85,5,90,24,2.2,2.2,22,449.7,236.68,28.64,4497,80.0,1.0,4.0,7,18,4,0.1,0.1,0.0,0.0,1.0,37912519.0,39.13,157,15.7,39,105,63,55,51,1,157,13.2,13.2,132,7.76,0.99,590.0,257.0,257.0,590.0,900,1.6,1.6,0,0.0,16,160834,,,,,,,Greece Super Liga
Panserraikos,0.5,180.0,5,63.9,63.9,639,180.88,184.0,188.5,178.89,181.7,35.9,35.9,359,1.9,1.9,19,25.7,25.7,257,15.3,15.3,153,10,5,5,10,10,6,3,3,3,5,2,0,0,0,2.0,2.0,0.0,37336768.0,6.9,1.0,0.1,1.0,9.7,97,2,88,19,2.0,2.0,20,287.8,479.67,33.86,2878,100.0,0.0,1.0,8,15,8,0.2,0.2,0.0,0.0,2.0,4599.0,128.57,85,8.5,23,51,46,16,33,500,85,14.5,14.5,145,4.68,0.94,43.0,12.0,12.0,43.0,900,3.0,3.0,0,0.0,30,30618,,,,,,,Greece Super Liga
Panaitolikos,0.7,128.57142857142858,7,68.6,68.6,686,178.5,182.71,188.33,181.22,182.13,41.1,41.1,411,2.9,2.9,29,25.8,25.8,258,12.9,12.9,129,10,5,5,10,7,5,1,1,1,6,3,2,1,0,,,,216154.0,7.2,2.0,0.2,2.0,7.2,72,1,65,16,1.5,1.5,15,332.5,415.63,39.58,3325,80.0,1.0,4.0,7,17,5,0.3,0.3,0.0,0.0,3.0,186878.0,75.0,84,8.4,24,54,37,23,30,400,84,12.6,12.6,126,3.6,0.97,96.0,45.0,45.0,96.0,900,3.0,3.0,0,0.0,30,5283592,0.1,0.1,0.0,0.0,1.0,19979719.0,Greece Super Liga
Volos NFC,0.9,100.0,9,63.6,63.6,636,180.25,183.5,187.0,174.6,179.54,43.4,43.4,434,3.2,3.2,32,24.0,24.0,240,15.1,15.1,151,10,6,4,10,8,4,1,0,0,6,4,1,1,1,0.0,3.0,3.0,186524.0,7.11,,,,8.0,80,2,25,16,1.3,1.3,13,338.6,260.46,33.52,3386,,,,7,13,6,,,,,,,69.23,101,10.1,23,63,36,42,37,1,101,14.3,14.3,143,4.61,0.93,68.0,29.0,29.0,68.0,900,3.2,3.2,0,0.0,32,78228,,,,,,,Greece Super Liga
Atromitos,0.7,128.57142857142858,7,79.9,79.9,799,178.8,180.86,193.33,176.89,180.5,51.2,51.2,512,3.9,3.9,39,40.6,40.6,406,15.8,15.8,158,10,5,5,10,9,3,0,0,0,7,3,1,0,0,0.0,2.0,1.0,54061.0,7.19,1.0,0.1,1.0,8.5,85,2,18,12,1.5,1.5,15,432.9,432.9,39.0,4329,100.0,0.0,1.0,9,13,4,,,,,,,81.82,111,11.1,39,65,46,26,47,900,111,14.0,14.0,140,5.0,0.89,32.0,8.0,8.0,32.0,900,2.5,2.5,0,0.0,25,37354888,0.1,0.1,0.0,0.0,1.0,1452177.0,Greece Super Liga
Aris,0.7,128.57142857142858,7,98.2,98.2,982,176.5,183.44,190.0,177.5,180.52,54.6,54.6,546,5.8,5.8,58,48.6,48.6,486,15.7,15.7,157,10,5,5,10,7,3,1,0,0,7,2,0,0,0,1.0,1.0,0.0,537660.0,7.33,,,,6.6,66,1,64,14,2.5,2.5,25,410.2,586.0,30.84,4102,100.0,0.0,1.0,6,22,4,0.1,0.1,0.0,0.0,1.0,109186.0,100.0,133,13.3,34,76,57,42,56,600,133,11.7,11.7,117,6.88,0.75,107.0,58.0,58.0,107.0,900,1.6,1.6,0,0.0,16,537660,,,,,,,Greece Super Liga
Kifisia,1.0,90.0,10,70.7,70.7,707,182.6,183.0,186.0,178.09,181.26,42.0,42.0,420,4.4,4.4,44,36.7,36.7,367,18.5,18.5,185,10,5,5,10,10,5,3,0,0,9,6,2,0,0,1.0,3.0,2.0,37603288.0,7.52,3.0,0.3,3.0,5.6,56,2,79,21,1.0,1.0,10,269.3,179.53,19.24,2693,50.0,1.0,1.0,7,18,6,0.2,0.2,0.0,0.0,2.0,107924.0,52.94,140,14.0,34,83,53,53,57,1,140,14.6,14.6,146,3.17,0.79,89.0,36.0,36.0,89.0,900,4.3,4.3,0,0.0,43,129662,0.1,0.1,0.0,0.0,1.0,37681599.0,Greece Super Liga
Panathinaikos,0.78,115.71428571428572,7,102.78,102.78,925,186.5,184.67,190.67,177.33,182.43,56.67,56.67,510,4.56,4.56,41,57.0,57.0,513,16.33,16.33,147,9,4,5,9,7,1,1,0,0,8,4,0,0,0,,,,107938.0,7.19,3.0,0.33,3.0,6.67,60,2,48,12,2.56,2.56,23,497.56,497.56,37.01,4478,100.0,0.0,2.0,7,21,2,,,,,,,67.5,121,13.44,36,75,48,37,46,700,121,17.67,17.67,159,6.91,1.09,402.0,179.0,179.0,402.0,810,2.67,2.67,1,0.11,24,4491,,,,,,,Greece Super Liga
Asteras Tripolis,0.8,112.5,8,72.6,72.6,726,183.2,184.14,191.8,176.67,182.85,46.4,46.4,464,4.3,4.3,43,35.3,35.3,353,13.8,13.8,138,10,6,4,10,8,7,1,0,0,6,4,2,0,0,1.0,2.0,2.0,4237036.0,7.04,4.0,0.4,4.0,5.3,53,1,20,15,2.5,2.5,25,346.8,315.27,38.11,3468,100.0,0.0,1.0,3,19,5,,,,,,,75.0,91,9.1,25,54,30,36,36,1,91,11.3,11.3,113,2.63,0.8,51.0,26.0,26.0,51.0,900,4.0,4.0,0,0.0,40,446999,0.1,0.1,0.0,0.0,1.0,37676868.0,Greece Super Liga
Larissa,0.6,150.0,6,81.1,81.1,811,179.71,184.25,190.33,177.9,181.5,44.8,44.8,448,3.5,3.5,35,33.9,33.9,339,14.2,14.2,142,10,5,5,10,9,5,2,1,1,6,3,0,0,0,1.0,0.0,0.0,785997.0,7.24,1.0,0.1,1.0,5.9,59,1,50,15,2.0,2.0,20,341.7,488.14,26.91,3417,100.0,0.0,2.0,5,18,8,0.1,0.1,0.0,0.0,1.0,108604.0,100.0,127,12.7,28,64,61,38,63,500,127,13.5,13.5,135,3.86,0.94,,,,,900,3.5,3.5,0,0.0,35,785997,,,,,,,Greece Super Liga
