team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Rubin Kazan,0.73,122.72727272727272,11,85.07,85.07,1276,188.0,183.33,190.0,181.23,183.6,41.0,41.0,615,4.8,4.8,72,39.2,39.2,588,16.4,16.4,246,15,7,8,15,9,6,2,1,1,9,6,0,0,0,2.0,2.0,2.0,187224.0,7.03,,,,12.07,181,2,54,17,1.47,1.47,22,318.33,367.31,29.84,4775,66.67,1.0,2.0,2,16,3,,,,,,,90.0,160,10.67,48,109,64,48,52,1,160,13.73,13.73,206,5.89,0.83,281.0,156.0,156.0,281.0,1350,2.13,2.13,0,0.0,32,4192358,0.07,0.07,0.0,0.0,1.0,37575963.0,Russia Premier League
Dynamo Makhachkala,0.4,225.0,6,109.0,109.0,1635,183.29,184.4,194.0,181.11,183.75,48.0,48.0,720,4.27,4.27,64,48.73,48.73,731,13.93,13.93,209,15,7,8,15,11,4,1,1,0,7,1,0,0,0,1.0,1.0,1.0,37704804.0,7.62,2.0,0.13,2.0,9.73,146,1,49,13,1.8,1.8,27,343.87,644.75,32.04,5158,0.0,1.0,0.0,5,18,2,,,,,,,168.75,161,10.73,44,93,71,46,59,800,161,14.53,14.53,218,6.06,1.04,78.0,37.0,37.0,78.0,1350,2.2,2.2,0,0.0,33,104916,0.07,0.07,0.0,0.0,1.0,37573338.0,Russia Premier League
FK Nizjni Novgorod,0.2,450.0,3,84.2,84.2,1263,181.2,183.6,189.0,178.0,182.14,43.8,43.8,657,4.07,4.07,61,37.67,37.67,565,17.0,17.0,255,15,7,8,15,12,9,4,0,0,5,3,1,0,0,0.0,1.0,1.0,37633238.0,7.0,4.0,0.27,4.0,9.6,144,2,41,22,1.6,1.6,24,331.0,551.67,30.46,4965,,,,5,15,1,0.13,0.13,0.0,0.0,2.0,37526867.0,150.0,163,10.87,43,95,61,59,63,900,163,16.93,16.93,254,6.05,0.99,129.0,40.0,40.0,129.0,1350,2.8,2.8,0,0.0,42,466068,,,,,,,Russia Premier League
Orenburg,0.53,168.75,8,88.67,88.67,1330,179.11,185.33,190.25,179.64,182.33,49.73,49.73,746,4.93,4.93,74,42.8,42.8,642,15.13,15.13,227,15,7,8,15,14,6,4,1,1,10,6,1,0,0,2.0,1.0,0.0,37554596.0,7.13,3.0,0.2,3.0,9.47,142,1,74,29,1.0,1.0,15,344.33,397.31,32.08,5165,66.67,1.0,2.0,7,22,2,,,,,,,79.41,161,10.73,37,94,70,54,66,1,161,14.47,14.47,217,5.71,0.95,176.0,130.0,130.0,176.0,1350,2.33,2.33,0,0.0,35,50846,0.07,0.07,0.0,0.0,1.0,170561.0,Russia Premier League
Akhmat Grozny,0.8,112.5,12,92.8,92.8,1392,181.25,183.63,189.67,179.83,182.26,46.2,46.2,693,4.67,4.67,70,45.4,45.4,681,12.13,12.13,182,15,8,7,15,13,8,1,1,0,11,6,2,0,0,1.0,3.0,1.0,37577892.0,7.0,6.0,0.4,6.0,10.8,162,3,90,22,1.73,1.73,26,336.93,336.93,26.05,5054,50.0,2.0,2.0,6,16,2,0.27,0.27,0.0,0.0,4.0,170523.0,71.05,194,12.93,66,123,68,60,74,1,194,14.87,14.87,223,6.19,1.19,255.0,117.0,117.0,255.0,1350,1.73,1.73,0,0.0,26,98519,0.13,0.13,0.0,0.0,2.0,69586.0,Russia Premier League
Lokomotiv Moskva,1.6,56.25,24,93.93,93.93,1409,185.0,185.33,191.0,175.36,181.6,48.8,48.8,732,3.93,3.93,59,45.93,45.93,689,14.13,14.13,212,15,8,7,15,11,6,2,0,0,14,8,6,2,1,3.0,5.0,1.0,37674431.0,7.9,6.0,0.4,6.0,9.73,146,2,81,33,1.6,1.6,24,374.47,200.61,26.62,5617,100.0,0.0,3.0,2,8,15,,,,,,,43.55,211,14.07,52,138,76,83,71,2,211,15.2,15.2,228,5.3,1.06,350.0,132.0,132.0,350.0,1350,2.47,2.47,0,0.0,37,170707,0.13,0.13,0.0,0.0,2.0,80880.0,Russia Premier League
Dinamo Moskva,0.8,112.5,12,99.47,99.47,1492,179.67,181.78,188.25,181.75,182.19,55.73,55.73,836,5.27,5.27,79,51.73,51.73,776,13.4,13.4,201,15,7,8,15,12,7,2,1,1,12,6,4,0,0,2.0,1.0,0.0,14328501.0,7.47,6.0,0.4,6.0,8.53,128,3,90,24,1.73,1.73,26,412.2,325.42,26.77,6183,100.0,0.0,2.0,3,7,13,,,,,,,61.36,231,15.4,73,128,89,69,91,1,231,15.47,15.47,232,7.48,1.12,458.0,221.0,221.0,458.0,1350,2.07,2.07,0,0.0,31,37410398,,,,,,,Russia Premier League
Spartak Moskva,1.2,75.0,18,97.53,97.53,1463,181.67,183.33,192.0,178.18,182.1,61.67,61.67,925,5.13,5.13,77,49.33,49.33,740,15.87,15.87,238,15,7,8,15,11,6,3,1,0,14,9,1,0,0,3.0,4.0,1.0,333733.0,7.45,2.0,0.13,2.0,10.67,160,2,90,25,2.2,2.2,33,482.2,344.43,37.09,7233,75.0,1.0,3.0,8,19,1,0.13,0.13,0.0,0.0,2.0,95896.0,56.25,195,13.0,57,129,75,63,66,1,195,13.47,13.47,202,5.32,0.81,702.0,344.0,344.0,702.0,1350,2.07,2.07,0,0.0,31,2816255,0.13,0.13,0.0,0.0,2.0,978912.0,Russia Premier League
Krasnodar,1.47,61.36363636363637,22,92.67,92.67,1390,178.4,181.78,191.0,179.6,181.37,57.0,57.0,855,4.8,4.8,72,44.8,44.8,672,14.13,14.13,212,15,7,8,15,7,2,0,0,0,13,7,3,2,2,0.0,5.0,4.0,14399853.0,7.68,1.0,0.07,1.0,9.6,144,2,90,21,1.87,1.87,28,417.33,250.4,27.82,6260,100.0,0.0,1.0,8,18,1,0.13,0.13,0.0,0.0,2.0,32652.0,48.21,225,15.0,68,147,93,64,76,2,225,13.93,13.93,209,4.86,0.91,564.0,297.0,297.0,564.0,1350,2.33,2.33,0,0.0,35,219784,0.13,0.13,0.0,0.0,2.0,32652.0,Russia Premier League
Akron,0.87,103.84615384615384,13,91.53,91.53,1373,183.0,184.13,190.25,181.7,183.81,43.4,43.4,651,4.2,4.2,63,44.2,44.2,663,15.2,15.2,228,15,8,7,15,12,6,2,0,0,13,3,1,1,0,1.0,1.0,0.0,170041.0,7.23,2.0,0.13,2.0,9.8,147,1,45,19,2.27,2.27,34,308.93,308.93,27.92,4634,50.0,3.0,3.0,9,19,1,,,,,,,75.0,166,11.07,47,112,67,52,52,1,166,11.6,11.6,174,5.8,0.76,121.0,53.0,53.0,121.0,1350,2.0,2.0,0,0.0,30,165362,,,,,,,Russia Premier League
