team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Sevilla,1.08,83.07692307692308,13,91.08,91.08,1093,178.6,184.0,191.5,181.67,182.57,52.5,52.5,630,4.67,4.67,56,41.58,41.58,499,15.92,15.92,191,12,6,6,12,9,7,3,0,0,11,5,1,1,0,1.0,4.0,2.0,62871.0,7.36,2.0,0.17,2.0,7.75,93,2,30,21,3.17,3.17,38,418.42,334.73,40.17,5021,100.0,0.0,2.0,8,19,1,,,,,,,60.0,125,10.42,36,86,51,38,39,1,125,19.5,19.5,234,5.71,1.18,754.0,279.0,279.0,754.0,1080,3.5,3.5,1,0.08,42,37402078,,,,,,,Spain La Liga
Elche,0.83,108.0,10,99.92,99.92,1199,185.57,181.11,187.0,179.0,182.3,59.25,59.25,711,3.17,3.17,38,45.0,45.0,540,12.5,12.5,150,12,6,6,12,9,3,2,0,0,10,3,0,0,0,3.0,1.0,0.0,213939.0,7.12,3.0,0.25,3.0,8.58,103,2,90,16,1.67,1.67,20,538.42,497.0,48.95,6461,0.0,1.0,0.0,7,18,2,0.17,0.17,0.0,0.0,2.0,10293491.0,83.08,132,11.0,39,89,47,46,43,1,132,16.25,16.25,195,8.86,1.23,344.0,128.0,128.0,344.0,1080,1.92,1.92,2,0.17,23,532358,,,,,,,Spain La Liga
Getafe,0.92,98.1818181818182,11,97.5,97.5,1170,181.43,183.36,194.0,177.33,182.27,40.75,40.75,489,5.0,5.0,60,41.67,41.67,500,15.42,15.42,185,12,7,5,12,9,3,2,0,0,8,4,0,0,0,1.0,1.0,1.0,382624.0,7.19,4.0,0.33,4.0,8.25,99,2,72,15,2.58,2.58,31,294.08,294.08,32.68,3529,,,,5,18,3,0.08,0.08,0.0,0.0,1.0,1281.0,90.0,108,9.0,32,57,43,33,50,1,108,19.67,19.67,236,7.15,1.3,303.0,68.0,68.0,303.0,1080,2.67,2.67,2,0.17,32,21781710,0.17,0.17,0.0,0.0,2.0,33176417.0,Spain La Liga
Real Oviedo,0.25,360.0,3,71.08,71.08,853,178.33,185.11,185.0,180.8,182.0,43.58,43.58,523,3.58,3.58,43,31.42,31.42,377,11.75,11.75,141,12,6,6,12,10,7,3,0,0,4,2,1,0,0,1.0,0.0,0.0,186882.0,7.45,4.0,0.33,4.0,7.08,85,1,40,15,2.33,2.33,28,387.5,775.0,46.04,4650,50.0,1.0,1.0,6,20,1,0.08,0.08,0.0,0.0,1.0,15745936.0,154.29,101,8.42,24,62,42,35,39,500,101,17.0,17.0,204,6.0,1.45,165.0,97.0,97.0,165.0,1080,2.5,2.5,3,0.25,30,132604,0.17,0.17,0.0,0.0,2.0,1478449.0,Spain La Liga
Real Sociedad,0.67,135.0,8,98.58,98.58,1183,182.8,179.8,190.0,181.67,181.79,50.5,50.5,606,6.5,6.5,78,47.08,47.08,565,16.17,16.17,194,12,6,6,12,11,5,1,0,0,10,3,1,0,0,2.0,1.0,0.0,187232.0,7.65,1.0,0.08,1.0,6.5,78,1,60,16,2.42,2.42,29,426.0,464.73,32.35,5112,100.0,0.0,3.0,8,21,4,,,,,,,77.14,158,13.17,48,103,56,54,55,800,158,17.0,17.0,204,7.56,1.02,925.0,480.0,480.0,925.0,1080,2.33,2.33,0,0.0,28,187170,,,,,,,Spain La Liga
Real Madrid,1.67,54.0,20,125.92,125.92,1511,176.75,182.45,196.67,179.11,182.07,60.42,60.42,725,6.08,6.08,73,68.5,68.5,822,10.17,10.17,122,12,6,6,12,6,1,1,1,1,11,9,4,2,0,0.0,4.0,3.0,96611.0,8.02,3.0,0.25,3.0,6.75,81,2,37,19,1.83,1.83,22,586.67,320.0,29.7,7040,66.67,2.0,4.0,9,15,3,0.17,0.17,0.0,0.0,2.0,205983.0,41.54,237,19.75,65,142,84,88,95,1,237,17.58,17.58,211,8.44,1.73,2708.0,1376.0,1376.0,2708.0,1080,2.08,2.08,1,0.08,25,5270371,,,,,,,Spain La Liga
Athletic Club,0.42,216.0,5,110.83,110.83,1330,184.4,182.56,187.33,179.9,182.44,51.08,51.08,613,5.58,5.58,67,51.42,51.42,617,12.83,12.83,154,12,5,7,12,9,3,1,0,0,7,4,1,0,0,1.0,2.0,0.0,186299.0,6.98,3.0,0.25,3.0,7.08,85,1,43,18,1.0,1.0,12,428.08,642.13,32.72,5137,100.0,0.0,3.0,6,19,0,0.17,0.17,0.0,0.0,2.0,3510288.0,90.0,157,13.08,51,103,55,51,54,500,157,14.17,14.17,170,7.73,0.97,1002.0,463.0,463.0,1002.0,1080,1.67,1.67,0,0.0,20,186063,,,,,,,Spain La Liga
Deportivo Alavés,0.33,270.0,4,107.25,107.25,1287,181.17,182.5,189.0,178.5,181.68,51.33,51.33,616,5.5,5.5,66,43.92,43.92,527,15.58,15.58,187,12,6,6,12,10,1,0,0,0,7,3,1,0,0,0.0,1.0,0.0,129862.0,7.02,4.0,0.33,4.0,8.0,96,2,90,12,2.0,2.0,24,429.17,735.71,36.27,5150,100.0,0.0,3.0,7,16,1,,,,,,,98.18,142,11.83,40,87,58,44,55,400,142,18.75,18.75,225,7.03,1.2,495.0,128.0,128.0,495.0,1080,2.42,2.42,1,0.08,29,4545461,0.08,0.08,0.0,0.0,1.0,129862.0,Spain La Liga
Atlético Madrid,1.17,77.14285714285714,14,103.83,103.83,1246,178.33,184.2,189.5,178.57,181.64,54.83,54.83,658,7.5,7.5,90,56.42,56.42,677,11.25,11.25,135,12,5,7,12,8,3,0,0,0,12,6,4,1,1,1.0,3.0,1.0,21394947.0,7.49,4.0,0.33,4.0,7.92,95,2,80,18,1.83,1.83,22,525.75,315.45,37.33,6309,66.67,1.0,2.0,7,17,0,0.08,0.08,0.0,0.0,1.0,25514.0,45.0,169,14.08,30,115,68,71,54,1,169,15.83,15.83,190,7.04,1.41,2252.0,1137.0,1137.0,2252.0,1080,2.0,2.0,1,0.08,24,185571,0.08,0.08,0.0,0.0,1.0,96741.0,Spain La Liga
Villarreal,1.42,63.52941176470589,17,84.83,84.83,1018,178.1,185.67,187.5,182.14,182.57,45.25,45.25,543,4.75,4.75,57,46.25,46.25,555,11.25,11.25,135,12,6,6,12,6,3,1,0,0,11,8,2,2,1,0.0,5.0,3.0,186552.0,7.51,2.0,0.17,2.0,8.83,106,2,64,21,2.08,2.08,25,432.25,225.52,31.44,5187,100.0,0.0,1.0,7,20,3,,,,,,,45.0,165,13.75,38,112,68,59,53,2,165,17.33,17.33,208,7.43,1.4,1412.0,576.0,576.0,1412.0,1080,2.08,2.08,0,0.0,25,433169,0.08,0.08,0.0,0.0,1.0,37567261.0,Spain La Liga
