team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Eyüpspor,0.42,216.0,5,76.42,76.42,917,178.83,181.29,189.6,179.73,181.62,51.08,51.08,613,4.17,4.17,50,37.17,37.17,446,11.17,11.17,134,12,6,6,12,9,4,1,1,0,4,2,0,0,0,0.0,2.0,2.0,37261344.0,7.33,2.0,0.17,2.0,8.83,106,1,51,12,3.33,3.33,40,388.58,777.17,34.29,4663,,,,12,18,0,,,,,,,180.0,136,11.33,31,80,62,43,57,600,136,15.08,15.08,181,6.24,1.22,472.0,216.0,216.0,472.0,1080,2.42,2.42,0,0.0,29,31854,,,,,,,Turkey Super Lig
Galatasaray,1.42,63.52941176470589,17,96.83,96.83,1162,181.4,184.64,190.33,179.88,183.26,62.25,62.25,747,5.25,5.25,63,53.08,53.08,637,11.5,11.5,138,12,6,6,12,6,0,0,0,0,10,8,6,1,0,1.0,6.0,3.0,4243131.0,9.01,4.0,0.33,4.0,6.92,83,2,90,17,1.75,1.75,21,497.67,271.45,28.3,5972,100.0,0.0,2.0,11,16,0,0.08,0.08,0.0,0.0,1.0,26294.0,43.2,211,17.58,31,135,106,75,75,2,211,16.0,16.0,192,9.6,1.38,1810.0,929.0,929.0,1810.0,1080,1.67,1.67,0,0.0,20,26294,,,,,,,Turkey Super Lig
Fatih Karagümrük,0.83,108.0,10,91.0,91.0,1092,181.67,186.38,194.67,179.09,183.39,47.67,47.67,572,3.83,3.83,46,36.08,36.08,433,14.42,14.42,173,12,5,7,12,11,8,3,1,0,6,5,1,0,0,2.0,2.0,0.0,24817289.0,7.08,4.0,0.33,4.0,8.92,107,3,90,20,2.25,2.25,27,368.0,441.6,31.32,4416,50.0,1.0,1.0,6,21,2,0.08,0.08,0.0,0.0,1.0,37768065.0,90.0,141,11.75,40,71,64,37,70,900,141,13.33,13.33,160,5.52,0.91,281.0,125.0,125.0,281.0,1080,2.17,2.17,0,0.0,26,183013,0.08,0.08,0.0,0.0,1.0,183013.0,Turkey Super Lig
Kasımpaşa,0.67,135.0,8,92.33,92.33,1108,183.2,182.89,190.5,181.75,183.21,46.75,46.75,561,5.25,5.25,63,44.83,44.83,538,14.92,14.92,179,12,6,6,12,10,5,2,0,0,8,3,0,0,0,2.0,2.0,0.0,62486.0,7.3,2.0,0.17,2.0,8.75,105,1,31,15,1.33,1.33,16,343.75,458.33,29.05,4125,100.0,0.0,1.0,10,17,2,0.08,0.08,0.0,0.0,1.0,96714.0,98.18,142,11.83,36,81,73,33,60,800,142,14.92,14.92,179,5.77,1.0,330.0,130.0,130.0,330.0,1080,2.25,2.25,0,0.0,27,129679,0.08,0.08,0.0,0.0,1.0,17894388.0,Turkey Super Lig
Samsunspor,0.75,120.0,9,97.25,97.25,1167,185.6,184.0,191.33,178.5,183.07,51.67,51.67,620,6.67,6.67,80,40.0,40.0,480,14.25,14.25,171,12,5,7,12,8,3,0,0,0,10,5,3,0,0,1.0,1.0,1.0,37576776.0,7.61,1.0,0.08,1.0,7.25,87,1,67,17,1.58,1.58,19,399.5,342.43,29.05,4794,100.0,0.0,1.0,7,18,2,,,,,,,60.0,165,13.75,39,100,74,52,64,1,165,15.58,15.58,187,6.03,1.11,574.0,265.0,265.0,574.0,1080,2.5,2.5,0,0.0,30,540694,0.08,0.08,0.0,0.0,1.0,64188.0,Turkey Super Lig
Antalyaspor,0.83,108.0,10,71.58,71.58,859,185.0,180.73,189.5,180.88,182.79,42.92,42.92,515,4.33,4.33,52,29.0,29.0,348,11.83,11.83,142,12,6,6,12,10,6,4,2,1,9,4,0,0,0,1.0,2.0,0.0,200135.0,7.33,5.0,0.42,5.0,6.83,82,1,19,19,1.67,1.67,20,353.67,326.46,40.04,4244,,,,6,22,4,,,,,,,83.08,106,8.83,19,73,39,48,34,1,106,14.0,14.0,168,4.42,1.2,444.0,224.0,224.0,444.0,1080,2.75,2.75,0,0.0,33,124167,0.17,0.17,0.0,0.0,2.0,25029.0,Turkey Super Lig
Beşiktaş,1.17,77.14285714285714,14,81.25,81.25,975,184.4,183.46,193.0,179.08,182.76,51.67,51.67,620,4.92,4.92,59,38.83,38.83,466,14.75,14.75,177,12,7,5,12,10,4,2,0,0,10,7,3,1,0,1.0,3.0,2.0,159402.0,7.34,4.0,0.33,4.0,9.08,109,2,90,20,2.25,2.25,27,413.17,260.95,29.87,4958,50.0,1.0,1.0,10,21,3,0.17,0.17,0.0,0.0,2.0,4545376.0,51.43,166,13.83,51,126,52,63,40,1,166,14.92,14.92,179,6.17,1.03,1442.0,678.0,678.0,1442.0,1080,2.25,2.25,0,0.0,27,3187864,,,,,,,Turkey Super Lig
İstanbul Başakşehir,0.83,108.0,10,93.25,93.25,1119,185.33,185.13,193.2,178.55,184.1,58.08,58.08,697,6.0,6.0,72,46.5,46.5,558,13.08,13.08,157,12,7,5,12,7,4,0,0,0,9,2,1,1,0,2.0,1.0,1.0,,7.43,3.0,0.25,3.0,8.17,98,1,41,15,1.67,1.67,20,461.25,503.18,36.18,5535,100.0,0.0,1.0,7,22,1,,,,,,,83.08,153,12.75,43,99,63,47,53,1,153,14.5,14.5,174,5.8,1.11,772.0,336.0,336.0,772.0,1080,2.42,2.42,1,0.08,29,2178600,0.08,0.08,0.0,0.0,1.0,2178600.0,Turkey Super Lig
Konyaspor,1.17,77.14285714285714,14,97.92,97.92,1175,177.43,184.88,192.0,178.0,181.32,53.25,53.25,639,6.08,6.08,73,45.0,45.0,540,11.92,11.92,143,12,6,6,12,11,6,3,0,0,10,5,2,1,0,1.0,3.0,1.0,201712.0,7.08,2.0,0.17,2.0,8.17,98,2,79,20,1.75,1.75,21,401.17,320.93,27.83,4814,100.0,0.0,2.0,6,20,2,,,,,,,60.0,173,14.42,45,100,71,57,73,1,173,14.17,14.17,170,5.48,1.18,513.0,168.0,168.0,513.0,1080,2.33,2.33,1,0.08,28,203954,0.08,0.08,0.0,0.0,1.0,114160.0,Turkey Super Lig
Alanyaspor,0.58,154.28571428571428,7,76.92,76.92,923,183.4,187.71,189.33,175.67,182.66,45.83,45.83,550,3.92,3.92,47,35.0,35.0,420,12.25,12.25,147,12,7,5,12,8,4,0,0,0,8,4,0,0,0,2.0,3.0,0.0,129857.0,7.3,1.0,0.08,1.0,7.92,95,1,76,16,1.17,1.17,14,386.42,463.7,31.98,4637,100.0,0.0,2.0,6,21,2,,,,,,,90.0,145,12.08,33,89,68,44,56,800,145,12.0,12.0,144,5.33,0.96,502.0,204.0,204.0,502.0,1080,2.33,2.33,0,0.0,28,74305,,,,,,,Turkey Super Lig
Kayserispor,1.0,90.0,12,85.92,85.92,1031,186.5,182.43,189.67,179.53,182.24,49.42,49.42,593,5.17,5.17,62,39.75,39.75,477,13.42,13.42,161,12,6,6,12,12,7,5,4,0,9,3,1,0,0,2.0,1.0,0.0,33598.0,7.18,5.0,0.42,5.0,8.25,99,3,90,27,1.58,1.58,19,367.33,339.08,31.49,4408,,,,9,21,0,0.08,0.08,0.0,0.0,1.0,33598.0,83.08,140,11.67,26,84,63,51,56,1,140,13.33,13.33,160,4.32,0.98,648.0,233.0,233.0,648.0,1080,2.83,2.83,0,0.0,34,160196,,,,,,,Turkey Super Lig
Göztepe,0.92,98.1818181818182,11,92.75,92.75,1113,185.4,184.6,190.0,180.5,184.17,36.92,36.92,443,4.58,4.58,55,41.5,41.5,498,17.67,17.67,212,12,7,5,12,4,1,1,0,0,9,4,2,0,0,0.0,2.0,2.0,37451261.0,7.18,3.0,0.25,3.0,12.25,147,2,52,14,1.83,1.83,22,249.33,199.47,18.82,2992,0.0,1.0,0.0,5,19,0,,,,,,,72.0,159,13.25,38,100,69,52,60,1,159,15.0,15.0,180,5.63,0.85,231.0,137.0,137.0,231.0,1080,2.17,2.17,0,0.0,26,9307576,0.25,0.25,0.0,0.0,3.0,200541.0,Turkey Super Lig
Fenerbahçe,1.25,72.0,15,112.33,112.33,1348,181.0,186.18,190.5,179.91,183.59,60.83,60.83,730,6.17,6.17,74,52.75,52.75,633,13.83,13.83,166,12,6,6,12,7,3,0,0,0,10,8,5,2,0,1.0,4.0,1.0,1512208.0,7.67,3.0,0.25,3.0,8.83,106,2,5,18,1.83,1.83,22,496.75,270.95,27.1,5961,50.0,2.0,2.0,10,18,4,,,,,,,43.2,220,18.33,54,132,84,82,88,2,220,19.92,19.92,239,7.03,1.44,1308.0,532.0,532.0,1308.0,1080,2.58,2.58,0,0.0,31,130142,0.08,0.08,0.0,0.0,1.0,37529658.0,Turkey Super Lig
Trabzonspor,1.08,83.07692307692308,13,89.58,89.58,1075,187.67,185.56,191.75,180.57,184.27,50.17,50.17,602,3.67,3.67,44,34.67,34.67,416,12.25,12.25,147,12,5,7,12,6,1,1,0,0,10,4,2,2,0,1.0,3.0,2.0,201739.0,7.42,2.0,0.17,2.0,7.83,94,2,19,14,1.83,1.83,22,405.08,303.81,28.59,4861,100.0,0.0,2.0,6,23,1,0.17,0.17,0.0,0.0,2.0,201060.0,60.0,170,14.17,44,106,69,57,64,1,170,14.5,14.5,174,8.7,1.18,769.0,331.0,331.0,769.0,1080,1.58,1.58,0,0.0,19,1367,,,,,,,Turkey Super Lig
Gaziantep F.K.,1.17,77.14285714285714,14,80.67,80.67,968,177.6,180.7,189.33,178.22,180.26,55.0,55.0,660,5.25,5.25,63,36.08,36.08,433,13.42,13.42,161,12,5,7,12,9,7,3,1,0,8,7,2,0,0,1.0,3.0,0.0,31822.0,7.52,,,,8.75,105,2,74,19,1.5,1.5,18,426.42,341.13,28.59,5117,66.67,1.0,2.0,4,23,0,0.17,0.17,0.0,0.0,2.0,26771.0,63.53,179,14.92,48,104,72,59,75,1,179,17.33,17.33,208,5.33,1.31,606.0,297.0,297.0,606.0,1080,3.17,3.17,1,0.08,38,95672,,,,,,,Turkey Super Lig
Kocaelispor,0.5,180.0,6,84.33,84.33,1012,184.88,183.64,188.0,180.13,183.31,46.17,46.17,554,4.17,4.17,50,31.5,31.5,378,15.25,15.25,183,12,6,6,12,9,4,2,0,0,8,2,1,0,0,1.0,1.0,1.0,23697799.0,6.99,2.0,0.17,2.0,9.17,110,1,22,18,2.17,2.17,26,335.92,447.89,34.16,4031,100.0,0.0,2.0,9,21,1,0.17,0.17,0.0,0.0,2.0,204071.0,98.18,118,9.83,25,72,51,42,44,700,118,14.0,14.0,168,5.09,0.91,212.0,115.0,115.0,212.0,1080,2.58,2.58,0,0.0,31,1507167,,,,,,,Turkey Super Lig
Rizespor,0.75,120.0,9,82.42,82.42,989,184.0,185.63,194.33,178.33,183.73,49.92,49.92,599,3.17,3.17,38,33.75,33.75,405,14.5,14.5,174,12,6,6,12,8,6,2,0,0,9,2,1,1,1,0.0,1.0,1.0,390543.0,7.22,7.0,0.58,7.0,7.92,95,2,90,16,1.92,1.92,23,401.83,370.92,32.8,4822,,,,5,21,0,,,,,,,77.14,147,12.25,46,86,63,38,61,1,147,15.5,15.5,186,5.47,1.08,652.0,274.0,274.0,652.0,1080,2.83,2.83,0,0.0,34,110296,,,,,,,Turkey Super Lig
Gençlerbirliği,0.5,180.0,6,66.0,66.0,792,179.4,184.75,190.25,177.15,181.3,40.42,40.42,485,4.25,4.25,51,28.33,28.33,340,13.33,13.33,160,12,6,6,12,11,5,1,0,0,9,3,0,0,0,1.0,0.0,0.0,205067.0,7.09,4.0,0.33,4.0,8.58,103,1,88,16,1.75,1.75,21,303.33,404.44,29.12,3640,66.67,1.0,2.0,6,25,0,0.17,0.17,0.0,0.0,2.0,751437.0,90.0,125,10.42,39,67,48,39,60,700,125,14.58,14.58,175,5.15,1.09,162.0,99.0,99.0,162.0,1080,2.17,2.17,1,0.08,26,129907,0.17,0.17,0.0,0.0,2.0,156888.0,Turkey Super Lig
