team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Grêmio,0.58,156.31578947368422,19,75.67,75.67,2497,180.57,183.5,192.0,176.78,180.74,44.52,44.52,1469,3.85,3.85,127,31.24,31.24,1031,13.36,13.36,441,33,17,16,33,28,9,3,3,0,22,9,4,0,0,0.0,3.0,2.0,219591.0,7.19,4.0,0.12,4.0,9.73,321,4,45,41,0.97,0.97,32,366.55,465.23,31.58,12096,100.0,0.0,8.0,7,34,1,0.12,0.12,0.0,0.0,4.0,219920.0,84.86,383,11.61,93,231,159,131,153,1,383,17.52,17.52,578,6.28,1.27,1090.0,490.0,490.0,1090.0,2970,2.64,2.64,0,0.0,87,220332,0.03,0.03,0.0,0.0,1.0,37565168.0,Brasileirao Betano Serie A
Mirassol,1.06,84.85714285714286,35,89.79,89.79,2963,180.0,182.82,190.25,176.19,180.28,50.06,50.06,1652,5.36,5.36,177,40.76,40.76,1345,12.42,12.42,410,33,16,17,33,24,7,2,0,0,28,16,7,2,1,5.0,6.0,3.0,218882.0,7.26,11.0,0.33,11.0,8.94,295,5,45,46,1.7,1.7,56,414.42,297.3,30.06,13676,85.71,1.0,6.0,6,31,2,0.03,0.03,0.0,0.0,1.0,222214.0,55.0,455,13.79,135,283,163,157,169,4,455,15.85,15.85,523,6.62,1.28,468.0,234.0,234.0,468.0,2970,2.67,2.67,0,0.0,88,219145,,,,,,,Brasileirao Betano Serie A
Fortaleza,0.75,120.0,24,81.59,81.59,2611,176.38,183.45,192.8,176.55,180.09,46.41,46.41,1485,5.97,5.97,191,33.81,33.81,1082,14.38,14.38,460,32,15,17,32,24,14,5,3,2,20,7,2,1,1,2.0,4.0,3.0,219642.0,7.19,6.0,0.19,6.0,8.81,282,2,4,40,1.97,1.97,63,373.03,411.62,27.89,11937,50.0,2.0,2.0,13,29,2,0.16,0.16,0.0,0.0,5.0,130024.0,92.9,428,13.38,132,256,157,139,168,2,428,18.41,18.41,589,5.56,1.27,1107.0,527.0,527.0,1107.0,2880,3.0,3.0,0,0.0,96,214533,0.09,0.09,0.0,0.0,3.0,201722.0,Brasileirao Betano Serie A
Vitória,0.67,135.0,22,86.24,86.24,2846,180.82,183.3,191.2,176.6,181.15,42.15,42.15,1391,4.48,4.48,148,36.7,36.7,1211,15.03,15.03,496,33,16,17,33,24,13,4,2,1,20,8,1,0,0,4.0,4.0,0.0,10995304.0,7.33,5.0,0.15,5.0,7.48,247,3,90,45,1.79,1.79,59,333.39,407.48,29.03,11002,100.0,0.0,2.0,11,28,4,0.12,0.12,0.0,0.0,4.0,219568.0,102.41,379,11.48,101,232,149,129,147,2,379,15.06,15.06,497,4.48,0.99,746.0,307.0,307.0,746.0,2970,3.06,3.06,0,0.0,101,470926,0.09,0.09,0.0,0.0,3.0,28932718.0,Brasileirao Betano Serie A
Palmeiras,1.25,72.0,40,98.97,98.97,3167,178.27,181.67,192.8,180.29,181.64,52.25,52.25,1672,6.0,6.0,192,42.84,42.84,1371,14.0,14.0,448,32,15,17,32,20,7,1,0,0,27,18,8,4,1,5.0,8.0,5.0,29311982.0,7.51,8.0,0.25,8.0,8.13,260,4,45,45,1.81,1.81,58,405.25,254.27,26.36,12968,85.71,1.0,6.0,16,23,0,0.06,0.06,1.0,0.03,2.0,466063.0,49.66,492,15.38,128,277,184,180,213,4,492,17.78,17.78,569,8.89,1.23,1795.0,969.0,969.0,1795.0,2880,2.03,2.03,1,0.03,65,129888,,,,,,,Brasileirao Betano Serie A
Internacional,0.67,135.0,22,92.88,92.88,3065,177.75,183.38,192.75,177.53,181.0,50.7,50.7,1673,5.03,5.03,166,36.7,36.7,1211,15.27,15.27,504,33,16,17,33,26,11,6,3,0,24,10,3,0,0,5.0,6.0,4.0,205487.0,7.47,10.0,0.3,10.0,8.67,286,3,90,45,1.73,1.73,57,436.97,497.24,33.3,14420,88.89,1.0,8.0,8,32,0,0.09,0.09,0.0,0.0,3.0,186899.0,80.27,433,13.12,123,266,157,153,168,2,433,18.39,18.39,607,7.06,1.2,1350.0,636.0,636.0,1350.0,2970,2.3,2.3,1,0.03,76,37261258,0.06,0.06,0.0,0.0,2.0,130174.0,Brasileirao Betano Serie A
Fluminense,0.7,129.1304347826087,23,94.79,94.79,3128,177.0,179.2,191.67,176.44,178.47,53.97,53.97,1781,4.58,4.58,151,41.79,41.79,1379,12.76,12.76,421,33,17,16,33,20,12,4,1,0,24,12,2,0,0,2.0,7.0,3.0,785373.0,7.45,11.0,0.33,11.0,6.85,226,5,90,45,0.85,0.85,28,479.45,465.35,38.97,15822,75.0,1.0,3.0,8,30,0,0.06,0.06,0.0,0.0,2.0,10948475.0,78.16,406,12.3,108,244,171,127,162,3,406,15.09,15.09,498,7.01,1.19,1659.0,1002.0,1002.0,1659.0,2970,1.97,1.97,0,0.0,65,24837993,0.03,0.03,0.0,0.0,1.0,220114.0,Brasileirao Betano Serie A
Corinthians,0.7,129.1304347826087,23,91.15,91.15,3008,179.0,183.0,191.75,177.36,180.88,55.39,55.39,1828,4.61,4.61,152,36.15,36.15,1193,14.06,14.06,464,33,17,16,33,22,13,2,1,0,24,6,4,1,0,6.0,2.0,1.0,11322447.0,7.23,8.0,0.24,8.0,8.12,268,5,90,39,1.58,1.58,52,471.7,518.87,41.96,15566,60.0,2.0,3.0,8,24,1,0.06,0.06,0.0,0.0,2.0,219279.0,84.86,371,11.24,96,235,159,116,138,2,371,16.24,16.24,536,5.01,1.13,1929.0,1047.0,1047.0,1929.0,2970,3.06,3.06,1,0.03,101,9949810,0.06,0.06,0.0,0.0,2.0,9949810.0,Brasileirao Betano Serie A
Bragantino,0.7,129.1304347826087,23,89.39,89.39,2950,178.4,185.15,190.25,179.27,182.79,46.7,46.7,1541,4.58,4.58,151,39.3,39.3,1297,14.03,14.03,463,33,17,16,33,25,16,6,2,1,28,8,1,1,0,1.0,4.0,1.0,37562368.0,7.3,14.0,0.42,14.0,8.12,268,4,90,47,1.3,1.3,43,389.67,401.84,31.91,12859,100.0,0.0,6.0,5,27,0,0.06,0.06,0.0,0.0,2.0,217695.0,78.16,403,12.21,111,243,157,135,157,2,403,15.61,15.61,515,5.15,1.11,1177.0,339.0,339.0,1177.0,2970,2.91,2.91,0,0.0,96,218346,0.03,0.03,0.0,0.0,1.0,37538558.0,Brasileirao Betano Serie A
Sport Recife,0.47,192.0,15,82.38,82.38,2636,177.07,184.38,189.33,176.88,180.69,47.09,47.09,1507,5.94,5.94,190,36.88,36.88,1180,14.25,14.25,456,32,16,16,32,27,19,7,2,0,18,6,0,0,0,1.0,2.0,0.0,218837.0,7.19,9.0,0.28,9.0,9.53,305,3,90,50,1.91,1.91,61,380.38,608.6,29.83,12172,100.0,0.0,2.0,12,29,0,0.03,0.03,0.0,0.0,1.0,219764.0,120.0,408,12.75,132,241,151,126,167,1,408,15.56,15.56,498,6.23,1.11,1050.0,580.0,580.0,1050.0,2880,2.53,2.53,0,0.0,81,218837,,,,,,,Brasileirao Betano Serie A
