team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Atlético Bucaramanga,0.9,100.28571428571428,35,89.46,89.46,3489,179.29,181.69,191.0,178.0,180.37,53.77,53.77,2097,5.18,5.18,202,40.56,40.56,1582,12.15,12.15,474,39,19,20,39,24,9,3,1,0,30,15,5,3,0,1.0,7.0,4.0,239423.0,7.68,10.0,0.26,10.0,8.67,338,7,90,46,1.72,1.72,67,387.05,359.4,29.48,15095,80.0,2.0,8.0,9,25,2,0.13,0.13,0.0,0.0,5.0,286181.0,66.23,512,13.13,100,279,231,181,227,3,512,13.31,13.31,519,3.93,1.07,,,,,3510,2.95,2.95,0,0.0,115,214806,0.13,0.13,0.0,0.0,5.0,238062.0,Colombia Liga BetPlay
Once Caldas,0.77,116.47058823529412,34,78.41,78.41,3450,176.75,181.82,182.0,177.21,178.83,49.66,49.66,2185,4.45,4.45,196,39.25,39.25,1727,11.41,11.41,502,44,21,23,44,28,18,3,2,1,30,11,4,1,1,1.0,5.0,2.0,21794923.0,7.27,8.0,0.18,8.0,7.61,335,4,45,53,2.41,2.41,106,355.84,372.79,28.57,15657,71.43,2.0,5.0,10,27,1,0.11,0.11,0.0,0.0,5.0,238574.0,84.26,548,12.45,132,268,226,190,278,3,548,12.34,12.34,543,3.62,1.05,26.0,13.0,13.0,26.0,3960,3.2,3.2,0,0.0,141,33991953,0.07,0.07,0.0,0.0,3.0,25568000.0,Colombia Liga BetPlay
Millonarios,0.84,107.36842105263158,38,88.53,88.53,3984,162.88,182.91,190.0,177.25,177.21,52.04,52.04,2342,4.56,4.56,205,39.09,39.09,1759,11.29,11.29,508,45,22,23,45,25,15,6,0,0,32,18,5,1,0,3.0,9.0,2.0,24065210.0,7.55,14.0,0.31,14.0,6.84,308,8,90,53,1.76,1.76,79,374.96,337.46,26.41,16873,66.67,3.0,6.0,10,27,3,0.22,0.22,0.0,0.0,10.0,237848.0,72.86,639,14.2,141,329,288,210,302,4,639,14.13,14.13,636,4.18,1.32,,,,,4080,3.13,3.13,0,0.0,141,236793,0.02,0.02,0.0,0.0,1.0,242484.0,Colombia Liga BetPlay
Deportivo Pasto,0.69,130.55555555555554,27,79.87,79.87,3115,174.5,181.55,180.0,180.0,179.48,43.72,43.72,1705,3.9,3.9,152,30.46,30.46,1188,13.36,13.36,521,39,20,19,39,30,15,3,0,0,25,12,5,1,0,4.0,6.0,2.0,239730.0,7.48,9.0,0.23,9.0,7.62,297,3,42,51,1.41,1.41,55,319.69,319.69,27.71,12468,80.0,1.0,4.0,11,16,6,0.15,0.15,0.0,0.0,6.0,236888.0,81.98,450,11.54,100,229,212,138,219,3,450,12.0,12.0,468,2.93,0.92,,,,,3525,3.67,3.67,0,0.0,143,786823,0.08,0.08,0.0,0.0,3.0,237014.0,Colombia Liga BetPlay
Junior FC,0.84,106.57894736842104,38,86.27,86.27,3882,176.0,181.58,187.0,177.56,179.23,53.64,53.64,2414,4.76,4.76,214,38.07,38.07,1713,10.04,10.04,452,45,23,22,45,30,15,3,0,0,34,19,6,2,0,4.0,10.0,8.0,237015.0,7.89,10.0,0.22,10.0,7.56,340,7,90,59,1.47,1.47,66,387.84,356.18,32.56,17453,66.67,5.0,10.0,7,36,0,0.27,0.27,0.0,0.0,12.0,214025.0,66.39,536,11.91,116,324,240,180,209,3,536,12.27,12.27,552,4.38,1.1,54.0,14.0,14.0,54.0,4050,2.49,2.49,0,0.0,112,675820,,,,,,,Colombia Liga BetPlay
La Equidad,0.5,180.0,19,75.89,75.89,2884,175.44,180.46,185.67,178.36,178.95,42.92,42.92,1631,3.87,3.87,147,30.61,30.61,1163,11.37,11.37,432,38,19,19,38,32,18,11,3,0,18,5,0,0,0,4.0,5.0,2.0,37621483.0,7.53,9.0,0.24,9.0,6.63,252,2,53,44,1.39,1.39,53,311.34,537.77,29.43,11831,50.0,1.0,1.0,13,23,4,0.32,0.32,0.0,0.0,12.0,37348933.0,148.7,402,10.58,95,206,193,114,195,2,402,11.87,11.87,451,3.64,1.04,,,,,3420,2.82,2.82,0,0.0,107,460091,0.05,0.05,0.0,0.0,2.0,22513718.0,Colombia Liga BetPlay
Fortaleza CEIF,0.59,153.91304347826087,23,84.69,84.69,3303,179.17,154.33,146.0,176.19,168.88,52.97,52.97,2066,4.51,4.51,176,31.97,31.97,1247,10.59,10.59,413,39,19,20,39,23,12,4,2,1,27,11,1,1,0,1.0,2.0,1.0,37620176.0,7.9,5.0,0.13,5.0,7.49,292,2,40,43,1.62,1.62,63,387.21,471.91,31.27,15101,85.71,1.0,6.0,6,24,4,0.13,0.13,0.0,0.0,5.0,236806.0,88.5,483,12.38,130,226,203,150,257,2,483,10.59,10.59,413,3.93,0.99,,,,,3540,2.44,2.44,0,0.0,95,37620176,0.05,0.05,0.0,0.0,2.0,37620176.0,Colombia Liga BetPlay
América de Cali,0.98,92.04545454545456,44,89.71,89.71,4037,182.5,181.1,186.33,176.22,179.38,53.67,53.67,2415,5.38,5.38,242,39.24,39.24,1766,11.87,11.87,534,45,22,23,45,24,8,3,0,0,33,18,6,2,0,1.0,7.0,4.0,37915008.0,7.69,12.0,0.27,12.0,6.11,275,7,90,54,1.69,1.69,76,402.69,369.82,27.96,18121,80.0,1.0,4.0,8,28,1,0.11,0.11,0.0,0.0,5.0,97255.0,68.64,648,14.4,162,346,274,214,301,4,648,12.22,12.22,550,4.33,1.08,12.0,,,12.0,4050,2.47,2.47,0,0.0,111,237184,0.09,0.09,0.0,0.0,4.0,214683.0,Colombia Liga BetPlay
Alianza Petrolera,0.72,125.89285714285714,28,83.1,83.1,3241,178.57,180.44,187.0,178.0,179.83,49.49,49.49,1930,4.54,4.54,177,37.67,37.67,1469,11.69,11.69,456,39,19,20,39,22,14,6,0,0,26,12,6,1,1,4.0,6.0,3.0,30878845.0,7.34,11.0,0.28,11.0,6.67,260,5,45,49,1.9,1.9,74,349.74,332.68,28.24,13640,100.0,0.0,4.0,5,22,5,0.15,0.15,0.0,0.0,6.0,237819.0,75.0,483,12.38,118,252,202,163,227,3,483,11.56,11.56,451,4.21,0.98,,,,,3525,2.49,2.49,0,0.0,97,201480,0.03,0.03,0.0,0.0,1.0,2483914.0,Colombia Liga BetPlay
Envigado,0.51,177.0,20,70.46,70.46,2748,177.8,180.0,185.0,158.56,171.18,43.15,43.15,1683,3.54,3.54,138,30.82,30.82,1202,13.95,13.95,544,39,19,20,39,34,10,3,1,1,20,7,3,1,0,2.0,3.0,0.0,37576183.0,7.36,7.0,0.18,7.0,6.44,251,2,90,44,1.69,1.69,66,284.08,461.63,27.36,11079,71.43,2.0,5.0,5,16,11,0.18,0.18,0.0,0.0,7.0,37914898.0,114.19,405,10.38,101,205,193,111,198,1,405,11.0,11.0,429,2.36,0.94,,,,,3540,4.36,4.36,0,0.0,170,37701534,0.1,0.1,0.0,0.0,4.0,238310.0,Colombia Liga BetPlay
