team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Atlanta United,0.74,122.4,25,81.79,81.79,2781,181.67,182.64,189.5,176.92,180.68,50.24,50.24,1708,4.41,4.41,150,34.09,34.09,1159,10.85,10.85,369,34,17,17,34,30,20,9,3,1,21,9,5,3,0,5.0,5.0,0.0,257663.0,7.19,6.0,0.18,6.0,8.85,301,5,90,63,1.88,1.88,64,478.85,542.7,41.22,16281,100.0,0.0,4.0,9,17,8,,,,,,,80.53,395,11.62,101,261,163,131,134,2,395,13.29,13.29,452,6.95,1.23,1468.0,679.0,679.0,1468.0,3060,1.91,1.91,0,0.0,65,506092,,,,,,,EUA MLS
Columbus Crew,1.08,83.25,40,97.46,97.46,3606,179.0,180.8,191.4,180.1,182.04,58.86,58.86,2178,4.97,4.97,184,46.51,46.51,1721,10.11,10.11,374,37,19,18,37,31,14,6,2,1,30,17,7,5,1,3.0,9.0,2.0,260878.0,7.49,9.0,0.24,9.0,7.24,268,4,45,63,2.49,2.49,92,569.57,405.27,43.27,21074,100.0,0.0,5.0,4,14,8,0.03,0.03,0.0,0.0,1.0,85953.0,55.5,487,13.16,139,335,166,182,152,4,487,14.62,14.62,541,10.82,1.46,1665.0,783.0,783.0,1665.0,3330,1.3,1.3,0,0.0,48,114179,,,,,,,EUA MLS
Charlotte,1.08,84.0,40,85.38,85.38,3159,184.86,182.36,188.0,178.33,182.1,47.97,47.97,1775,3.97,3.97,147,37.81,37.81,1399,11.03,11.03,408,37,18,19,37,23,16,7,4,0,31,19,5,1,0,4.0,9.0,4.0,37683489.0,7.78,6.0,0.16,6.0,7.81,289,3,48,62,1.32,1.32,49,447.97,325.0,42.39,16575,80.0,1.0,4.0,6,15,8,0.05,0.05,0.0,0.0,2.0,31092068.0,60.0,391,10.57,82,266,160,149,116,4,391,12.68,12.68,469,6.25,1.16,1249.0,489.0,489.0,1249.0,3360,2.0,2.0,0,0.0,74,1108,0.03,0.03,0.0,0.0,1.0,1108.0,EUA MLS
Inter Miami,1.95,46.25,72,85.76,85.76,3173,178.17,180.6,185.0,181.17,180.91,56.81,56.81,2102,4.78,4.78,177,36.76,36.76,1360,11.49,11.49,425,37,18,19,37,30,14,9,4,1,32,24,19,11,3,5.0,22.0,11.0,184798.0,8.68,17.0,0.46,17.0,7.89,292,5,45,79,1.59,1.59,59,553.62,235.45,41.89,20484,50.0,2.0,2.0,4,25,3,0.08,0.08,0.0,0.0,3.0,4451.0,37.42,489,13.22,124,311,155,210,176,8,489,17.24,17.24,638,7.01,1.44,4635.0,2784.0,2784.0,4635.0,3330,2.35,2.35,0,0.0,87,34454683,0.03,0.03,0.0,0.0,1.0,37661750.0,EUA MLS
Cincinnati,1.14,79.28571428571429,42,78.81,78.81,2916,182.0,183.22,191.0,174.25,181.53,48.27,48.27,1786,4.24,4.24,157,32.89,32.89,1217,10.24,10.24,379,37,18,19,37,25,11,5,4,0,30,18,7,0,0,0.0,10.0,5.0,223604.0,7.93,9.0,0.24,9.0,9.16,339,4,70,60,1.7,1.7,63,447.35,318.31,33.37,16552,100.0,0.0,3.0,6,21,6,0.05,0.05,0.0,0.0,2.0,62929.0,60.55,496,13.41,120,289,177,199,201,4,496,15.27,15.27,565,7.24,1.48,1683.0,738.0,738.0,1683.0,3330,2.0,2.0,0,0.0,74,100535,0.03,0.03,0.0,0.0,1.0,37563872.0,EUA MLS
Nashville SC,1.14,79.28571428571429,42,80.11,80.11,2964,181.38,182.2,192.33,177.14,181.79,50.35,50.35,1863,5.32,5.32,197,38.95,38.95,1441,13.65,13.65,505,37,19,18,37,28,16,6,2,1,30,18,7,2,2,2.0,9.0,2.0,32034.0,7.51,11.0,0.3,11.0,8.84,327,5,45,60,2.08,2.08,77,468.3,339.75,35.22,17327,75.0,3.0,9.0,6,11,10,0.03,0.03,0.0,0.0,1.0,37442612.0,54.59,492,13.3,121,349,164,207,141,4,492,15.89,15.89,588,8.28,1.14,1298.0,831.0,831.0,1298.0,3330,1.89,1.89,0,0.0,70,4545514,,,,,,,EUA MLS
DC United,0.62,146.42857142857142,21,74.44,74.44,2531,177.57,186.83,187.67,180.92,182.07,45.09,45.09,1533,4.24,4.24,144,32.74,32.74,1113,14.09,14.09,479,34,17,17,34,30,17,7,5,3,21,9,0,0,0,2.0,2.0,0.0,853.0,7.21,12.0,0.35,12.0,10.09,343,4,90,48,1.24,1.24,42,399.18,484.71,36.58,13572,66.67,1.0,2.0,5,12,11,0.09,0.09,0.0,0.0,3.0,472908.0,102.5,371,10.91,109,239,141,121,129,2,371,17.15,17.15,583,6.14,1.21,739.0,326.0,326.0,739.0,3075,2.62,2.62,0,0.0,89,750014,0.03,0.03,0.0,0.0,1.0,472908.0,EUA MLS
Orlando City,1.4,64.28571428571429,49,74.43,74.43,2605,178.67,185.56,192.33,178.71,182.8,47.66,47.66,1668,4.51,4.51,158,34.74,34.74,1216,10.26,10.26,359,35,18,17,35,27,16,7,3,1,31,18,11,4,0,3.0,10.0,4.0,215481.0,7.7,13.0,0.37,13.0,7.46,261,6,90,63,1.54,1.54,54,430.37,246.93,27.04,15063,100.0,0.0,3.0,10,11,5,0.06,0.06,0.0,0.0,2.0,128853.0,49.22,557,15.91,138,363,218,201,189,5,557,14.2,14.2,497,6.14,1.39,1850.0,1146.0,1146.0,1850.0,3150,2.14,2.14,0,0.0,75,335749,0.06,0.06,0.0,0.0,2.0,335749.0,EUA MLS
CF Montréal,0.74,122.4,25,76.65,76.65,2606,180.25,184.75,192.0,177.45,181.97,48.65,48.65,1654,5.06,5.06,172,31.91,31.91,1085,12.68,12.68,431,34,17,17,34,30,17,8,3,1,22,7,4,1,0,2.0,3.0,1.0,37735.0,7.23,6.0,0.18,6.0,8.59,292,4,90,51,1.65,1.65,56,425.12,466.26,37.35,14454,75.0,1.0,3.0,9,17,8,0.06,0.06,0.0,0.0,2.0,134119.0,90.0,387,11.38,86,249,161,140,133,2,387,16.47,16.47,560,6.91,1.43,813.0,465.0,465.0,813.0,3060,2.35,2.35,0,0.0,80,409137,,,,,,,EUA MLS
St. Louis City,0.94,95.625,32,79.44,79.44,2701,182.4,184.0,193.33,181.18,183.66,47.24,47.24,1606,4.79,4.79,163,43.94,43.94,1494,11.18,11.18,380,34,17,17,34,28,18,10,2,0,23,16,5,0,0,4.0,6.0,4.0,36604.0,7.45,10.0,0.29,10.0,8.56,291,4,45,56,1.65,1.65,56,419.12,375.0,29.5,14250,80.0,1.0,4.0,5,17,11,0.03,0.03,0.0,0.0,1.0,275565.0,69.55,483,14.21,125,331,196,162,149,3,483,15.74,15.74,535,7.04,1.38,798.0,504.0,504.0,798.0,3060,1.94,1.94,0,0.0,66,21782831,0.09,0.09,0.0,0.0,3.0,31257.0,EUA MLS
