team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Gangwon,0.67,135.0,24,93.5,93.5,3366,183.43,182.8,188.25,179.43,182.4,48.47,48.47,1745,4.28,4.28,154,56.28,56.28,2026,11.69,11.69,421,36,18,18,36,22,12,4,2,0,22,10,3,0,0,2.0,5.0,3.0,37643590.0,6.89,11.0,0.31,11.0,9.75,351,7,90,47,1.22,1.22,44,392.39,441.44,38.91,14126,100.0,0.0,3.0,4,24,14,0.06,0.06,0.0,0.0,2.0,13186306.0,92.57,363,10.08,87,222,142,136,136,2,363,15.47,15.47,557,7.23,1.22,,,,,3240,2.03,2.03,0,0.0,73,1525368,0.03,0.03,0.0,0.0,1.0,324352.0,K League 1
Seoul,0.97,92.57142857142856,35,102.39,102.39,3686,180.55,180.56,192.0,177.63,180.53,54.44,54.44,1960,5.75,5.75,207,68.53,68.53,2467,9.78,9.78,352,36,18,18,36,25,14,5,1,1,28,12,6,2,0,4.0,3.0,1.0,813.0,6.76,12.0,0.33,12.0,9.0,324,3,90,57,1.19,1.19,43,452.33,387.71,28.87,16284,75.0,1.0,3.0,5,17,2,,,,,,,67.5,564,15.67,164,327,215,186,229,3,564,13.5,13.5,486,8.1,1.37,60.0,45.0,45.0,60.0,3240,1.83,1.83,0,0.0,66,820,,,,,,,K League 1
Pohang Steelers,0.81,111.72413793103448,29,104.97,104.97,3779,180.25,182.83,187.0,179.17,181.34,50.44,50.44,1816,4.44,4.44,160,63.67,63.67,2292,11.64,11.64,419,36,18,18,36,25,12,5,2,1,27,11,3,0,0,2.0,4.0,1.0,37561719.0,6.85,10.0,0.28,10.0,9.03,325,2,44,44,1.5,1.5,54,429.81,442.09,35.82,15473,85.71,1.0,6.0,5,19,10,0.08,0.08,0.0,0.0,3.0,439303.0,79.02,432,12.0,116,254,167,150,170,2,432,14.17,14.17,510,8.79,1.25,,,,,3240,1.61,1.61,0,0.0,58,319932,,,,,,,K League 1
Ulsan HD,0.86,104.51612903225806,31,105.92,105.92,3813,181.86,183.33,192.0,178.25,182.29,56.83,56.83,2046,5.58,5.58,201,75.94,75.94,2734,11.25,11.25,405,36,18,18,36,25,14,7,1,0,28,12,2,0,0,5.0,6.0,3.0,308988.0,6.97,12.0,0.33,12.0,7.94,286,4,90,52,1.47,1.47,53,478.58,478.58,33.2,17229,80.0,1.0,4.0,11,16,8,,,,,,,77.14,519,14.42,159,338,214,150,176,3,519,15.56,15.56,560,7.27,1.3,221.0,83.0,83.0,221.0,3240,2.11,2.11,0,0.0,76,321198,0.06,0.06,0.0,0.0,2.0,320918.0,K League 1
Jeonbuk Motors,1.17,77.14285714285714,42,108.19,108.19,3895,187.4,180.0,191.0,177.6,180.74,49.97,49.97,1799,4.44,4.44,160,71.72,71.72,2582,11.97,11.97,431,36,17,19,36,22,7,2,0,0,32,21,8,1,0,4.0,9.0,3.0,37562306.0,6.9,10.0,0.28,10.0,7.19,259,5,90,50,1.25,1.25,45,413.0,280.53,34.98,14868,100.0,0.0,6.0,2,23,6,0.03,0.03,0.0,0.0,1.0,301837.0,52.26,425,11.81,112,287,156,158,126,4,425,13.81,13.81,497,5.92,1.09,,,,,3240,2.56,2.56,0,0.0,92,230955,,,,,,,K League 1
Daejeon Citizen,1.03,87.56756756756756,37,107.36,107.36,3865,180.85,182.29,188.25,176.82,180.98,50.89,50.89,1832,3.94,3.94,142,66.22,66.22,2384,10.72,10.72,386,36,18,18,36,28,13,4,0,0,27,19,8,0,0,3.0,9.0,2.0,323785.0,6.98,18.0,0.5,18.0,7.92,285,6,90,65,0.94,0.94,34,411.0,321.65,36.09,14796,88.89,1.0,8.0,8,23,11,0.03,0.03,0.0,0.0,1.0,137081.0,60.0,410,11.39,117,234,145,153,148,3,410,16.17,16.17,582,7.97,1.68,,,,,3240,1.81,1.81,0,0.0,65,787558,0.11,0.11,0.0,0.0,4.0,323696.0,K League 1
Anyang,0.81,111.72413793103448,29,99.53,99.53,3583,181.2,182.91,190.5,177.43,181.29,46.11,46.11,1660,4.11,4.11,148,63.56,63.56,2288,11.11,11.11,400,36,18,18,36,30,13,1,0,0,26,13,6,2,0,2.0,10.0,3.0,29710740.0,6.76,9.0,0.25,9.0,8.86,319,7,90,52,1.53,1.53,55,378.42,309.61,30.14,13623,40.0,3.0,2.0,6,14,12,0.08,0.08,0.0,0.0,3.0,220910.0,68.94,452,12.56,117,260,178,161,186,4,452,14.03,14.03,505,6.56,1.31,,,,,3240,2.19,2.19,0,0.0,79,27291,,,,,,,K League 1
Jeju United,0.81,111.72413793103448,29,97.89,97.89,3524,179.67,183.3,189.67,180.0,181.54,50.86,50.86,1831,3.92,3.92,141,60.33,60.33,2172,11.86,11.86,427,36,19,17,36,28,16,7,1,0,25,10,3,0,0,2.0,6.0,3.0,37476479.0,6.83,16.0,0.44,16.0,8.86,319,5,90,62,1.58,1.58,57,409.06,433.12,32.58,14726,60.0,2.0,3.0,7,15,13,0.17,0.17,0.0,0.0,6.0,309802.0,85.26,452,12.56,102,259,203,152,166,3,452,13.78,13.78,496,6.12,1.23,,,,,3240,1.97,1.97,0,0.0,71,95007,0.08,0.08,0.0,0.0,3.0,323795.0,K League 1
Gimcheon Sangmu,1.14,79.02439024390245,41,100.92,100.92,3633,179.55,182.15,190.17,178.31,181.36,50.44,50.44,1816,5.31,5.31,191,71.06,71.06,2558,11.75,11.75,423,36,17,19,36,24,13,3,1,0,27,16,9,2,1,4.0,8.0,4.0,37563553.0,6.83,10.0,0.28,10.0,8.89,320,6,90,57,1.44,1.44,52,399.19,281.78,27.32,14371,60.0,2.0,3.0,5,30,14,0.03,0.03,0.0,0.0,1.0,82041.0,57.86,526,14.61,136,310,203,189,196,4,526,14.5,14.5,522,9.85,1.45,,,,,3240,1.56,1.56,0,0.0,56,13186164,,,,,,,K League 1
Daegu,0.92,98.1818181818182,33,103.44,103.44,3724,182.22,183.07,189.4,179.47,182.39,48.03,48.03,1729,4.36,4.36,157,60.17,60.17,2166,10.19,10.19,367,36,19,17,36,34,20,8,2,0,26,14,4,0,0,8.0,4.0,0.0,219688.0,6.96,19.0,0.53,19.0,8.36,301,8,90,64,1.28,1.28,46,367.0,357.08,29.1,13212,100.0,0.0,5.0,7,20,15,0.06,0.06,0.0,0.0,2.0,22859297.0,73.64,454,12.61,112,218,209,146,186,3,454,14.31,14.31,515,8.73,1.42,,,,,3240,1.69,1.69,0,0.0,61,310238,,,,,,,K League 1
