team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Al Ettifaq,0.63,144.0,5,53.63,53.63,429,184.75,180.5,191.5,176.0,181.37,51.88,51.88,415,5.0,5.0,40,27.0,27.0,216,10.25,10.25,82,8,4,4,8,7,4,2,2,1,6,3,1,0,0,0.0,3.0,0.0,37379119.0,7.14,1.0,0.13,1.0,5.38,43,1,7,16,2.0,2.0,16,404.88,404.88,44.37,3239,100.0,0.0,2.0,5,16,3,0.13,0.13,0.0,0.0,1.0,3215.0,72.0,73,9.13,17,50,33,23,24,600,73,13.25,13.25,106,5.3,1.28,35.0,,,35.0,720,2.38,2.38,0,0.0,19,33793,,,,,,,Saudi Arabia Liga Profissional
Al Ahli,0.75,120.0,6,90.5,90.5,724,177.83,177.4,194.0,179.88,178.96,55.5,55.5,444,6.13,6.13,49,52.5,52.5,420,13.88,13.88,111,8,4,4,8,3,1,1,0,0,7,2,1,0,0,1.0,0.0,0.0,971.0,7.34,1.0,0.13,1.0,9.13,73,1,23,9,3.5,3.5,28,400.0,400.0,27.83,3200,100.0,0.0,2.0,8,14,5,0.13,0.13,0.0,0.0,1.0,37528964.0,72.0,115,14.38,29,80,45,41,34,600,115,16.75,16.75,134,7.44,1.14,252.0,133.0,133.0,252.0,720,2.38,2.38,0,0.0,19,23269626,,,,,,,Saudi Arabia Liga Profissional
Al Shabab,0.38,240.0,3,63.0,63.0,504,176.8,177.33,188.67,177.33,178.9,47.13,47.13,377,5.13,5.13,41,33.25,33.25,266,11.38,11.38,91,8,3,5,8,6,2,1,1,0,6,0,0,0,0,,,,96092.0,7.59,,,,6.5,52,1,64,10,1.75,1.75,14,339.25,904.67,27.98,2714,100.0,0.0,3.0,3,14,7,0.13,0.13,0.0,0.0,1.0,37708556.0,120.0,97,12.13,22,62,44,31,35,0,97,13.88,13.88,111,6.94,1.18,159.0,73.0,73.0,159.0,720,2.0,2.0,0,0.0,16,37608513,,,,,,,Saudi Arabia Liga Profissional
Al Hazm,0.5,180.0,4,66.25,66.25,530,177.67,177.0,190.5,177.29,178.94,47.13,47.13,377,3.0,3.0,24,30.0,30.0,240,13.5,13.5,108,8,4,4,8,7,4,1,1,0,4,2,0,0,0,1.0,0.0,0.0,10274517.0,7.37,2.0,0.25,2.0,8.38,67,1,20,11,2.88,2.88,23,378.13,605.0,40.88,3025,33.33,2.0,1.0,3,8,1,,,,,,,120.0,74,9.25,12,41,36,26,33,400,74,14.63,14.63,117,4.88,1.07,16.0,8.0,8.0,16.0,720,2.63,2.63,0,0.0,21,22493494,0.13,0.13,0.0,0.0,1.0,37529818.0,Saudi Arabia Liga Profissional
Al Ittihad,1.13,80.0,9,82.88,82.88,663,175.57,180.45,187.75,175.38,178.93,61.88,61.88,495,5.75,5.75,46,43.25,43.25,346,11.63,11.63,93,8,4,4,8,7,5,1,1,0,5,3,3,3,1,2.0,2.0,2.0,25776.0,7.28,4.0,0.5,4.0,7.13,57,4,90,15,1.63,1.63,13,527.75,301.57,40.99,4222,0.0,1.0,0.0,7,19,4,0.25,0.25,0.0,0.0,2.0,96099.0,48.0,103,12.88,31,73,31,41,30,1,103,13.88,13.88,111,5.29,1.19,260.0,112.0,112.0,260.0,720,2.38,2.38,0,0.0,19,24817045,,,,,,,Saudi Arabia Liga Profissional
Al Fateh,0.63,144.0,5,80.75,80.75,646,175.75,181.33,188.0,176.63,179.43,45.25,45.25,362,5.25,5.25,42,50.0,50.0,400,11.38,11.38,91,8,4,4,8,7,4,3,3,2,6,3,0,0,0,0.0,1.0,1.0,308054.0,7.25,4.0,0.5,4.0,8.38,67,2,45,16,2.63,2.63,21,302.0,345.14,21.38,2416,100.0,0.0,2.0,6,12,6,0.25,0.25,0.0,0.0,2.0,186941.0,80.0,113,14.13,22,70,47,44,43,500,113,14.25,14.25,114,4.56,1.25,39.0,17.0,17.0,39.0,720,2.5,2.5,0,0.0,20,201863,0.13,0.13,0.0,0.0,1.0,308054.0,Saudi Arabia Liga Profissional
Al Khaleej,2.13,42.35294117647059,17,57.25,57.25,458,177.0,177.56,187.0,175.86,177.81,48.38,48.38,387,4.38,4.38,35,28.63,28.63,229,10.75,10.75,86,8,4,4,8,7,2,1,1,0,7,5,5,4,0,0.0,5.0,4.0,31046.0,8.24,6.0,0.75,6.0,8.5,68,2,5,18,1.5,1.5,12,402.0,178.67,30.92,3216,100.0,0.0,3.0,6,13,4,,,,,,,34.29,104,13.0,19,70,48,37,33,1,104,16.25,16.25,130,5.91,1.48,32.0,8.0,8.0,32.0,720,2.38,2.38,0,0.0,19,37721019,0.13,0.13,0.0,0.0,1.0,537218.0,Saudi Arabia Liga Profissional
Al-Fayha,0.88,102.85714285714286,7,62.63,62.63,501,177.5,177.86,191.0,174.75,177.2,44.63,44.63,357,5.63,5.63,45,24.75,24.75,198,12.0,12.0,96,8,4,4,8,6,3,1,0,0,6,3,0,0,0,1.0,0.0,0.0,371504.0,7.21,4.0,0.5,4.0,9.5,76,2,45,10,3.25,3.25,26,359.88,319.89,37.39,2879,,,,3,14,3,,,,,,,80.0,77,9.63,21,47,37,19,30,900,77,16.25,16.25,130,7.65,1.34,144.0,64.0,64.0,144.0,720,1.75,1.75,0,0.0,14,330823,0.13,0.13,0.0,0.0,1.0,37718775.0,Saudi Arabia Liga Profissional
Al Akhdoud,0.88,102.85714285714286,7,49.25,49.25,394,182.33,183.83,187.0,176.1,180.24,40.25,40.25,322,4.5,4.5,36,22.63,22.63,181,9.75,9.75,78,8,4,4,8,7,5,3,1,1,5,3,0,0,0,0.0,3.0,1.0,305979.0,6.96,1.0,0.13,1.0,9.63,77,1,27,15,1.13,1.13,9,322.5,322.5,37.39,2580,,,,5,13,3,,,,,,,90.0,69,8.63,14,44,25,30,25,800,69,13.63,13.63,109,3.89,1.4,31.0,31.0,31.0,31.0,720,2.38,2.38,0,0.0,19,183503,0.38,0.38,0.0,0.0,3.0,29709997.0,Saudi Arabia Liga Profissional
Al Taawoun,2.13,42.35294117647059,17,62.88,62.88,503,179.4,181.0,191.5,176.56,179.88,48.38,48.38,387,2.88,2.88,23,29.0,29.0,232,12.63,12.63,101,8,4,4,8,6,3,1,1,1,7,6,4,3,2,0.0,4.0,3.0,10264962.0,8.0,,,,9.5,76,2,87,22,1.13,1.13,9,395.25,150.57,33.28,3162,100.0,0.0,1.0,7,15,3,,,,,,,31.3,95,11.88,18,64,35,42,31,2,95,15.75,15.75,126,9.0,1.25,172.0,57.0,57.0,172.0,720,1.75,1.75,0,0.0,14,219586,,,,,,,Saudi Arabia Liga Profissional
