team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Racing,0.41,224.0,15,99.14,99.14,3668,177.7,184.2,188.33,172.69,177.68,49.38,49.38,1827,4.65,4.65,172,61.51,61.51,2276,12.27,12.27,454,37,18,19,37,23,10,3,2,0,24,11,4,0,0,2.0,6.0,4.0,37544215.0,7.08,3.0,0.08,3.0,13.86,513,2,74,48,0.86,0.86,32,286.24,311.5,21.31,10591,100.0,0.0,3.0,6,16,0,0.19,0.19,0.0,0.0,7.0,49707.0,86.15,497,13.43,101,243,231,155,211,3,497,3.51,3.51,130,1.2,0.32,10.0,4.0,4.0,10.0,3360,2.43,2.43,0,0.0,90,170051,0.14,0.14,0.0,0.0,5.0,260897.0,Uruguay Primera Division
Boston River,0.89,100.9090909090909,33,95.38,95.38,3529,187.2,180.92,186.5,177.13,180.5,54.3,54.3,2009,4.14,4.14,153,52.89,52.89,1957,11.51,11.51,426,37,18,19,37,22,13,3,1,0,26,15,4,3,1,4.0,7.0,3.0,37554819.0,7.2,6.0,0.16,6.0,16.38,606,3,90,46,1.46,1.46,54,373.68,300.57,41.52,13826,75.0,1.0,3.0,6,15,0,0.05,0.05,0.0,0.0,2.0,260822.0,66.6,333,9.0,87,196,116,126,129,4,333,2.57,2.57,95,0.86,0.21,60.0,60.0,60.0,60.0,3330,2.86,2.86,0,0.0,106,37288089,0.05,0.05,0.0,0.0,2.0,37288089.0,Uruguay Primera Division
Liverpool,0.95,95.14285714285714,35,100.41,100.41,3715,175.5,179.56,182.67,176.29,177.66,56.51,56.51,2091,4.32,4.32,160,59.3,59.3,2194,9.22,9.22,341,37,18,19,37,24,10,2,1,0,31,15,4,1,0,3.0,4.0,2.0,1568.0,7.21,7.0,0.19,7.0,14.19,525,4,90,48,1.11,1.11,41,426.05,358.27,35.03,15764,83.33,1.0,5.0,8,15,0,0.19,0.19,0.0,0.0,7.0,2170281.0,65.29,450,12.16,94,241,166,186,194,3,450,3.22,3.22,119,1.34,0.36,,,,,3330,2.19,2.19,0,0.0,81,260870,0.03,0.03,0.0,0.0,1.0,260870.0,Uruguay Primera Division
Peñarol,0.97,93.64864864864865,37,117.71,117.71,4473,180.0,181.23,187.0,174.22,178.54,57.47,57.47,2184,5.79,5.79,220,72.05,72.05,2738,9.08,9.08,345,38,19,19,38,23,9,2,0,0,32,23,9,2,0,4.0,13.0,7.0,261815.0,7.63,6.0,0.16,6.0,15.08,573,6,45,57,1.26,1.26,48,433.18,279.0,29.55,16461,83.33,1.0,5.0,10,15,1,0.13,0.13,0.0,0.0,5.0,132528.0,52.5,557,14.66,143,271,193,210,259,5,557,3.16,3.16,120,1.38,0.34,220.0,122.0,122.0,220.0,3465,2.16,2.16,0,0.0,82,260889,0.05,0.05,0.0,0.0,2.0,333776.0,Uruguay Primera Division
Cerro Largo,0.57,158.57142857142858,21,92.41,92.41,3419,178.55,180.7,186.5,175.54,178.5,46.62,46.62,1725,4.03,4.03,149,55.68,55.68,2060,12.73,12.73,471,37,18,19,37,25,11,4,1,0,26,12,2,1,0,3.0,5.0,3.0,213120.0,7.34,9.0,0.24,9.0,13.97,517,4,90,56,1.41,1.41,52,282.89,290.75,26.43,10467,80.0,1.0,4.0,8,21,1,0.08,0.08,0.0,0.0,3.0,12393473.0,81.22,396,10.7,95,206,153,141,163,3,396,4.95,4.95,183,1.56,0.42,,,,,3330,2.95,2.95,0,0.0,109,213120,0.05,0.05,0.0,0.0,2.0,37568791.0,Uruguay Primera Division
Defensor Sporting,0.7,128.07692307692307,26,96.32,96.32,3564,179.11,184.17,181.0,178.11,179.53,52.19,52.19,1931,4.22,4.22,156,51.59,51.59,1909,10.11,10.11,374,37,18,19,37,24,11,2,1,0,25,12,4,1,0,0.0,7.0,3.0,37702211.0,7.58,5.0,0.14,5.0,14.7,544,3,45,47,1.76,1.76,65,371.16,352.13,33.41,13733,75.0,1.0,3.0,8,21,1,0.08,0.08,0.0,0.0,3.0,260754.0,79.29,411,11.11,97,227,163,141,168,3,411,3.81,3.81,141,1.64,0.38,14.0,14.0,14.0,14.0,3330,2.32,2.32,0,0.0,86,37680965,0.05,0.05,0.0,0.0,2.0,260463.0,Uruguay Primera Division
River Plate,0.35,256.15384615384613,13,98.97,98.97,3662,178.86,180.56,185.5,176.62,178.84,45.97,45.97,1701,4.89,4.89,181,62.81,62.81,2324,12.97,12.97,480,37,19,18,37,29,14,5,0,0,19,6,2,1,0,2.0,5.0,2.0,37619407.0,6.82,4.0,0.11,4.0,14.92,552,3,90,43,1.3,1.3,48,297.43,440.2,28.36,11005,33.33,4.0,2.0,8,14,0,0.11,0.11,0.0,0.0,4.0,96275.0,118.93,388,10.49,102,200,149,130,172,2,388,3.32,3.32,123,1.04,0.27,,,,,3330,3.19,3.19,0,0.0,118,260389,0.08,0.08,0.0,0.0,3.0,37429014.0,Uruguay Primera Division
Atlético Progreso,0.54,166.5,20,98.86,98.86,3658,178.57,181.0,182.0,175.0,178.66,45.16,45.16,1671,4.89,4.89,181,62.89,62.89,2327,11.7,11.7,433,37,19,18,37,28,18,9,3,2,27,9,2,0,0,3.0,3.0,1.0,37624034.0,7.01,5.0,0.14,5.0,13.46,498,3,52,54,1.51,1.51,56,294.81,363.6,25.61,10908,100.0,0.0,7.0,7,14,2,0.03,0.03,0.0,0.0,1.0,20335140.0,87.63,426,11.51,110,225,170,142,195,2,426,4.46,4.46,165,1.49,0.41,,,,,3330,2.92,2.92,0,0.0,108,260424,0.08,0.08,0.0,0.0,3.0,260424.0,Uruguay Primera Division
Juventud,0.73,123.33333333333331,27,104.22,104.22,3856,177.56,183.5,187.0,177.3,180.0,50.73,50.73,1877,4.46,4.46,165,62.54,62.54,2314,9.95,9.95,368,37,18,19,37,25,11,2,1,0,26,13,4,2,0,3.0,7.0,4.0,,8.1,3.0,0.08,3.0,15.46,572,3,31,51,2.03,2.03,75,367.43,348.59,36.45,13595,45.45,6.0,5.0,2,16,0,0.03,0.03,0.0,0.0,1.0,202731.0,74.0,373,10.08,91,215,144,130,147,3,373,3.16,3.16,117,1.43,0.33,,,,,3330,2.05,2.05,0,0.0,76,215125,0.08,0.08,0.0,0.0,3.0,261052.0,Uruguay Primera Division
Montevideo City Torque,0.73,123.33333333333331,27,101.92,101.92,3771,184.0,179.44,189.0,177.63,180.1,54.54,54.54,2018,5.11,5.11,189,63.51,63.51,2350,11.27,11.27,417,37,19,18,37,25,15,7,3,1,31,14,5,3,1,3.0,4.0,3.0,186741.0,7.14,7.0,0.19,7.0,15.11,559,3,87,58,0.86,0.86,32,386.54,297.96,31.57,14302,71.43,2.0,5.0,2,12,0,0.16,0.16,0.0,0.0,6.0,1532961.0,61.67,453,12.24,97,232,175,174,205,4,453,3.92,3.92,145,1.25,0.34,,,,,3330,2.84,2.84,0,0.0,105,784521,0.05,0.05,0.0,0.0,2.0,784521.0,Uruguay Primera Division
