team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AGF,1.83,0.67,6.57,2.14,8.43,3.0,20.43,8.57,116.71,84.57,68.0,33.57,58.86,41.14,1.25,0.0,13.57,5.14,7.29,3.14,2.14,1.14,4.71,12.57,14.14,5.57,11.0,10.29,2.29,4.71,1.14,2.0,0.55,0.25,0.23,0.61,0.44,,,,,0.54,0.49,0.57,0.25,0.24,0.47,0.61,,,,,0.56,0.5,Denmark Superliga,2025-2026,1.5,2.67,4.67,4.0,4.83,3.83,13.0,12.5,98.17,87.67,45.5,44.67,49.67,50.33,0.5,0.5,9.5,8.33,3.5,4.17,2.0,2.33,6.33,7.17,11.0,8.5,11.83,8.83,2.33,4.17,1.33,2.0,0.37,0.27,0.39,0.6,0.44,,,0.54,0.5,0.52,0.51,0.38,0.29,0.4,0.48,0.6,,,0.54,0.51,0.54,0.52
Brøndby IF,2.29,1.57,2.29,2.71,4.0,4.43,13.57,11.29,102.0,97.0,51.29,41.86,50.43,49.57,1.0,0.0,9.86,7.71,3.86,3.43,1.57,0.86,6.43,6.43,9.29,8.0,10.86,14.14,2.71,3.71,1.43,2.0,0.49,0.25,0.29,0.62,0.42,,,,,0.54,0.49,0.5,0.27,0.31,0.46,0.62,,,,,0.56,0.5,Denmark Superliga,2025-2026,0.67,1.5,5.33,4.83,4.67,6.67,11.33,16.83,104.33,98.33,52.67,59.33,47.5,52.5,1.0,0.0,6.17,9.17,5.17,7.33,2.0,1.83,8.67,6.5,7.5,9.33,10.67,8.0,3.83,3.17,2.0,1.83,0.3,0.26,0.48,0.63,0.41,,,,,0.54,0.5,0.31,0.27,0.49,0.45,0.62,,,,,0.55,0.5
FC København,1.8,1.6,5.33,3.83,7.17,3.83,17.83,9.0,134.17,83.17,61.67,33.83,58.17,41.83,1.0,0.0,11.67,5.5,5.83,3.5,1.83,1.33,6.0,10.33,10.67,5.5,12.0,8.5,1.67,3.17,1.5,1.83,0.67,0.21,0.16,0.56,0.49,,,,,0.53,0.5,0.67,0.22,0.17,0.52,0.55,,,,,0.55,0.52,Denmark Superliga,2025-2026,1.43,2.43,3.57,4.57,2.43,6.71,8.43,16.29,77.43,126.29,27.43,57.43,42.71,57.29,1.0,0.33,5.29,11.0,3.14,5.14,1.43,1.71,8.14,4.71,6.0,11.0,9.14,11.71,3.57,2.71,1.67,1.67,0.19,0.24,0.6,0.57,0.47,,,,,0.54,0.5,0.2,0.25,0.62,0.5,0.57,,,,,0.55,0.51
FC Midtjylland,3.57,1.71,6.14,3.43,5.71,3.29,16.86,11.86,112.57,81.29,57.57,38.29,54.43,45.57,0.5,1.0,11.43,7.14,5.14,4.57,2.14,1.0,5.43,8.57,11.71,7.29,10.86,14.14,2.0,4.43,1.71,1.71,0.66,0.21,0.17,0.63,0.41,,,,,,,0.67,0.21,0.18,0.43,0.64,,,,,,,Denmark Superliga,2025-2026,0.6,2.0,5.67,2.5,6.0,4.83,15.67,12.67,99.5,94.17,58.67,36.33,53.83,46.17,1.0,0.0,9.5,7.67,6.33,4.83,2.17,1.67,6.83,9.83,9.5,7.83,11.5,10.5,3.0,4.5,1.5,2.17,0.34,0.25,0.45,0.65,0.39,,,,,0.54,0.49,0.34,0.26,0.46,0.42,0.65,,,,,0.56,0.5
Fredericia,1.0,2.0,6.43,6.14,3.86,6.57,11.14,18.71,83.0,112.43,42.71,64.71,44.14,55.86,,,7.0,11.57,4.0,7.0,2.43,1.29,9.29,6.86,8.43,12.57,8.71,10.29,4.57,3.0,1.67,1.5,0.25,0.24,0.55,0.62,0.42,,,,,0.54,0.5,0.26,0.25,0.56,0.45,0.63,,,,,0.55,0.51,Denmark Superliga,2025-2026,2.5,1.5,6.17,3.33,7.17,3.83,19.33,10.5,116.17,82.67,54.5,42.0,56.17,43.83,1.0,0.0,13.83,7.17,7.0,3.5,0.5,2.0,5.17,10.5,12.17,6.5,7.33,9.0,1.67,4.0,1.0,1.0,0.62,0.22,0.19,0.62,0.42,,,,,,,0.62,0.24,0.21,0.45,0.62,,,,,,
Nordsjælland,0.83,1.0,5.0,2.0,5.0,4.83,12.17,9.67,90.17,87.5,51.5,35.67,55.67,44.33,0.0,1.0,7.67,5.17,4.5,4.5,1.0,2.67,6.17,6.17,9.0,7.17,10.5,10.0,2.33,4.5,1.83,2.5,0.38,0.26,0.4,0.67,0.38,,,,,,,0.4,0.27,0.4,0.42,0.66,,,,,,,Denmark Superliga,2025-2026,2.0,1.71,4.29,4.0,4.57,3.43,12.14,12.29,78.57,120.86,44.0,43.86,42.86,57.14,2.0,0.0,7.86,8.29,4.14,4.29,1.86,1.14,6.0,6.57,8.57,6.29,11.86,9.29,3.57,3.0,1.43,1.71,0.36,0.27,0.4,0.64,0.39,,,,,,,0.38,0.28,0.42,0.43,0.64,,,,,0.56,0.5
Odense BK,1.86,2.43,5.0,3.86,4.71,3.86,11.86,11.57,104.71,103.71,46.57,40.43,47.29,52.71,1.0,0.0,7.86,7.57,3.86,3.86,2.0,2.29,5.57,6.86,8.57,6.71,11.57,10.86,2.14,3.0,1.86,1.71,0.39,0.27,0.37,0.65,0.39,,,,,,,0.4,0.28,0.39,0.44,0.64,,,,,0.56,0.5,Denmark Superliga,2025-2026,2.67,1.33,4.83,4.83,4.5,5.17,12.33,11.33,93.67,81.5,45.5,32.5,51.67,48.33,0.5,0.5,7.5,7.5,4.5,3.67,2.83,1.67,6.5,6.0,8.0,8.17,10.5,14.0,2.33,2.33,1.17,2.17,0.54,0.24,0.26,0.62,0.42,,,,,,,0.56,0.26,0.27,0.45,0.62,,,,,,
Randers FC,1.4,1.6,3.83,3.67,3.83,4.83,9.67,14.67,95.5,110.33,41.0,46.33,47.17,52.83,1.0,0.0,5.83,7.83,3.83,6.83,1.83,1.0,7.83,5.83,8.0,10.17,10.17,8.33,4.83,3.5,1.33,1.33,0.39,0.27,0.37,0.62,0.42,,,,,0.54,0.5,0.41,0.28,0.38,0.46,0.62,,,,,0.55,0.51,Denmark Superliga,2025-2026,1.29,1.0,4.43,5.29,4.0,5.0,11.29,12.0,92.71,90.71,47.43,49.0,50.0,50.0,1.5,0.0,6.86,9.43,4.43,2.86,1.43,1.43,8.29,6.86,8.14,8.71,10.29,12.57,2.57,2.86,1.86,2.43,0.44,0.27,0.34,0.63,0.41,,,,,0.54,0.49,0.45,0.28,0.35,0.44,0.64,,,,,0.55,0.51
Silkeborg IF,1.67,1.5,4.83,4.83,2.5,6.5,11.67,14.17,100.0,124.17,38.67,46.83,52.0,48.0,2.0,0.0,7.5,9.83,4.17,4.33,1.5,1.67,9.33,4.5,6.33,10.33,6.67,11.67,3.67,3.17,1.0,2.33,0.41,0.26,0.36,0.62,0.42,,,,,0.53,0.51,0.42,0.27,0.37,0.44,0.63,,,,,0.53,0.52,Denmark Superliga,2025-2026,2.43,1.57,4.57,4.29,6.0,3.29,15.43,11.57,124.14,89.43,51.71,34.43,50.29,49.71,0.67,0.33,10.14,6.57,5.14,5.0,2.14,0.86,5.0,7.43,11.86,8.0,11.71,6.86,3.43,4.43,1.57,0.71,0.55,0.24,0.24,0.62,0.42,,,,,,,0.56,0.25,0.25,0.45,0.62,,,,,,
Sønderjyske Fodbold,1.67,1.0,2.67,6.83,4.5,5.5,10.83,15.5,76.5,116.33,33.83,61.0,40.33,59.67,1.0,0.0,6.0,11.33,4.83,4.67,1.67,1.83,8.83,6.67,7.0,7.5,10.5,10.0,3.17,1.67,2.0,2.0,0.32,0.26,0.45,0.6,0.44,,,0.54,0.5,0.53,0.51,0.33,0.27,0.47,0.48,0.6,,,0.54,0.51,0.54,0.52,Denmark Superliga,2025-2026,2.17,1.5,5.71,4.14,5.29,5.0,13.29,12.86,106.86,100.29,50.86,45.14,51.29,48.71,1.0,0.5,9.0,8.57,4.0,4.14,2.71,1.0,9.43,7.71,8.57,8.29,8.57,11.29,2.43,2.43,1.0,1.71,0.49,0.26,0.29,0.65,0.39,,,,,0.53,0.51,0.5,0.27,0.29,0.43,0.64,,,,,0.55,0.51
