team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AZ,3.0,1.6,6.6,3.8,6.4,3.6,18.6,12.0,110.6,86.2,57.8,33.6,55.6,44.4,1.0,0.25,13.6,7.8,4.8,4.0,0.75,0.5,7.0,10.6,13.0,7.6,8.6,11.8,2.8,4.2,2.0,2.4,0.66,0.2,0.18,0.58,0.46,,,,,0.55,0.51,0.66,0.21,0.19,0.48,0.59,,,,,,,Netherlands Eredivisie,2025-2026,1.0,1.6,4.0,5.6,5.4,6.6,13.8,17.8,94.8,97.0,47.0,48.6,45.8,54.2,0.5,0.5,8.4,10.2,5.4,7.6,1.8,1.0,8.0,7.6,9.2,10.4,11.2,13.8,3.2,4.0,1.4,4.2,0.27,0.23,0.53,0.64,0.4,,,,,,,0.28,0.23,0.55,0.42,0.65,,,,,0.53,0.52
Ajax,1.8,0.8,6.4,4.6,4.8,3.8,16.6,12.0,106.0,86.2,53.4,35.4,59.8,40.2,0.0,1.0,12.8,7.8,3.8,4.0,2.4,1.8,5.4,6.6,11.6,7.2,12.2,13.8,3.0,5.0,2.0,2.25,0.74,0.17,0.13,0.56,0.48,,,,,,,0.74,0.18,0.14,0.49,0.58,,,,,,,Netherlands Eredivisie,2025-2026,2.0,2.2,5.8,5.2,5.0,5.4,14.2,15.0,97.4,90.0,50.2,49.2,47.2,52.8,0.67,0.33,7.0,11.0,7.2,4.2,1.2,1.4,9.2,6.8,10.0,10.6,12.0,12.4,4.0,3.0,1.2,3.0,0.32,0.23,0.48,0.65,0.4,,,,,,,0.34,0.23,0.49,0.42,0.65,,,,,,
Excelsior,0.8,1.0,4.0,3.2,4.6,5.0,12.4,18.8,93.4,100.6,36.2,54.4,43.4,56.6,,,7.2,12.6,5.6,6.4,0.8,2.2,10.8,7.0,7.4,11.8,11.8,10.0,6.0,2.8,1.5,2.0,0.29,0.24,0.51,0.63,0.41,,,,,,,0.3,0.24,0.52,0.43,0.64,,,,,0.55,0.51,Netherlands Eredivisie,2025-2026,2.8,0.8,6.0,4.6,5.2,3.4,15.4,11.2,103.6,87.4,50.4,43.6,56.0,44.0,1.0,0.0,10.4,6.8,4.8,4.2,1.6,0.4,7.0,8.4,10.8,6.6,8.8,15.4,3.2,3.8,1.75,2.0,0.56,0.24,0.24,0.64,0.4,,,,,0.54,0.5,0.57,0.24,0.25,0.43,0.64,,,,,0.55,0.51
FC Groningen,1.6,0.8,5.2,4.2,4.8,5.6,13.0,10.0,99.6,87.2,40.6,27.8,53.8,46.2,,,7.4,7.8,5.6,2.4,2.2,1.4,7.6,7.2,9.0,7.8,11.6,10.6,2.4,2.6,2.4,2.0,0.5,0.26,0.27,0.57,0.47,,,,,0.53,0.5,0.5,0.27,0.28,0.5,0.57,,,,,0.55,0.52,Netherlands Eredivisie,2025-2026,2.0,1.6,5.8,4.4,5.2,3.0,13.4,14.2,101.2,96.6,42.0,37.2,56.0,44.0,1.0,0.0,9.4,7.8,3.6,6.2,1.2,1.2,6.0,7.6,8.0,9.4,12.2,12.4,6.0,2.6,1.6,2.0,0.57,0.24,0.23,0.53,0.51,,,0.55,0.49,0.49,0.54,0.58,0.24,0.24,0.53,0.54,,,0.56,0.5,0.53,0.53
FC Twente,1.8,2.0,5.2,3.6,6.4,3.0,18.8,9.8,124.8,94.0,64.2,34.2,57.2,42.8,1.0,0.0,11.2,6.4,7.4,3.6,0.4,1.8,5.6,9.8,13.8,6.6,11.6,12.6,2.4,5.0,0.8,1.8,0.55,0.21,0.27,0.58,0.46,,,,,,,0.56,0.22,0.28,0.47,0.6,,,,,,,Netherlands Eredivisie,2025-2026,1.4,2.0,2.8,4.2,3.0,6.6,9.6,17.0,91.4,95.8,43.8,51.6,46.6,53.4,0.0,2.0,6.0,9.8,4.0,7.0,2.2,1.4,10.4,7.2,5.6,11.2,11.8,14.4,4.2,1.4,2.2,2.2,0.33,0.28,0.44,0.63,0.41,,,,,0.53,0.5,0.34,0.28,0.45,0.44,0.63,,,,,0.54,0.51
FC Utrecht,2.6,1.0,5.8,3.2,6.6,3.2,16.8,9.6,96.0,94.2,37.4,36.2,50.6,49.4,,,12.6,5.8,4.2,3.8,0.75,0.5,6.4,7.2,10.4,6.4,10.2,14.4,3.2,3.4,1.0,2.25,0.65,0.22,0.17,0.56,0.48,,,,,0.52,0.51,0.65,0.23,0.18,0.51,0.56,,,,,0.54,0.52,Netherlands Eredivisie,2025-2026,2.0,1.2,5.8,4.8,4.0,4.8,13.6,13.2,96.8,109.2,41.2,42.0,46.8,53.2,1.0,0.0,10.0,7.4,3.8,5.8,1.5,2.0,7.0,8.0,8.6,9.0,9.0,10.4,3.4,3.0,1.6,1.4,0.46,0.25,0.32,0.6,0.44,,,,,0.54,0.49,0.47,0.26,0.33,0.48,0.6,,,,,0.56,0.5
FC Volendam,1.8,1.2,3.6,4.8,4.6,6.4,12.2,14.4,81.2,105.0,38.8,57.0,41.6,58.4,,,8.0,8.6,4.4,5.8,1.6,1.2,11.0,7.0,8.6,8.6,10.0,13.8,2.0,2.8,1.6,2.8,0.33,0.23,0.49,0.64,0.41,,,,,,,0.33,0.24,0.49,0.44,0.64,,,,,,,Netherlands Eredivisie,2025-2026,2.0,0.8,7.4,3.8,6.6,3.2,18.6,9.0,107.6,89.0,58.6,37.2,52.8,47.2,,,13.4,5.6,5.4,3.4,1.6,1.0,5.6,9.8,13.0,7.0,11.2,11.0,2.2,5.8,1.4,1.0,0.61,0.23,0.2,0.62,0.42,,,,,0.55,0.49,0.62,0.22,0.21,0.44,0.63,,,,,0.56,0.5
Feyenoord,2.0,1.0,7.4,3.0,6.6,3.4,16.4,8.8,102.2,85.2,60.6,35.4,53.4,46.6,,,11.4,4.4,4.8,4.2,1.6,1.0,6.4,12.0,12.4,5.6,9.0,11.2,1.2,3.8,0.8,1.0,0.67,0.2,0.17,0.59,0.45,,,,,,,0.68,0.2,0.17,0.48,0.59,,,,,,,Netherlands Eredivisie,2025-2026,0.8,3.4,3.0,7.6,3.6,4.8,8.0,17.8,91.0,101.4,39.2,55.8,44.4,55.6,1.0,1.0,4.2,13.6,3.8,4.2,1.4,1.2,9.2,6.0,6.2,12.4,11.8,9.2,4.2,2.0,1.6,2.6,0.24,0.24,0.56,0.61,0.43,,,,,0.55,0.5,0.25,0.24,0.57,0.45,0.62,,,,,0.55,0.51
Fortuna Sittard,1.6,1.2,5.2,6.2,6.6,3.4,15.6,11.6,97.6,98.8,47.8,48.4,50.2,49.8,1.0,0.0,11.0,8.4,4.8,3.4,1.6,1.4,6.4,10.2,9.4,7.8,13.2,9.2,3.6,2.4,2.8,1.6,0.38,0.28,0.38,0.61,0.43,,,0.54,0.49,0.52,0.52,0.38,0.28,0.39,0.46,0.61,,,0.56,0.5,0.56,0.5,Netherlands Eredivisie,2025-2026,1.8,1.2,7.0,2.6,5.8,2.2,16.0,9.2,98.6,87.4,53.0,32.8,51.4,48.6,1.0,0.0,10.4,5.8,5.2,3.6,1.6,1.8,4.8,9.2,12.0,6.8,11.4,14.4,2.8,4.6,0.8,1.8,0.57,0.25,0.22,0.57,0.47,,,0.55,0.48,0.51,0.52,0.58,0.25,0.22,0.5,0.58,,,0.56,0.5,0.54,0.52
Go Ahead Eagles,1.6,1.2,8.0,6.2,4.8,5.8,13.4,16.4,96.6,86.4,54.2,45.4,53.6,46.4,1.0,0.0,8.8,10.8,4.4,5.8,2.0,1.25,8.0,8.2,8.2,10.4,9.4,11.8,4.2,4.0,0.8,2.4,0.45,0.25,0.34,0.69,0.35,,,,,,,0.46,0.24,0.35,0.38,0.69,,,,,,,Netherlands Eredivisie,2025-2026,2.0,1.8,5.6,4.6,7.6,3.6,21.4,11.0,86.0,91.6,48.8,45.8,49.4,50.6,,,14.0,8.4,7.6,2.6,0.2,1.6,9.4,9.8,12.6,8.4,8.8,9.2,2.8,4.0,1.8,1.2,0.47,0.25,0.32,0.65,0.39,,,,,,,0.47,0.25,0.34,0.42,0.65,,,,,,
