team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Academico Viseu,1.67,1.0,4.75,2.75,5.25,4.25,16.5,8.5,86.25,74.0,57.0,34.5,54.25,45.75,0.0,1.0,10.0,3.75,6.5,4.75,2.25,1.5,5.0,13.75,7.0,7.0,16.0,13.0,2.0,5.5,2.75,3.0,0.48,0.3,0.26,0.5,0.54,0.55,0.49,0.51,0.53,0.5,0.56,0.5,0.31,0.29,0.57,0.51,0.56,0.5,0.53,0.52,0.5,0.56,Portugal LigaPro,2025-2026,2.0,2.4,5.0,5.2,4.0,4.8,11.2,13.0,87.2,74.8,52.6,46.0,53.6,46.4,1.0,1.0,7.75,9.0,4.25,2.5,2.8,2.0,8.0,6.25,7.67,7.33,11.8,14.4,3.0,3.0,2.6,2.2,0.41,0.32,0.32,0.51,0.54,0.56,0.48,0.5,0.54,0.5,0.55,0.43,0.31,0.35,0.57,0.52,0.54,0.52,0.51,0.55,0.5,0.56
Benfica II,1.4,1.8,9.4,3.4,8.0,4.0,19.8,10.4,96.4,65.2,74.6,34.6,61.6,38.4,0.0,1.0,13.5,8.75,7.75,3.0,1.8,1.8,6.75,15.25,17.0,5.0,14.2,13.8,2.8,4.6,3.2,3.0,0.49,0.28,0.27,0.55,0.49,,,0.54,0.5,0.51,0.53,0.5,0.29,0.29,0.53,0.56,,,0.56,0.5,0.52,0.53,Portugal LigaPro,2025-2026,1.0,1.25,5.5,4.25,8.5,3.25,14.75,9.75,84.25,70.5,62.75,42.0,58.75,41.25,0.0,1.0,9.75,6.5,5.0,3.25,1.0,2.5,5.75,12.5,11.67,6.67,14.5,16.75,3.0,2.25,4.0,4.5,0.44,0.29,0.31,0.56,0.48,,,0.55,0.48,0.52,0.52,0.46,0.3,0.33,0.52,0.57,,,0.56,0.5,0.52,0.54
Chaves,1.0,0.75,5.5,3.75,9.25,4.75,16.0,10.25,74.75,75.5,54.5,38.75,59.5,40.5,0.33,0.67,9.5,6.0,6.5,4.25,0.67,2.33,7.5,12.25,10.33,7.67,13.25,16.5,1.25,2.25,2.75,4.75,0.42,0.31,0.3,0.54,0.51,,,0.51,0.52,0.5,0.55,0.45,0.32,0.32,0.54,0.55,,,0.52,0.53,0.5,0.55,Portugal LigaPro,2025-2026,0.75,1.5,4.5,5.25,7.25,5.0,13.25,11.25,91.75,86.75,53.75,53.5,51.75,48.25,,,6.75,7.0,6.5,4.25,1.67,1.0,8.5,9.5,9.5,9.5,16.0,13.0,2.0,2.75,4.5,2.0,0.35,0.32,0.37,0.53,0.52,0.56,0.48,0.52,0.53,,,0.37,0.32,0.4,0.56,0.53,0.56,0.5,0.54,0.52,,
Farense,0.0,2.33,4.75,2.75,6.25,4.5,12.75,11.0,95.75,89.25,66.75,42.0,56.25,43.75,,,6.5,7.25,6.25,3.75,2.0,2.75,7.25,10.5,7.0,7.0,14.5,12.75,2.25,3.75,4.25,3.5,0.5,0.29,0.25,0.51,0.54,,,0.51,0.52,0.49,0.54,0.52,0.3,0.27,0.56,0.53,,,0.52,0.54,0.5,0.56,Portugal LigaPro,2025-2026,0.5,1.75,4.75,5.0,4.75,5.0,11.5,14.0,83.0,74.75,49.25,49.0,53.0,47.0,1.0,0.5,7.0,9.75,4.5,4.25,0.5,1.5,8.75,6.0,6.33,8.67,16.0,17.25,3.5,3.25,2.5,4.0,0.3,0.3,0.44,0.55,0.5,,,0.5,0.53,0.52,0.52,0.32,0.3,0.46,0.55,0.55,,,0.52,0.54,0.52,0.55
Feirense,1.75,1.25,7.5,3.0,6.25,4.5,16.25,8.25,89.0,69.5,70.5,38.25,53.75,46.25,1.0,0.33,8.0,5.75,8.25,2.5,1.5,1.25,5.75,9.75,13.5,4.5,17.25,16.25,1.5,3.0,4.25,4.0,0.44,0.32,0.28,0.53,0.52,,,0.52,0.52,0.52,0.53,0.46,0.32,0.3,0.56,0.53,,,0.52,0.54,0.52,0.54,Portugal LigaPro,2025-2026,1.25,0.75,4.4,5.4,6.0,6.4,12.5,12.25,78.6,69.4,48.2,42.8,59.6,40.4,1.0,0.0,7.5,6.0,5.0,6.25,0.5,2.0,8.75,11.75,7.0,10.0,12.25,18.75,2.5,2.75,2.2,3.8,0.47,0.31,0.26,0.51,0.54,,,0.51,0.53,0.48,0.55,0.52,0.31,0.26,0.57,0.52,,,0.52,0.54,,
Felgueiras 1932,1.75,0.75,4.75,6.75,5.25,4.5,13.0,11.75,84.5,82.25,58.5,50.75,47.25,52.75,1.0,0.0,8.25,6.25,4.75,5.5,2.25,2.75,7.0,12.0,6.67,8.0,18.5,15.75,4.0,2.5,2.75,3.75,0.5,0.29,0.24,0.53,0.51,,,0.52,0.51,0.5,0.54,0.52,0.29,0.26,0.54,0.55,,,0.54,0.51,0.52,0.55,Portugal LigaPro,2025-2026,2.0,0.75,4.5,5.0,6.0,7.25,13.25,13.0,73.5,83.5,40.0,52.0,45.5,54.5,0.0,1.0,7.75,9.0,5.5,4.0,2.0,2.67,11.25,8.5,11.0,12.5,16.75,16.75,3.0,2.75,3.75,3.5,0.38,0.31,0.36,0.54,0.5,,,0.53,0.5,0.49,0.55,0.42,0.3,0.37,0.55,0.55,,,0.54,0.51,0.5,0.56
Leixões,1.4,2.6,4.2,4.8,5.4,7.4,12.4,15.2,86.4,77.6,45.4,45.8,48.4,51.6,0.0,1.0,8.0,10.5,5.5,3.75,1.6,1.4,11.0,8.75,10.0,11.33,14.2,16.0,4.0,3.4,2.2,2.4,0.42,0.32,0.3,0.53,0.52,0.56,0.47,0.52,0.52,0.49,0.55,0.45,0.31,0.33,0.56,0.54,0.5,0.56,0.53,0.53,0.5,0.56,Portugal LigaPro,2025-2026,1.5,1.0,7.5,3.25,5.0,5.25,14.75,10.75,72.5,75.25,62.75,40.25,56.25,43.75,1.0,1.0,7.25,7.25,7.5,3.5,3.0,1.25,8.0,9.0,12.5,5.5,19.0,13.75,2.0,3.5,3.0,4.75,0.44,0.32,0.27,0.53,0.51,,,0.52,0.51,0.48,0.56,0.46,0.32,0.3,0.55,0.54,,,0.54,0.52,0.5,0.56
Lusitania FC Lourosa,1.25,1.5,7.4,3.2,8.2,3.0,15.4,9.0,87.6,74.0,65.4,40.2,57.4,42.6,1.0,1.0,9.8,5.4,5.6,3.6,1.0,0.8,6.6,9.8,14.0,6.33,16.6,15.0,2.2,2.6,2.6,2.6,0.38,0.31,0.35,0.54,0.51,,,0.52,0.51,0.51,0.54,0.41,0.31,0.37,0.55,0.55,,,0.54,0.52,0.5,0.56,Portugal LigaPro,2025-2026,2.0,1.0,5.5,4.75,6.25,3.5,15.5,10.25,95.5,72.0,70.25,39.5,57.25,42.75,1.0,0.0,9.0,6.5,6.5,3.75,2.0,2.0,5.75,12.75,6.0,8.0,16.0,14.75,3.25,3.75,2.5,2.75,0.44,0.31,0.29,0.52,0.52,,,0.52,0.52,,,0.48,0.3,0.3,0.56,0.53,,,0.54,0.52,0.5,0.56
Marítimo,1.0,1.4,4.4,3.6,5.4,4.2,13.6,9.6,103.0,85.2,66.6,43.6,56.4,43.6,0.5,1.0,8.5,6.5,5.0,3.75,1.0,3.0,7.25,10.75,7.5,10.5,13.8,14.2,3.0,4.4,3.6,3.6,0.46,0.31,0.27,0.52,0.52,0.56,0.48,0.51,0.52,0.48,0.55,0.47,0.31,0.3,0.57,0.53,0.56,0.5,0.51,0.54,0.5,0.56,Portugal LigaPro,2025-2026,0.0,1.33,4.5,6.75,3.25,5.0,10.5,13.75,82.67,96.67,53.0,56.33,43.0,57.0,0.0,1.0,6.75,7.5,3.75,6.25,3.25,2.0,10.75,6.75,5.5,7.0,17.75,16.75,3.0,4.25,3.75,5.25,0.45,0.3,0.3,0.54,0.5,,,0.54,0.5,0.49,0.55,0.46,0.3,0.32,0.53,0.56,,,0.55,0.51,0.5,0.56
Paços de Ferreira,2.33,1.67,4.0,5.75,5.0,5.25,12.75,15.5,67.0,73.5,51.5,51.5,36.25,63.75,1.0,0.0,7.0,7.5,5.75,8.0,1.25,2.25,8.5,9.5,8.0,7.5,16.0,16.5,4.5,2.25,2.25,5.75,0.33,0.3,0.42,0.53,0.51,,,0.51,0.52,0.54,0.5,0.35,0.3,0.44,0.55,0.54,0.57,0.49,0.54,0.52,0.53,0.53,Portugal LigaPro,2025-2026,2.33,1.0,6.8,3.8,6.0,4.0,16.6,8.4,92.2,80.0,62.8,40.4,56.2,43.8,,,8.75,4.0,8.5,5.25,1.4,1.0,7.5,12.75,12.5,4.5,18.2,14.6,1.4,4.2,2.4,3.6,0.53,0.28,0.23,0.5,0.55,0.54,0.5,0.5,0.54,0.51,0.53,0.54,0.29,0.25,0.58,0.5,0.56,0.5,0.52,0.55,0.52,0.53
